Source,Target,Weight,Type
DNS_Arnim,DNS_Immermann,3,undirected
DNS_Arnim,DNS_Kinkel_Margret,1,undirected
DNS_Arnim,DNS_Meissner,2,undirected
DNS_Berthold,DNS_Brentano,1,undirected
DNS_Berthold,DNS_Eichendorff,2,undirected
DNS_Berthold,DNS_Grillparzer,1,undirected
DNS_Berthold,DNS_Grimm,5,undirected
DNS_Berthold,DNS_Immermann,1,undirected
DNS_Berthold,DNS_Keller,3,undirected
DNS_Berthold,DNS_Meissner,4,undirected
DNS_Berthold,DNS_Widmann,2,undirected
DNS_Brentano,DNS_Berthold,1,undirected
DNS_Brentano,DNS_Immermann,2,undirected
DNS_Brentano,DNS_Meissner,3,undirected
DNS_Eichendorff,DNS_Berthold,2,undirected
DNS_Eichendorff,DNS_Kinkel_Margret,1,undirected
DNS_Eichendorff,DNS_Moerike,3,undirected
DNS_Gall,DNS_Immermann,3,undirected
DNS_Gall,DNS_Lohmann,2,undirected
DNS_Gall,DNS_Meissner,1,undirected
DNS_Goethe,DNS_Immermann,3,undirected
DNS_Goethe,DNS_Moerike,2,undirected
DNS_Goethe,DNS_Tieck_Lebens,1,undirected
DNS_Grillparzer,DNS_Berthold,1,undirected
DNS_Grillparzer,DNS_Immermann,3,undirected
DNS_Grillparzer,DNS_Moerike,2,undirected
DNS_Grimm,DNS_Berthold,5,undirected
DNS_Grimm,DNS_Keller,2,undirected
DNS_Grimm,DNS_Meissner,1,undirected
DNS_Hauff,DNS_Immermann,1,undirected
DNS_Hauff,DNS_Moerike,3,undirected
DNS_Hauff,DNS_Tieck_Lebens,3,undirected
DNS_Hauff,DNS_Wolf,1,undirected
DNS_Hoffmann,DNS_Immermann,2,undirected
DNS_Hoffmann,DNS_Kleist,1,undirected
DNS_Hoffmann,DNS_Meissner,3,undirected
DNS_Hoffmann,DNS_Moerike,1,undirected
DNS_Immermann,DNS_Arnim,3,undirected
DNS_Immermann,DNS_Berthold,1,undirected
DNS_Immermann,DNS_Brentano,2,undirected
DNS_Immermann,DNS_Gall,3,undirected
DNS_Immermann,DNS_Goethe,3,undirected
DNS_Immermann,DNS_Grillparzer,3,undirected
DNS_Immermann,DNS_Hauff,1,undirected
DNS_Immermann,DNS_Hoffmann,2,undirected
DNS_Immermann,DNS_Keller,1,undirected
DNS_Immermann,DNS_Kleist,2,undirected
DNS_Immermann,DNS_Kopisch_Karnevalsfest,1,undirected
DNS_Immermann,DNS_Kruse,2,undirected
DNS_Immermann,DNS_Lohmann,3,undirected
DNS_Immermann,DNS_Meissner,6,undirected
DNS_Immermann,DNS_Moerike,1,undirected
DNS_Immermann,DNS_Stifter,1,undirected
DNS_Immermann,DNS_Tieck_Gemaelde,4,undirected
DNS_Immermann,DNS_Tieck_Lebens,2,undirected
DNS_Immermann,DNS_Wolf,2,undirected
DNS_Keller,DNS_Berthold,3,undirected
DNS_Keller,DNS_Grimm,2,undirected
DNS_Keller,DNS_Immermann,1,undirected
DNS_Keller,DNS_Kinkel_Margret,2,undirected
DNS_Keller,DNS_Kopisch_Karnevalsfest,2,undirected
DNS_Keller,DNS_Moerike,5,undirected
DNS_Keller,DNS_Stifter,2,undirected
DNS_Keller,DNS_Widmann,1,undirected
DNS_Kinkel_Margret,DNS_Arnim,1,undirected
DNS_Kinkel_Margret,DNS_Eichendorff,1,undirected
DNS_Kinkel_Margret,DNS_Keller,2,undirected
DNS_Kinkel_Margret,DNS_Kleist,3,undirected
DNS_Kinkel_Margret,DNS_Moerike,3,undirected
DNS_Kinkel_Margret,DNS_Stifter,1,undirected
DNS_Kleist,DNS_Hoffmann,1,undirected
DNS_Kleist,DNS_Immermann,2,undirected
DNS_Kleist,DNS_Kinkel_Margret,3,undirected
DNS_Kopisch_Karnevalsfest,DNS_Immermann,1,undirected
DNS_Kopisch_Karnevalsfest,DNS_Keller,2,undirected
DNS_Kopisch_Karnevalsfest,DNS_Moerike,3,undirected
DNS_Kruse,DNS_Immermann,2,undirected
DNS_Kruse,DNS_Moerike,1,undirected
DNS_Kruse,DNS_Rumohr,3,undirected
DNS_Kruse,DNS_Tieck_Gemaelde,4,undirected
DNS_Lohmann,DNS_Gall,2,undirected
DNS_Lohmann,DNS_Immermann,3,undirected
DNS_Lohmann,DNS_Meissner,1,undirected
DNS_Lohmann,DNS_Tieck_Gemaelde,2,undirected
DNS_Meissner,DNS_Arnim,2,undirected
DNS_Meissner,DNS_Berthold,4,undirected
DNS_Meissner,DNS_Brentano,3,undirected
DNS_Meissner,DNS_Gall,1,undirected
DNS_Meissner,DNS_Grimm,1,undirected
DNS_Meissner,DNS_Hoffmann,3,undirected
DNS_Meissner,DNS_Immermann,6,undirected
DNS_Meissner,DNS_Lohmann,1,undirected
DNS_Meissner,DNS_Moerike,5,undirected
DNS_Meissner,DNS_Rumohr,1,undirected
DNS_Meissner,DNS_Widmann,3,undirected
DNS_Moerike,DNS_Eichendorff,3,undirected
DNS_Moerike,DNS_Goethe,2,undirected
DNS_Moerike,DNS_Grillparzer,2,undirected
DNS_Moerike,DNS_Hauff,3,undirected
DNS_Moerike,DNS_Hoffmann,1,undirected
DNS_Moerike,DNS_Immermann,1,undirected
DNS_Moerike,DNS_Keller,5,undirected
DNS_Moerike,DNS_Kinkel_Margret,3,undirected
DNS_Moerike,DNS_Kopisch_Karnevalsfest,3,undirected
DNS_Moerike,DNS_Kruse,1,undirected
DNS_Moerike,DNS_Meissner,5,undirected
DNS_Moerike,DNS_Rumohr,2,undirected
DNS_Moerike,DNS_Stifter,3,undirected
DNS_Rumohr,DNS_Kruse,3,undirected
DNS_Rumohr,DNS_Meissner,1,undirected
DNS_Rumohr,DNS_Moerike,2,undirected
DNS_Stifter,DNS_Immermann,1,undirected
DNS_Stifter,DNS_Keller,2,undirected
DNS_Stifter,DNS_Kinkel_Margret,1,undirected
DNS_Stifter,DNS_Moerike,3,undirected
DNS_Tieck_Gemaelde,DNS_Immermann,4,undirected
DNS_Tieck_Gemaelde,DNS_Kruse,4,undirected
DNS_Tieck_Gemaelde,DNS_Lohmann,2,undirected
DNS_Tieck_Gemaelde,DNS_Tieck_Lebens,6,undirected
DNS_Tieck_Lebens,DNS_Goethe,1,undirected
DNS_Tieck_Lebens,DNS_Hauff,3,undirected
DNS_Tieck_Lebens,DNS_Immermann,2,undirected
DNS_Tieck_Lebens,DNS_Tieck_Gemaelde,6,undirected
DNS_Tieck_Lebens,DNS_Wolf,3,undirected
DNS_Widmann,DNS_Berthold,2,undirected
DNS_Widmann,DNS_Keller,1,undirected
