Text;deltamean;inverted_deltamean
DNS_Arnim;1,0728927;0,9320597
DNS_Berthold;0,9645901;1,0367098
DNS_Brentano;1,0855441;0,9211970
DNS_Eichendorff;1,1146308;0,8971581
DNS_Gall;1,0260440;0,9746171
DNS_Goethe;1,1169707;0,8952786
DNS_Grillparzer;1,0202339;0,9801674
DNS_Grimm;1,0566624;0,9463760
DNS_Hauff;0,9844614;1,0157838
DNS_Hoffmann;1,0176657;0,9826409
DNS_Immermann;0,9133395;1,0948831
DNS_Keller;0,9600371;1,0416264
DNS_Kinkel_Margret;1,0113220;0,9888048
DNS_Kleist;1,1688132;0,8555687
DNS_Kopisch_Karnevalsfest;1,0458396;0,9561695
DNS_Kruse;0,9945248;1,0055053
DNS_Lohmann;1,0209265;0,9795024
DNS_Meissner;0,9430791;1,0603565
DNS_Moerike;0,9238792;1,0823926
DNS_Rumohr;1,0381719;0,9632316
DNS_Stifter;1,0213488;0,9790975
DNS_Tieck_Gemaelde;0,9852223;1,0149994
DNS_Tieck_Lebens;1,0127433;0,9874170
DNS_Widmann;1,0544402;0,9483705
DNS_Wolf;1,3403999;0,7460460
