Source,Target,Weight,Type
DNS_Alexis,DNS_Frey,1,undirected
DNS_Alexis,DNS_Gotthelf_Kurt,2,undirected
DNS_Alexis,DNS_Heyse,2,undirected
DNS_Alexis,DNS_Kruse,1,undirected
DNS_Alexis,DNS_Kuernberger,1,undirected
DNS_Alexis,DNS_Meissner,5,undirected
DNS_Alexis,DNS_Muegge,2,undirected
DNS_Alexis,DNS_Rumohr,3,undirected
DNS_Alexis,DNS_Tieck_Gemaelde,2,undirected
DNS_Alexis,DNS_Waldmueller,1,undirected
DNS_Alexis,DNS_Ziegler,2,undirected
DNS_Andolt,DNS_Immermann,5,undirected
DNS_Andolt,DNS_Mueller,2,undirected
DNS_Andolt,DNS_Schuecking,1,undirected
DNS_Andolt,DNS_v.W.,2,undirected
DNS_Arnim,DNS_Auerbach,2,undirected
DNS_Arnim,DNS_Immermann,3,undirected
DNS_Arnim,DNS_Schuecking,1,undirected
DNS_Auerbach,DNS_Arnim,2,undirected
DNS_Auerbach,DNS_Heyse,6,undirected
DNS_Auerbach,DNS_Meissner,1,undirected
DNS_Auerbach,DNS_Meyr,1,undirected
DNS_Auerbach,DNS_Reich,1,undirected
DNS_Auerbach,DNS_Wichert,4,undirected
DNS_Auerbach,DNS_Wildermuth,2,undirected
DNS_Berthold,DNS_Brentano,1,undirected
DNS_Berthold,DNS_Droste,4,undirected
DNS_Berthold,DNS_Eichendorff,1,undirected
DNS_Berthold,DNS_Grimm,3,undirected
DNS_Berthold,DNS_Heyse,3,undirected
DNS_Berthold,DNS_Meissner,1,undirected
DNS_Berthold,DNS_Reich,3,undirected
DNS_Berthold,DNS_Wichert,1,undirected
DNS_Berthold,DNS_Widmann,1,undirected
DNS_Berthold,DNS_Wilbrandt,2,undirected
DNS_Brentano,DNS_Berthold,1,undirected
DNS_Brentano,DNS_Immermann,2,undirected
DNS_Brentano,DNS_Meissner,3,undirected
DNS_Chamisso,DNS_Heyse,2,undirected
DNS_Chamisso,DNS_Immermann,3,undirected
DNS_Chamisso,DNS_Roquette,1,undirected
DNS_Dincklage,DNS_Heyse,3,undirected
DNS_Dincklage,DNS_Horner,2,undirected
DNS_Dincklage,DNS_Muegge,1,undirected
DNS_Droste,DNS_Berthold,4,undirected
DNS_Droste,DNS_Hacklaender,1,undirected
DNS_Droste,DNS_Heyse,3,undirected
DNS_Droste,DNS_Meissner,1,undirected
DNS_Eichendorff,DNS_Berthold,1,undirected
DNS_Eichendorff,DNS_Moerike,3,undirected
DNS_Eichendorff,DNS_Widmann,2,undirected
DNS_Ense,DNS_Goethe,3,undirected
DNS_Ense,DNS_Kaehler,3,undirected
DNS_Ense,DNS_Kinkel_Orthodoxie,2,undirected
