Source,Target,Weight,Type
DNS_Alexis,DNS_Immermann,1,undirected
DNS_Alexis,DNS_Meissner,2,undirected
DNS_Alexis,DNS_Muegge,2,undirected
DNS_Alexis,DNS_Tieck_Gemaelde,1,undirected
DNS_Alexis,NDNS_Scherr,3,undirected
DNS_Alexis,NDNS_Schiller,1,undirected
DNS_Andolt,DNS_Immermann,3,undirected
DNS_Andolt,DNS_Mueller,2,undirected
DNS_Andolt,DNS_Schreyvogel,1,undirected
DNS_Andolt,DNS_Schuecking,1,undirected
DNS_Arnim,DNS_Auerbach,3,undirected
DNS_Arnim,DNS_Immermann,2,undirected
DNS_Arnim,DNS_Meissner,1,undirected
DNS_Auerbach,DNS_Arnim,3,undirected
DNS_Auerbach,DNS_Berthold,1,undirected
DNS_Auerbach,DNS_Heyse,2,undirected
DNS_Auerbach,DNS_Hoefer,2,undirected
DNS_Auerbach,DNS_Meissner,1,undirected
DNS_Auerbach,DNS_Meyr,1,undirected
DNS_Auerbach,DNS_Wichert,3,undirected
DNS_Auerbach,DNS_Wildermuth,2,undirected
DNS_Auerbach,NDNS_Boehlau,2,undirected
DNS_Auerbach,NDNS_Hermann-Pantenius,1,undirected
DNS_Auerbach,NDNS_Hopfen,1,undirected
DNS_Auerbach,NDNS_Ludwig,1,undirected
DNS_Auerbach,NDNS_Scherr,3,undirected
DNS_Auerbach,NDNS_Schweichel,1,undirected
DNS_Auerbach,NDNS_Silberstein,3,undirected
DNS_Auerbach,NDNS_Trautmann,2,undirected
DNS_Auerbach,NDNS_Voss,2,undirected
DNS_Berthold,DNS_Auerbach,1,undirected
DNS_Berthold,DNS_Brentano,2,undirected
DNS_Berthold,DNS_Grimm,2,undirected
DNS_Berthold,DNS_Heyse,2,undirected
DNS_Berthold,DNS_Reich,1,undirected
DNS_Berthold,DNS_Wilbrandt,2,undirected
DNS_Berthold,NDNS_Boehlau,1,undirected
DNS_Berthold,NDNS_Buelow_Herr,1,undirected
DNS_Berthold,NDNS_Laistner,3,undirected
DNS_Brentano,DNS_Berthold,2,undirected
DNS_Brentano,DNS_Immermann,3,undirected
DNS_Brentano,DNS_Meissner,1,undirected
DNS_Chamisso,DNS_Immermann,3,undirected
DNS_Chamisso,DNS_Schuecking,1,undirected
DNS_Chamisso,DNS_Wild,2,undirected
DNS_Dincklage,DNS_Heyse,2,undirected
DNS_Dincklage,DNS_Muegge,1,undirected
DNS_Dincklage,NDNS_Scherr,3,undirected
DNS_Droste,DNS_Heyse,3,undirected
DNS_Droste,NDNS_Floerke,1,undirected
DNS_Droste,NDNS_Schweichel,2,undirected
DNS_Eichendorff,NDNS_Frapan,1,undirected
DNS_Eichendorff,NDNS_Gaudy,2,undirected
DNS_Eichendorff,NDNS_Starklof,3,undirected
DNS_Ense,DNS_Goethe,1,undirected
DNS_Ense,DNS_Kinkel_Orthodoxie,3,undirected
DNS_Ense,DNS_Lewald,1,undirected
DNS_Ense,NDNS_Boehm,2,undirected
DNS_Frey,NDNS_Frenzel,2,undirected
DNS_Frey,NDNS_Scherr,1,undirected
DNS_Frey,NDNS_Schweichel,3,undirected
DNS_Gall,DNS_Schuecking,3,undirected
DNS_Gall,DNS_Wild,1,undirected
DNS_Gall,NDNS_Scherr,2,undirected
DNS_Gerstaecker,DNS_Heyse,3,undirected
DNS_Gerstaecker,NDNS_Laistner,2,undirected
DNS_Gerstaecker,NDNS_Scherr,1,undirected
DNS_Gluemer,DNS_Heyse,2,undirected
DNS_Gluemer,DNS_Schmid,1,undirected
DNS_Gluemer,NDNS_Scherr,3,undirected
DNS_Goethe,DNS_Ense,1,undirected
DNS_Goethe,DNS_Immermann,2,undirected
DNS_Goethe,DNS_Moerike,3,undirected
DNS_Goldammer_Hochzeitsnacht,DNS_Heyse,2,undirected
DNS_Goldammer_Hochzeitsnacht,NDNS_Laistner,3,undirected
DNS_Goldammer_Hochzeitsnacht,NDNS_Scherr,1,undirected
DNS_Goldammer_Wiedersehen,DNS_Moerike,1,undirected
DNS_Goldammer_Wiedersehen,DNS_Pichler,3,undirected
DNS_Goldammer_Wiedersehen,NDNS_Friedmann,2,undirected
DNS_Gotthelf_Kurt,DNS_Gotthelf_Notar,3,undirected
DNS_Gotthelf_Kurt,DNS_Keller,3,undirected
DNS_Gotthelf_Kurt,DNS_Riehl,3,undirected
DNS_Gotthelf_Kurt,NDNS_Scherr,1,undirected
DNS_Gotthelf_Kurt,NDNS_Starklof,2,undirected
DNS_Gotthelf_Notar,DNS_Gotthelf_Kurt,3,undirected
DNS_Gotthelf_Notar,NDNS_Scherr,2,undirected
DNS_Gotthelf_Notar,NDNS_Spielhagen,1,undirected
DNS_Grillparzer,DNS_Moerike,2,undirected
DNS_Grillparzer,NDNS_Gaudy,3,undirected
DNS_Grillparzer,NDNS_Scherr,1,undirected
DNS_Grimm,DNS_Berthold,2,undirected
DNS_Grimm,DNS_Wild,3,undirected
DNS_Grimm,NDNS_Vacano,1,undirected
DNS_Grosse,DNS_Immermann,3,undirected
DNS_Grosse,DNS_Tieck_Lebens,1,undirected
DNS_Grosse,NDNS_Dueringsfeld,2,undirected
DNS_Grosse,NDNS_Scherr,2,undirected
DNS_Grosse,NDNS_Vacano,1,undirected
DNS_Hacklaender,DNS_Moerike,1,undirected
DNS_Hacklaender,NDNS_Floerke,3,undirected
DNS_Hacklaender,NDNS_Starklof,2,undirected
DNS_Halm,DNS_Kleist,3,undirected
DNS_Halm,DNS_Mueller,1,undirected
DNS_Halm,NDNS_Schweichel,2,undirected
DNS_Halm,NDNS_Widmann,3,undirected
DNS_Hartmann,DNS_Kurz,1,undirected
DNS_Hartmann,DNS_Moerike,2,undirected
DNS_Hartmann,NDNS_Spielhagen,3,undirected
DNS_Hauff,DNS_Scheffel,2,undirected
DNS_Hauff,NDNS_Floerke,2,undirected
DNS_Hauff,NDNS_Gaudy,3,undirected
DNS_Hauff,NDNS_Scherr,1,undirected
DNS_Heyden,DNS_Kurz,2,undirected
DNS_Heyden,DNS_Schuecking,1,undirected
DNS_Heyden,NDNS_Widmann,3,undirected
DNS_Heyse,DNS_Auerbach,2,undirected
DNS_Heyse,DNS_Berthold,2,undirected
DNS_Heyse,DNS_Dincklage,2,undirected
DNS_Heyse,DNS_Droste,3,undirected
DNS_Heyse,DNS_Gerstaecker,3,undirected
DNS_Heyse,DNS_Gluemer,2,undirected
DNS_Heyse,DNS_Goldammer_Hochzeitsnacht,2,undirected
DNS_Heyse,DNS_Hoefer,3,undirected
DNS_Heyse,DNS_Holtei,1,undirected
DNS_Heyse,DNS_Keller,2,undirected
DNS_Heyse,DNS_Kinkel_Margret,3,undirected
DNS_Heyse,DNS_Kompert,1,undirected
DNS_Heyse,DNS_Ludwig,1,undirected
DNS_Heyse,DNS_Muegge,2,undirected
DNS_Heyse,DNS_Pichler,3,undirected
DNS_Heyse,DNS_Raabe,1,undirected
DNS_Heyse,DNS_Roquette,2,undirected
DNS_Heyse,DNS_Schmid,1,undirected
DNS_Heyse,DNS_Wichert,2,undirected
DNS_Heyse,DNS_Wilbrandt,3,undirected
DNS_Heyse,NDNS_Anzengruber,1,undirected
DNS_Heyse,NDNS_Bernstein,1,undirected
DNS_Heyse,NDNS_Boehlau,3,undirected
DNS_Heyse,NDNS_Buelow_Herr,2,undirected
DNS_Heyse,NDNS_Floerke,3,undirected
DNS_Heyse,NDNS_Fontane,3,undirected
DNS_Heyse,NDNS_Frapan,3,undirected
DNS_Heyse,NDNS_Ganghofer,1,undirected
DNS_Heyse,NDNS_Heyse,3,undirected
DNS_Heyse,NDNS_Hirsch,2,undirected
DNS_Heyse,NDNS_Hoffmann,2,undirected
DNS_Heyse,NDNS_Laistner,5,undirected
DNS_Heyse,NDNS_Mosenthal,3,undirected
DNS_Heyse,NDNS_Rosegger,3,undirected
DNS_Heyse,NDNS_Scherr,4,undirected
DNS_Heyse,NDNS_Silberstein,1,undirected
DNS_Heyse,NDNS_Smidt_Feuerschiff,1,undirected
DNS_Heyse,NDNS_Stern,3,undirected
DNS_Heyse,NDNS_Storm,2,undirected
DNS_Heyse,NDNS_Voss,3,undirected
DNS_Heyse,NDNS_Wildenbruch,1,undirected
DNS_Hoefer,DNS_Auerbach,2,undirected
DNS_Hoefer,DNS_Heyse,3,undirected
DNS_Hoefer,NDNS_Scherr,1,undirected
DNS_Hoffmann,DNS_Immermann,3,undirected
DNS_Hoffmann,DNS_Meissner,1,undirected
DNS_Hoffmann,NDNS_Scherr,2,undirected
DNS_Holtei,DNS_Heyse,1,undirected
DNS_Holtei,NDNS_Mueller,2,undirected
DNS_Holtei,NDNS_Scherr,3,undirected
DNS_Horner,NDNS_Floerke,1,undirected
DNS_Horner,NDNS_Scherr,3,undirected
DNS_Horner,NDNS_Schweichel,2,undirected
DNS_Immermann,DNS_Alexis,1,undirected
DNS_Immermann,DNS_Andolt,3,undirected
DNS_Immermann,DNS_Arnim,2,undirected
DNS_Immermann,DNS_Brentano,3,undirected
DNS_Immermann,DNS_Chamisso,3,undirected
DNS_Immermann,DNS_Goethe,2,undirected
DNS_Immermann,DNS_Grosse,3,undirected
DNS_Immermann,DNS_Hoffmann,3,undirected
DNS_Immermann,DNS_Meissner,3,undirected
DNS_Immermann,DNS_Roquette,3,undirected
DNS_Immermann,DNS_Schreyvogel,2,undirected
DNS_Immermann,DNS_Schuecking,2,undirected
DNS_Immermann,DNS_Sternberg,3,undirected
