Source,Target,Weight,Type
DNS_Alexis,DNS_Tieck_Gemaelde,1,undirected
DNS_Alexis,DNS_Zschokke,1,undirected
DNS_Alexis,NDNS_Frenzel,2,undirected
DNS_Alexis,NDNS_Stern,1,undirected
DNS_Alexis,NSdA_Merimee_Colomba,3,undirected
DNS_Andolt,DNS_Immermann,2,undirected
DNS_Andolt,NSdA_Merimee_Colomba,1,undirected
DNS_Andolt,NSdA_Reybaud_Fraeulein,3,undirected
DNS_Arnim,DNS_Auerbach,3,undirected
DNS_Arnim,DNS_Immermann,2,undirected
DNS_Arnim,NDNS_Frenzel,1,undirected
DNS_Auerbach,DNS_Arnim,3,undirected
DNS_Auerbach,DNS_Heyse,2,undirected
DNS_Auerbach,DNS_Hoefer,1,undirected
DNS_Auerbach,DNS_Meyr,1,undirected
DNS_Auerbach,DNS_Wichert,3,undirected
DNS_Auerbach,DNS_Wildermuth,2,undirected
DNS_Auerbach,NDNS_Boehlau,1,undirected
DNS_Auerbach,NDNS_Ludwig,1,undirected
DNS_Auerbach,NDNS_Scherr,3,undirected
DNS_Auerbach,NDNS_Schweichel,1,undirected
DNS_Auerbach,NDNS_Silberstein,3,undirected
DNS_Auerbach,NDNS_Trautmann,2,undirected
DNS_Auerbach,NDNS_Voss,2,undirected
DNS_Berthold,DNS_Brentano,2,undirected
DNS_Berthold,DNS_Grimm,2,undirected
DNS_Berthold,DNS_Heyse,2,undirected
DNS_Berthold,DNS_Reich,1,undirected
DNS_Berthold,DNS_Wilbrandt,2,undirected
DNS_Berthold,NDNS_Boehlau,2,undirected
DNS_Berthold,NDNS_Buelow_Herr,1,undirected
DNS_Berthold,NDNS_Laistner,3,undirected
DNS_Berthold,NSdA_Bjoernson,4,undirected
DNS_Brentano,DNS_Berthold,2,undirected
DNS_Brentano,DNS_Immermann,3,undirected
DNS_Brentano,DNS_Meissner,1,undirected
DNS_Chamisso,DNS_Immermann,3,undirected
DNS_Chamisso,DNS_Wild,2,undirected
DNS_Chamisso,NSdA_Reybaud_Fraeulein,1,undirected
DNS_Dincklage,DNS_Heyse,2,undirected
DNS_Dincklage,NDNS_Scherr,3,undirected
DNS_Dincklage,NSdA_Merimee_Colomba,1,undirected
DNS_Droste,DNS_Heyse,3,undirected
DNS_Droste,NDNS_Floerke,2,undirected
DNS_Droste,NDNS_Schweichel,1,undirected
DNS_Eichendorff,NDNS_Frapan,1,undirected
DNS_Eichendorff,NDNS_Gaudy,3,undirected
DNS_Eichendorff,NDNS_Starklof,2,undirected
DNS_Ense,DNS_Goethe,2,undirected
DNS_Ense,DNS_Kinkel_Orthodoxie,3,undirected
DNS_Ense,DNS_Lewald,1,undirected
DNS_Ense,NDNS_Boehm,2,undirected
DNS_Frey,NDNS_Frenzel,3,undirected
DNS_Frey,NDNS_Schweichel,1,undirected
DNS_Frey,NSdA_Merimee_Colomba,2,undirected
DNS_Gall,DNS_Schuecking,3,undirected
DNS_Gall,NDNS_Scherr,1,undirected
DNS_Gall,NSdA_Merimee_Colomba,2,undirected
