Source,Target,Weight,Type
NDNS_Anzengruber,NDNS_Laistner,1,undirected
NDNS_Anzengruber,NDNS_Ludwig,3,undirected
NDNS_Anzengruber,NDNS_Scherr,2,undirected
NDNS_Artaria,NDNS_Buelow_Verzaubert,3,undirected
NDNS_Artaria,NDNS_Floerke,3,undirected
NDNS_Artaria,NDNS_Heiberg,3,undirected
NDNS_Artaria,NDNS_Kirchbach,1,undirected
NDNS_Artaria,NDNS_Scherr,1,undirected
NDNS_Artaria,NDNS_Schoene,3,undirected
NDNS_Artaria,NDNS_Spielhagen,4,undirected
NDNS_Bernstein,NDNS_Dingelstedt,1,undirected
NDNS_Bernstein,NDNS_Mueller,2,undirected
NDNS_Bernstein,NDNS_Rosegger,1,undirected
NDNS_Bernstein,NDNS_Scherr,3,undirected
NDNS_Boehlau,NDNS_Floerke,1,undirected
NDNS_Boehlau,NDNS_Friedmann,3,undirected
NDNS_Boehlau,NDNS_Laistner,2,undirected
NDNS_Boehlau,NDNS_Smidt_Feuerschiff,1,undirected
NDNS_Boehm,NDNS_Frenzel,4,undirected
NDNS_Boehm,NDNS_Gutzkow,1,undirected
NDNS_Boehm,NDNS_Hoffmann,2,undirected
NDNS_Boehm,NDNS_Kleist,3,undirected
NDNS_Boehm,NDNS_Lindau_Welt,3,undirected
NDNS_Boehm,NDNS_Marbach,3,undirected
NDNS_Boehm,NDNS_Meyer,1,undirected
NDNS_Boehm,NDNS_Putlitz,1,undirected
NDNS_Boehm,NDNS_Rosenthal-Bonin,2,undirected
NDNS_Boehm,NDNS_Schiller,3,undirected
NDNS_Boehm,NDNS_Schweichel,1,undirected
NDNS_Boehm,NDNS_Widmann,4,undirected
NDNS_Boy-Ed,NDNS_Floerke,3,undirected
NDNS_Boy-Ed,NDNS_Weber,1,undirected
NDNS_Boy-Ed,NDNS_Zitelmann,2,undirected
NDNS_Buelow_Herr,NDNS_Floerke,2,undirected
NDNS_Buelow_Herr,NDNS_Friedmann,1,undirected
NDNS_Buelow_Herr,NDNS_Laistner,3,undirected
NDNS_Buelow_Verzaubert,NDNS_Artaria,3,undirected
NDNS_Buelow_Verzaubert,NDNS_Floerke,2,undirected
NDNS_Buelow_Verzaubert,NDNS_Schoene,1,undirected
NDNS_Buelow_Verzaubert,NDNS_Vacano,1,undirected
NDNS_Burow,NDNS_Floerke,2,undirected
NDNS_Burow,NDNS_Puttkammer,1,undirected
NDNS_Burow,NDNS_Widmann,3,undirected
NDNS_Dingelstedt,NDNS_Bernstein,1,undirected
NDNS_Dingelstedt,NDNS_Ebner-Eschenbach_Freiherren,2,undirected
NDNS_Dingelstedt,NDNS_Frenzel,3,undirected
NDNS_Dingelstedt,NDNS_Kirschner,2,undirected
NDNS_Dingelstedt,NDNS_Meyer,2,undirected
NDNS_Dingelstedt,NDNS_Vacano,2,undirected
NDNS_Dingelstedt,NDNS_Weber,1,undirected
NDNS_Dueringsfeld,NDNS_Floerke,2,undirected
NDNS_Dueringsfeld,NDNS_Scherr,1,undirected
NDNS_Dueringsfeld,NDNS_Vacano,3,undirected
NDNS_Ebner-Eschenbach_Freiherren,NDNS_Dingelstedt,2,undirected
NDNS_Ebner-Eschenbach_Freiherren,NDNS_Ebner-Eschenbach_Krambambuli,2,undirected
NDNS_Ebner-Eschenbach_Freiherren,NDNS_Schweichel,3,undirected
NDNS_Ebner-Eschenbach_Freiherren,NDNS_Vacano,1,undirected
NDNS_Ebner-Eschenbach_Krambambuli,NDNS_Ebner-Eschenbach_Freiherren,2,undirected
NDNS_Ebner-Eschenbach_Krambambuli,NDNS_Friedmann,1,undirected
NDNS_Ebner-Eschenbach_Krambambuli,NDNS_Lentner,3,undirected
NDNS_Floerke,NDNS_Artaria,3,undirected
NDNS_Floerke,NDNS_Boehlau,1,undirected
NDNS_Floerke,NDNS_Boy-Ed,3,undirected
NDNS_Floerke,NDNS_Buelow_Herr,2,undirected
NDNS_Floerke,NDNS_Buelow_Verzaubert,2,undirected
NDNS_Floerke,NDNS_Burow,2,undirected
NDNS_Floerke,NDNS_Dueringsfeld,2,undirected
NDNS_Floerke,NDNS_Fontane,3,undirected
NDNS_Floerke,NDNS_Franzos,1,undirected
NDNS_Floerke,NDNS_Frapan,1,undirected
NDNS_Floerke,NDNS_Godin,1,undirected
NDNS_Floerke,NDNS_Heiberg,1,undirected
NDNS_Floerke,NDNS_Hermann-Pantenius,2,undirected
NDNS_Floerke,NDNS_Heyse,3,undirected
NDNS_Floerke,NDNS_Hirsch,3,undirected
NDNS_Floerke,NDNS_Hopfen,1,undirected
NDNS_Floerke,NDNS_Jensen,3,undirected
NDNS_Floerke,NDNS_Kirschner,3,undirected
NDNS_Floerke,NDNS_Laistner,2,undirected
NDNS_Floerke,NDNS_Ludwig,1,undirected
NDNS_Floerke,NDNS_Mosen,3,undirected
NDNS_Floerke,NDNS_Mosenthal,2,undirected
NDNS_Floerke,NDNS_Saar,3,undirected
NDNS_Floerke,NDNS_Scherr,6,undirected
NDNS_Floerke,NDNS_Schweichel,3,undirected
NDNS_Floerke,NDNS_Silberstein,2,undirected
NDNS_Floerke,NDNS_Smidt_Feuerschiff,3,undirected
NDNS_Floerke,NDNS_Spielhagen,3,undirected
NDNS_Floerke,NDNS_Starklof,2,undirected
NDNS_Floerke,NDNS_Stern,1,undirected
NDNS_Floerke,NDNS_Storm,2,undirected
NDNS_Floerke,NDNS_Vacano,3,undirected
NDNS_Floerke,NDNS_Voss,3,undirected
NDNS_Floerke,NDNS_Weber,3,undirected
NDNS_Floerke,NDNS_Wildenbruch,2,undirected
NDNS_Floerke,NDNS_Zitelmann,1,undirected
NDNS_Fontane,NDNS_Floerke,3,undirected
NDNS_Fontane,NDNS_Hermann-Pantenius,2,undirected
NDNS_Fontane,NDNS_Scherr,1,undirected
NDNS_Franzos,NDNS_Floerke,1,undirected
NDNS_Franzos,NDNS_Scherr,3,undirected
NDNS_Franzos,NDNS_Vacano,2,undirected
NDNS_Frapan,NDNS_Floerke,1,undirected
NDNS_Frapan,NDNS_Friedmann,3,undirected
NDNS_Frapan,NDNS_Laistner,2,undirected
NDNS_Frenzel,NDNS_Boehm,4,undirected
NDNS_Frenzel,NDNS_Dingelstedt,3,undirected
NDNS_Frenzel,NDNS_Gutzkow,2,undirected
NDNS_Frenzel,NDNS_Heyse,1,undirected
NDNS_Frenzel,NDNS_Kleist,1,undirected
NDNS_Frenzel,NDNS_Lentner,3,undirected
NDNS_Frenzel,NDNS_Lindau_Welt,1,undirected
NDNS_Frenzel,NDNS_Marbach,1,undirected
NDNS_Frenzel,NDNS_Postl,1,undirected
NDNS_Frenzel,NDNS_Putlitz,3,undirected
NDNS_Frenzel,NDNS_Schiller,1,undirected
NDNS_Frenzel,NDNS_Schweichel,3,undirected
NDNS_Frenzel,NDNS_Widmann,5,undirected
NDNS_Friedmann,NDNS_Boehlau,3,undirected
NDNS_Friedmann,NDNS_Buelow_Herr,1,undirected
NDNS_Friedmann,NDNS_Ebner-Eschenbach_Krambambuli,1,undirected
NDNS_Friedmann,NDNS_Frapan,3,undirected
NDNS_Friedmann,NDNS_Kirschner,1,undirected
NDNS_Friedmann,NDNS_Laistner,3,undirected
NDNS_Friedmann,NDNS_Rosegger,3,undirected
NDNS_Friedmann,NDNS_Scherr,1,undirected
NDNS_Friedmann,NDNS_Schweichel,2,undirected
NDNS_Ganghofer,NDNS_Laistner,3,undirected
NDNS_Ganghofer,NDNS_Scherr,2,undirected
NDNS_Ganghofer,NDNS_Schweichel,1,undirected
NDNS_Gaudy,NDNS_Mueller,2,undirected
NDNS_Gaudy,NDNS_Postl,2,undirected
NDNS_Gaudy,NDNS_Reuter,1,undirected
NDNS_Gaudy,NDNS_Scherr,1,undirected
NDNS_Gaudy,NDNS_Schiller,2,undirected
NDNS_Gaudy,NDNS_Starklof,3,undirected
NDNS_Gaudy,NDNS_Storm,5,undirected
NDNS_Gaudy,NDNS_Trautmann,2,undirected
NDNS_Godin,NDNS_Floerke,1,undirected
NDNS_Godin,NDNS_Vacano,2,undirected
NDNS_Godin,NDNS_Zitelmann,3,undirected
NDNS_Gutzkow,NDNS_Boehm,1,undirected
NDNS_Gutzkow,NDNS_Frenzel,2,undirected
NDNS_Gutzkow,NDNS_Widmann,3,undirected
NDNS_Heiberg,NDNS_Artaria,3,undirected
NDNS_Heiberg,NDNS_Floerke,1,undirected
NDNS_Heiberg,NDNS_Widmann,2,undirected
NDNS_Hermann-Pantenius,NDNS_Floerke,2,undirected
NDNS_Hermann-Pantenius,NDNS_Fontane,2,undirected
NDNS_Hermann-Pantenius,NDNS_Kirchbach,2,undirected
NDNS_Hermann-Pantenius,NDNS_Scherr,1,undirected
NDNS_Hermann-Pantenius,NDNS_Weber,3,undirected
NDNS_Heyse,NDNS_Floerke,3,undirected
NDNS_Heyse,NDNS_Frenzel,1,undirected
NDNS_Heyse,NDNS_Schweichel,2,undirected
NDNS_Hirsch,NDNS_Floerke,3,undirected
NDNS_Hirsch,NDNS_Schweichel,2,undirected
NDNS_Hirsch,NDNS_Vacano,1,undirected
NDNS_Hoffmann,NDNS_Boehm,2,undirected
NDNS_Hoffmann,NDNS_Lentner,1,undirected
NDNS_Hoffmann,NDNS_Widmann,3,undirected
NDNS_Hopfen,NDNS_Floerke,1,undirected
NDNS_Hopfen,NDNS_Scherr,3,undirected
NDNS_Hopfen,NDNS_Schweichel,2,undirected
NDNS_Jensen,NDNS_Floerke,3,undirected
NDNS_Jensen,NDNS_Laistner,1,undirected
NDNS_Jensen,NDNS_Scherr,2,undirected
NDNS_Jensen,NDNS_Smidt_Passagiere,2,undirected
NDNS_Kirchbach,NDNS_Artaria,1,undirected
NDNS_Kirchbach,NDNS_Hermann-Pantenius,2,undirected
NDNS_Kirchbach,NDNS_Vacano,3,undirected
NDNS_Kirschner,NDNS_Dingelstedt,2,undirected
NDNS_Kirschner,NDNS_Floerke,3,undirected
NDNS_Kirschner,NDNS_Friedmann,1,undirected
NDNS_Kleist,NDNS_Boehm,3,undirected
NDNS_Kleist,NDNS_Frenzel,1,undirected
NDNS_Kleist,NDNS_Widmann,2,undirected
NDNS_Kulke,NDNS_Ludwig,2,undirected
NDNS_Kulke,NDNS_Puttkammer,1,undirected
NDNS_Kulke,NDNS_Scherr,3,undirected
NDNS_Laistner,NDNS_Anzengruber,1,undirected
NDNS_Laistner,NDNS_Boehlau,2,undirected
NDNS_Laistner,NDNS_Buelow_Herr,3,undirected
NDNS_Laistner,NDNS_Floerke,2,undirected
