"NDNS_Anzengruber" "NDNS_Artaria" "NDNS_Bernstein" "NDNS_Boehlau" "NDNS_Boehm" "NDNS_Boy-Ed" "NDNS_Buelow_Herr" "NDNS_Buelow_Verzaubert" "NDNS_Burow" "NDNS_Dingelstedt" "NDNS_Dueringsfeld" "NDNS_Ebner-Eschenbach_Freiherren" "NDNS_Ebner-Eschenbach_Krambambuli" "NDNS_Floerke" "NDNS_Fontane" "NDNS_Franzos" "NDNS_Frapan" "NDNS_Frenzel" "NDNS_Friedmann" "NDNS_Ganghofer" "NDNS_Gaudy" "NDNS_Godin" "NDNS_Gutzkow" "NDNS_Heiberg" "NDNS_Hermann-Pantenius" "NDNS_Heyse" "NDNS_Hirsch" "NDNS_Hoffmann" "NDNS_Hopfen" "NDNS_Jensen" "NDNS_Kirchbach" "NDNS_Kirschner" "NDNS_Kleist" "NDNS_Kulke" "NDNS_Laistner" "NDNS_Lentner" "NDNS_Lindau_Welt" "NDNS_Lindau_Wette" "NDNS_Ludwig" "NDNS_Marbach" "NDNS_Meyer" "NDNS_Mosen" "NDNS_Mosenthal" "NDNS_Mueller" "NDNS_Postl" "NDNS_Putlitz" "NDNS_Puttkammer" "NDNS_Reuter" "NDNS_Rosegger" "NDNS_Rosenthal-Bonin" "NDNS_Saar" "NDNS_Scherr" "NDNS_Schiller" "NDNS_Schoene" "NDNS_Schweichel" "NDNS_Silberstein" "NDNS_Smidt_Feuerschiff" "NDNS_Smidt_Passagiere" "NDNS_Spielhagen" "NDNS_Starklof" "NDNS_Stern" "NDNS_Storm" "NDNS_Trautmann" "NDNS_Vacano" "NDNS_Voss" "NDNS_Weber" "NDNS_Weitbrecht" "NDNS_Widmann" "NDNS_Wildenbruch" "NDNS_Zitelmann"
"und" 3.99496131005938 3.41098169717138 3.95781886137623 4.31048665723405 3.15499899704846 2.52866033409761 3.49644206272512 3.12985871696072 3.6615493206282 2.97861922637506 2.22051700158266 2.84692707279228 3.55106272680145 3.29478761113371 6.85964485526636 4.33608908385355 3.26801220370805 3.0005511919526 3.14393319141968 3.07581770904612 4.11900944236594 2.47555778390574 2.854996243426 4.18914822673537 3.01951873853651 3.55072946505896 2.95482295482295 4.67576430762721 4.34928069588491 3.56828968184215 3.32581736189402 2.60595887536718 3.46863468634686 2.78556056360905 3.20257925846319 3.77944129998174 3.13207044940331 2.67400403038289 3.55453794760153 3.15080574039926 3.43508747078405 3.20842210803359 3.68398330695064 3.20059545962039 2.55996590770729 3.21340146446821 2.28118703684732 0.170051015304591 4.25877469999098 3.74850911569262 4.21317244846657 3.21256508306868 3.10853530031612 3.83684446436576 2.78564683663834 5.25452352231604 4.09263959390863 3.59890791759742 2.94551430618179 3.19169843952675 3.52359901183201 2.75536800297878 3.68586387434555 3.46187438795225 2.62497587338352 3.76903496628411 0.239168429767271 2.32010150444082 3.37029923796543 3.06947561997999
"die" 2.63631455821486 2.26583145737496 2.89439142138868 2.71132901187852 3.30974009227154 2.35833606288896 2.38952824387244 1.98066653146759 2.9027704252691 2.68075730373755 1.60184163829073 3.21122579774674 2.95489891135303 2.83572549247487 2.15276088542934 2.60671503290029 2.69889697254166 2.65605622157916 3.21489001692047 2.32995757492815 2.4122572599323 1.86763599899724 3.09917355371901 2.60685056077599 2.7430260888609 2.81127173406169 2.14285714285714 1.97820797630382 2.40325638452102 2.36128200621082 2.35545176356901 2.920688208141 2.36162361623616 2.29016932634913 2.68672756582483 2.62309049966527 2.58196175857327 2.25546426910556 3.378124765408 2.84614767898661 2.36560662936469 2.50657977190124 2.62627716218161 2.0431708224786 2.39254839887982 3.25554443449402 2.2367926783458 0.0500150045013504 2.80609943156185 2.70914976997785 2.37305178481649 2.2511720353447 2.13382507903056 2.11564320932317 2.59678942398489 2.81785283474065 3.2994923857868 3.54926780838918 2.42299102439847 2.45862977084234 2.60044207515278 2.23408216457739 1.88062827225131 2.23645554879178 2.53812005404362 2.39807082570446 0.211572072486432 2.89650172195034 2.5772876525618 2.71249695756822
"der" 1.88051106712255 1.99177840853479 3.0434492424748 2.10588661116778 2.86557583746454 2.66622993776613 2.34560309233067 1.64266882985196 2.43515087347803 1.93814264729884 1.40520838329097 2.23976253120151 3.60290305857957 2.40862339473531 1.76964242276818 1.79686181879534 2.27646092466557 2.77662946120987 2.23786911194804 2.29574380730806 2.42650988776056 1.85510152920531 2.12246431254696 1.75810851773265 2.77040159872978 2.65805076277397 1.79487179487179 1.89357875806622 2.13003234080517 2.87689693560673 1.93267837010791 2.2031053294167 3.17343173431734 2.77337881187315 2.36790256134695 2.9091351713225 2.86588882480813 1.9996899705472 2.69499286840327 2.11657179507737 3.52716198031022 2.50657977190124 1.88516333285365 3.05545217714924 2.28296602946548 2.57072117157457 3.24078817061093 0.0100030009002701 3.00460164215465 3.13511671494292 1.68929110105581 2.74375094518979 2.68703898840885 1.96324518153294 2.67548001259049 2.65862484921592 2.79187817258883 4.16976917349218 2.1954405629767 2.31319523603632 3.17253933168639 2.37888378635555 2.18219895287958 1.93473255167668 1.68886315383131 1.98276247041486 2.50206972679606 2.70074315751314 2.07546000867356 2.3149525380642
"sie" 1.53859996400936 1.92815895076833 0.992235644841932 1.60573854101543 2.66498552884202 0.989190959711759 2.44223842572257 2.88650037179747 1.79107111346391 2.17888036559491 3.44347992902019 1.80800107940363 0.673924313115604 2.0715904468592 2.4720262709803 2.77543445250548 2.09457873738559 1.78448394653438 1.9649582446373 0.739017380593951 0.605736682700873 2.24367009275508 1.71863260706236 2.44922703849651 1.32771222864026 2.0118579708214 2.25274725274725 1.71374166931133 2.3084643693543 1.81637077400832 2.51650829441134 1.25052454888796 2.2140221402214 1.29532626791733 2.04191295002687 1.35110461931714 0.811853955015305 3.41032398077817 2.57863523759478 1.45915176781849 0.736596076209363 0.939967414462965 2.36724708591164 0.476367696315594 0.675757944721783 2.36527419269873 1.12010381449988 0 0.93837408643869 0.954165956721758 2.12166918049271 1.70674271393696 0.935194942044257 1.37158225011206 2.54367327667611 2.06031363088058 1.3007614213198 1.01762223876893 1.99738738359108 2.59816831099406 0.728123781042777 0.959827892929544 0.431413612565445 2.65463303602149 1.50550086855819 1.75054704595186 0.147180572164474 1.23617908283487 3.85973607583173 2.37174459799335
"er" 1.4396256973187 0.719389253205442 1.69525462190483 2.28357079398506 1.33535834025847 1.7359973796266 3.30317139594132 0.790914621780572 1.20875242632786 1.51379141504815 1.42439211548607 1.36949335492141 2.64385692068429 1.74327386832471 0.875699343225493 2.36207187447275 2.47007744660878 1.20228744660328 1.91037607117515 1.31380867661147 0.577231427044361 1.64828277763851 1.5495867768595 0.497120339496817 1.66169344904049 1.13916461261741 1.66056166056166 1.26943827356395 1.09289617486339 1.30075584461241 0.696569495893058 2.47587075115401 1.82656826568266 2.19271531246193 1.94519075765717 1.18069502769156 1.92981677831507 0.837079522554643 1.42256587343293 1.71570592479756 1.77066364473405 1.42875046998371 1.79881997409699 1.34350576851507 1.50066967003531 1.11152083443081 1.51965304101356 0.0100030009002701 1.12785346927727 0.528199011756688 0.462543991955757 1.2660142156545 1.44889357218124 1.29986553115195 1.80988353792886 2.21471652593486 1.55456852791878 1.06726234797717 1.96789010155493 0.884399198144727 1.75529840072812 0.868809730668983 1.76335078534031 1.32069978561787 3.12680949623625 2.25516902603492 1.90414865237789 1.67119811491753 2.34805774115606 2.18784649917516
"in" 0.791794133525283 1.46324752862876 1.85543616098245 1.30959823631996 1.63910937902972 1.27088110055683 1.27382939471141 1.43987020888258 1.56167284277395 1.66884282683205 1.08867680207184 1.59886662618903 1.50336962156558 1.33941542216282 1.22233033325225 1.28226758899949 1.41985449425018 1.71558495245969 1.3700125538999 1.10510469412892 1.25423124888651 1.27851591877664 1.67167543200601 1.70960897241588 1.32771222864026 1.39231230431017 1.05616605616606 1.24828096900455 1.42188022750084 1.42965957696139 1.30053148655178 1.59043222828368 1.56826568265683 1.29938685182929 1.17499552212072 1.47891181303633 1.823344128477 1.11610603007286 1.0134374296224 1.6355327507416 1.48027480699766 1.6167439528763 1.10087782414736 1.46631931522144 1.34542798003166 1.36437865458568 1.50940818905167 1.66049814944483 1.57899485698818 1.77202249105469 1.6088486676722 1.55335191306414 0.987881981032666 1.12057373375168 1.37708530059805 1.29312424607961 1.04695431472081 1.24100273020601 1.60970881968733 1.31480680790849 1.15719672344299 1.49766248810558 1.07643979057592 1.56684223063282 1.32213858328508 1.6612334211584 0.156379357924754 1.81257930034439 1.24527600520414 1.37112258971793
"zu" 1.13370523663847 1.38984046197514 1.36376782575808 1.09242867954329 1.78525374674041 1.2905339010809 1.04541860669419 1.36551071452714 1.40285865537321 1.31793700016321 1.25653445877896 1.32901571881535 1.47744945567652 1.31617177058516 0.957796156652883 0.97013666272988 0.962215442384417 1.60190161223646 1.09164346924295 0.810866292596141 1.31836807411366 1.44773126096766 1.52141247182569 1.41861170051531 1.32223712666648 1.72540137232696 1.52625152625153 1.87242145350682 1.30478420876547 0.978496513739966 1.17973908842004 1.26311372219891 1.21771217712177 1.26284159662159 1.25738850080602 1.33284644878583 1.64588971208021 1.55014726399008 1.07349298100743 1.72372324220316 1.01281960478787 1.11542799849605 1.07209670456181 1.1239300334946 1.5341531718008 1.59089711847442 1.28060649523614 0 1.24515023008211 1.51644232407565 1.2166918049271 1.23360770842785 1.81770284510011 0.923352756611385 1.32003462385899 0.882991556091677 1.09454314720812 1.56366344005957 1.62235051198854 1.25584686136551 1.27421661682486 1.07566919035207 1.07225130890052 1.24659238281767 1.26423470372515 1.16107712231501 0.110385429123356 1.54431756389342 1.0532185118642 1.55772507234227
"ich" 2.99622098254454 2.81883135949887 0.703018977062894 0.845645092297062 0.381121586382784 1.11365869636423 1.23868927347799 3.63685526938417 1.50873478030704 0.946629671943855 2.38837465828977 0.715104904540242 0.207361327112494 1.11569527572782 1.48078326441255 1.27383161801923 0.398967378549636 0.954251067934408 0.911522296817859 1.45750650061585 2.61179404952788 1.39132614690399 0.34748309541698 3.22521976356472 1.00468121218758 1.09253214309506 1.85592185592186 0.401988786628584 0.312256049960968 0.919903908126794 3.38218714768884 0.58749475451112 0.0922509225092251 1.82320217647298 0.77735984237865 0.809445560221532 0.683199503127634 2.55774298558363 1.91427070039787 0.22448488735669 0.941993058998513 1.54154655971926 1.61174269679091 0.621510978786751 2.05771338122489 2.25464889638097 1.71089027763549 0 0.920328430930254 0.374850911569262 2.73504273504274 0.728066195692095 3.16122233930453 3.4692962796952 0.517390620081838 0.0386007237635706 0.761421319796954 0.546041201290643 2.30921579368758 0.507055540269644 0.819139253673124 3.12357784121468 1.71727748691099 1.51126167853267 0.627292028565914 1.07622917876122 0.312758715849508 0.435019032082654 0.53900006195403 0.916786110284772
"das" 1.31365844880331 1.20387589311931 0.907695388106521 1.69787108025402 0.922715419663581 1.15951523092041 1.1596240007028 0.83823430000676 1.44697370742897 1.08535988248735 1.12704426646204 1.18059771975983 0.907205806117159 1.33360450926841 1.53855509608368 1.1979078791969 1.4315888289134 1.154058150751 1.09710168658916 1.30354454632544 1.21503652235881 1.29105038856856 0.845229151014275 1.40648681418612 1.62610528621096 1.51888615015655 1.82539682539683 0.941500052893261 1.13750418200067 1.25974102068319 0.817361894024803 1.05749055812002 0.885608856088561 2.02217078815934 1.5905427189683 0.876392185503013 1.03367197551129 1.10835529375291 1.68155543878087 1.05828589753868 1.37403498831362 1.19062539165309 1.33832206072816 0.677335318198735 1.08669183002557 1.21161038824211 1.18157292627122 0.0200060018005402 1.61508616800505 1.48236496847845 1.20663650075415 1.30274159051137 1.08008429926238 1.28193635141192 0.979697828139754 1.46200241254524 1.52284263959391 1.11690245718541 1.36108887109688 1.05734837467081 0.767130412170069 1.10462951470771 1.45340314136126 1.02691686737422 1.35109052306505 1.22359665967043 0.156379357924754 1.2615551930397 1.33820705036863 1.58206452659761
"den" 0.899766060824186 1.12068121757855 1.28145231262097 1.27998420585042 1.30670258188383 1.17261709793646 1.22990424316964 1.08159264517001 0.961708134815599 1.09352048310756 0.72418589036497 1.21432908318154 2.22913426645931 1.2929281190075 1.10678666991 1.08824025645352 1.56653367754048 1.26774149097423 1.18989138147481 1.12221157793896 1.27204703367183 0.940085234394585 1.14575507137491 0.969990906335253 1.30581182074516 1.17247351941909 0.854700854700855 0.899185443774463 1.08174417307907 1.32419288685768 1.05089386374617 1.13722198908938 1.43911439114391 0.771510943273643 1.29679383843812 1.3389325056296 1.21999911272792 1.20911486591226 0.855791607236694 1.45113445041289 1.66442382605 1.31595438024815 1.23758814217873 1.41049497580945 1.15974674296846 1.27482484328083 1.3489055083154 1.58047414224267 1.65117747902193 1.2097461237008 1.15635997988939 1.03052692980751 1.00105374077977 1.00403406544151 1.25314762354422 1.19662243667069 1.39593908629442 1.34028294862249 1.26416923012094 1.43665736409732 1.76830061110389 1.21633362293658 0.996858638743455 0.913109070216764 1.20633082416522 1.41562095297638 0.128783000643915 1.4863150262824 1.26386221423704 1.1412499661952
