Source,Target,Weight,Type
NSdA_About,NSdA_Mascheroni,1,undirected
NSdA_About,NSdA_Merimee_Colomba,2,undirected
NSdA_About,NSdA_Thackeray,3,undirected
NSdA_Alarcon,NSdA_Caballero_Schweigen,1,undirected
NSdA_Alarcon,NSdA_Caballero_Servil,3,undirected
NSdA_Alarcon,NSdA_Merimee_Colomba,2,undirected
NSdA_Anonym_Jungfrau,NSdA_Irving,3,undirected
NSdA_Anonym_Jungfrau,NSdA_Merimee_Colomba,1,undirected
NSdA_Anonym_Jungfrau,NSdA_Thackeray,2,undirected
NSdA_Anynom_Urtheil,NSdA_Balzac_Capitaen,1,undirected
NSdA_Anynom_Urtheil,NSdA_Merimee_Colomba,2,undirected
NSdA_Anynom_Urtheil,NSdA_Thackeray,3,undirected
NSdA_Balzac_Blutrache,NSdA_Balzac_Capitaen,1,undirected
NSdA_Balzac_Blutrache,NSdA_Bernhard,2,undirected
NSdA_Balzac_Blutrache,NSdA_Beyle_San_Francisco,2,undirected
NSdA_Balzac_Blutrache,NSdA_Beyle_Vanina,2,undirected
NSdA_Balzac_Blutrache,NSdA_Blicher,1,undirected
NSdA_Balzac_Blutrache,NSdA_Caballero_Schweigen,3,undirected
NSdA_Balzac_Blutrache,NSdA_Hahn,4,undirected
NSdA_Balzac_Blutrache,NSdA_Irving,3,undirected
NSdA_Balzac_Blutrache,NSdA_Korzenowski,3,undirected
NSdA_Balzac_Blutrache,NSdA_Merimee_Colomba,6,undirected
NSdA_Balzac_Blutrache,NSdA_Musset,1,undirected
NSdA_Balzac_Blutrache,NSdA_Ongaro_Tauben,2,undirected
NSdA_Balzac_Blutrache,NSdA_Ouida,1,undirected
NSdA_Balzac_Blutrache,NSdA_Reybaud_Advocat,1,undirected
NSdA_Balzac_Blutrache,NSdA_Reybaud_Fraeulein,4,undirected
NSdA_Balzac_Blutrache,NSdA_Reybaud_Theobald,1,undirected
NSdA_Balzac_Blutrache,NSdA_Ulbach_Unschuld,1,undirected
