"Text" "Topic1" "Topic2" "Topic3" "Topic4" "Topic5" "Topic6" "Topic7" "Topic8" "Topic9" "Topic10" "Topic11" "Topic12" "Topic13" "Topic14" "Topic15" "Topic16" "Topic17" "Topic18" "Topic19" "Topic20" "Topic21" "Topic22" "Topic23" "Topic24" "Topic25" "Topic26" "Topic27" "Topic28" "Topic29" "Topic30" "Topic31" "Topic32" "Topic33" "Topic34" "Topic35" "Topic36" "Topic37" "Topic38" "Topic39" "Topic40" "Topic41" "Topic42" "Topic43" "Topic44" "Topic45" "Topic46" "Topic47" "Topic48" "Topic49" "Topic50" "Topic51" "Topic52" "Topic53" "Topic54" "Topic55" "Topic56" "Topic57" "Topic58" "Topic59" "Topic60" "Topic61" "Topic62" "Topic63" "Topic64" "Topic65" "Topic66" "Topic67" "Topic68" "Topic69" "Topic70" "Topic71" "Topic72" "Topic73" "Topic74" "Topic75" "Topic76" "Topic77" "Topic78" "Topic79" "Topic80" "Topic81" "Topic82" "Topic83" "Topic84" "Topic85" "Topic86" "Topic87" "Topic88" "Topic89" "Topic90" "Topic91" "Topic92" "Topic93" "Topic94" "Topic95" "Topic96" "Topic97" "Topic98" "Topic99" "Topic100"
"DNSAlexis" 4.78391106648294e-05 0.117232445599723 6.31308665324379e-05 0.0034861854612281 0.00454496177987829 8.42449659333013e-05 7.44741038502985e-05 0.000515791791989411 7.96214317677093e-05 0.0331504444116259 0.00010938002473288 0.00433800185781203 0.0282354166237912 5.97027136317542e-05 0.228796510848252 0.000805545222610728 0.000209658832204381 0.000906676317195446 0.000487675432830447 0.00265024993052856 0.00373335870543014 0.00131355563070414 0.00821963716373458 0.00319170783139492 0.000292405932963337 6.82916184337408e-05 0.000885095419987328 0.00263512449673848 0.00022941909374579 0.00467859761148203 8.82886203069895e-05 0.00078127876795899 0.00208994668272568 7.52813982980206e-05 0.000607273465111595 3.60536550876403e-05 0.00184328153007242 0.00093705038115253 0.00131873581692926 2.59861267294655e-05 0.000664568105967137 6.24971031250879e-05 4.73242825064445e-05 0.108976660468049 0.00159699401342857 0.000679531728665294 0.0101629347045305 0.000100246631137753 0.00428576642340277 0.00778983507367614 9.32679978604912e-05 9.4522459142605e-05 0.000295924295974029 0.0938960582733922 0.000426141856177826 0.000613562170672286 0.000376545539374707 9.19850174098458e-05 5.87519139130918e-05 0.0115165130166467 0.0027076995189022 6.87375812991248e-05 0.000140461245083834 0.000425303294792529 0.00085689624897022 0.00938159416424686 0.000525728568839692 0.000679838938219097 0.0107475316405309 6.53703996580607e-05 0.0143709002168219 8.49067743224891e-05 0.0113270881387782 0.0293754248110667 0.000118752140276642 0.00963956600487424 0.00107701817909118 0.000479723295170521 8.87900748472572e-05 0.000147342791339526 0.000544253646875934 0.000434649528150237 7.58284707861224e-05 0.0232921397066004 0.000116389285643017 0.000276258593831646 8.37506310278877e-05 0.000367486699287662 0.000683545017385709 8.88838499343288e-05 0.00115407304788408 5.81295168702519e-05 0.117814867449729 0.0123928115952102 0.00119564939311824 0.00118574650808039 3.80416931944419e-05 0.000959592094924466 0.00259513520035351 0.0435761356931585
"DNSAndolt" 4.58421678051282e-05 0.0798534291938864 0.12171546211359 0.000396387802116858 0.000167008683615724 0.00142355153163924 7.136533933002e-05 0.00319454805226288 0.00110961551656694 0.0178045009404874 0.000460093833647993 0.000100507690819017 0.0095841032705968 0.000551461636569316 0.00160522779654437 8.23042441143059e-05 9.15625665096556e-05 0.00049337001675711 0.000822797363437302 0.000108194635813233 0.000103267478537328 0.000109155521735787 0.0123619406380419 0.00114658501712575 7.64814012913028e-05 6.5440928738354e-05 7.83391869505586e-05 0.000974676082681983 0.000499287122397062 0.000549133681684426 8.46031979096093e-05 4.44508717767204e-05 0.000657303421232754 0.000702095709601764 0.000596184997047132 3.45486712346205e-05 0.000275257253386435 5.75327220668464e-05 0.112169238572111 0.00040287545540937 0.00712784226054282 5.98882932600373e-05 4.53488300632785e-05 0.124310540685832 0.00055162857063371 0.00187264544379384 0.0180948385101646 0.00160382493519191 6.57642057168198e-05 0.00929224945934506 0.000355755384072893 9.05768182800754e-05 3.63320947898245e-05 0.131188482770971 0.000102775469118213 8.45087836326474e-05 0.000894590741609738 0.000724726837716916 5.62994390791735e-05 0.0186096791613673 0.000509922570345482 0.000702077283575615 0.00278535838170214 0.00129127926694108 9.0242813940647e-05 0.0232424445627786 5.94076200831975e-05 0.00108905701642779 7.1363676778326e-05 6.26416500843578e-05 0.000620051960403234 8.13625199589102e-05 0.00728693684865296 0.0156697735706967 0.000409344732257821 0.015151726255352 0.00019549372443243 8.21171117476524e-05 8.50837202868468e-05 0.000574527138365148 0.000418164203357632 0.000484384984678231 7.26631710722686e-05 0.0194111503751476 0.000111530860189857 7.91556094902914e-05 0.00549935502317747 0.00124636747029681 0.0020739699747135 0.00120991837916949 0.000531588832860503 0.000838578660774595 0.114126763656225 0.0415931645254397 0.00118792830656829 9.18472878763615e-05 3.64537228801979e-05 9.66137146352848e-05 0.00131956162735381 0.0536725961670303
"DNSArnim" 5.01509759338497e-05 0.0978949417374955 6.61817187684265e-05 0.000139167519415524 0.000182706204217052 8.83161747857306e-05 7.80731275725245e-05 0.000166121865789896 8.34692044418942e-05 0.0266721961552895 0.00011466590644745 0.00010995463401422 0.0400883992866579 0.000778862124295229 8.41360439564172e-05 0.00210453101386123 0.000100168737416331 0.000102615403913288 0.000175842305402385 0.00158451792837525 0.000112973820367534 0.000497026474612544 0.00450579908826931 8.83117401963929e-05 8.36700596676005e-05 7.15918683470032e-05 8.57024627660675e-05 0.000101453118978189 0.000240505964457016 0.00113249355488201 9.25552421588776e-05 4.86289088724893e-05 0.000170446408364174 7.89194352035944e-05 7.94538761963564e-05 3.77959783010112e-05 0.000163969690979416 0.00130867026391182 0.000140431445794587 2.72419281653057e-05 7.91245037435561e-05 6.55173282112431e-05 4.96112682715956e-05 0.119908869687842 0.000137290978154281 0.000777061437126312 0.00727947791720266 0.00388120294057827 7.19455308534519e-05 0.0103684122068378 0.201090412587945 9.90903365006353e-05 3.97470298345491e-05 0.0973849983224527 0.000112435565880046 9.24519536723502e-05 0.0001428262033984 9.64302707614386e-05 6.15911495798202e-05 0.0197234277664368 0.000922183864494627 7.2059382743037e-05 0.000147249152919909 0.000194749949520986 9.87249383445166e-05 0.0133389121465099 6.49914754848577e-05 0.00891955260396668 7.80713087538694e-05 6.8529479216422e-05 9.2451969681104e-05 8.90099656220929e-05 0.0119461226619557 0.0022410530680201 0.000124490937359449 0.074921505878737 0.000213868617882697 8.98354831848303e-05 9.30809299116679e-05 0.00111840332718537 0.00016452836203354 8.30995712823731e-05 7.94929454299255e-05 0.0520718003961922 0.000122013895787829 0.00120590393798432 0.00166996294082084 0.00302340241954699 0.00014544823201309 9.31792367587134e-05 0.000127932372031155 6.09386746762741e-05 0.119449803953667 0.0187344863683441 0.000607085782342667 0.0018585383838046 3.9880090021823e-05 0.000105694654278805 0.000242068759172134 0.0440853074984931
"DNSAuerbach" 0.000146067006506438 0.120428022805881 6.93496519011725e-05 0.0054967384115799 0.00050352878857915 9.25436222057662e-05 0.00199462372090314 0.000423035362425471 0.00185939537768893 0.0138375015757621 0.000476602260749762 0.000739112998376302 0.0190278320975253 0.000202527323804172 0.00222226600068501 0.000515287377895147 0.00187807508531734 0.000107527315299641 0.00140002927134418 0.000371348400294734 0.000210222242358264 0.000392758673820864 0.00353721639989274 0.0026396288844295 0.000170604709113576 7.50187701560245e-05 8.98047991273299e-05 0.000106309395046751 0.00162425375277004 0.0212562063149578 0.00063172420562502 5.09566382589909e-05 0.000437149644192216 8.26970870725927e-05 0.000484726720190785 0.00157368463213866 0.000171818459891529 6.59531295840798e-05 0.000147153504971816 0.00133357248114503 0.00246021613795603 0.000340471608419688 0.000189747043866209 0.131583808672306 0.000186476030471619 0.000281317047661311 0.00587501214681008 0.000242356793427512 0.00195386596564546 0.0118278632843736 0.00019268033069247 0.00278010195629776 0.00145295992543275 0.0624167230439255 0.00489058999289313 9.68773692202682e-05 0.000284211096626055 0.000101046117182922 6.45393450493357e-05 0.0130453216460397 0.00693042687468682 7.5508663154077e-05 0.000585504592923496 0.244530111662875 0.000103450624063019 0.00221142889402663 0.000293407745716189 0.000368138812070319 8.18083631900594e-05 0.0414565394075661 0.000236565947691651 9.32706228622813e-05 0.0105242735321158 0.0112584387639921 0.00113711049231906 0.0438672896566858 0.00113411321297088 0.00173744242979475 0.000373540456723938 0.000891412484532061 0.000419784194234873 0.000186004735012631 0.0002761328505178 0.0215191745447719 0.000311535723097681 9.07407121108282e-05 9.20005922190732e-05 0.000405788685720471 0.00032477339375468 0.00283667204501574 0.000675827865726497 0.00015303449013096 0.109945867754613 0.00151662577745513 0.000888324590013646 0.000626680087438513 0.00013362972028476 0.000246889621206509 0.0103352292033419 0.033986439719606
"DNSBerthold" 5.2885889941572e-05 0.148548379160661 6.97908471322226e-05 0.000360074043030747 0.000437296955579537 0.000433048434115744 8.23307374444926e-05 0.000463960217128157 8.80210818917505e-05 0.0544001892044181 0.000344990904844745 0.00275430342325059 0.0444562754462112 6.60010417932673e-05 0.000281482210467346 9.49504223809097e-05 0.000105631300766187 0.000108211392831644 0.000475968590374628 0.000124818914022802 0.000490619132030272 0.000861471181090396 0.00508477321811618 9.31276986261556e-05 0.000312304742493545 7.54960317243918e-05 9.03761278653148e-05 0.00194030578598532 0.00109564317582139 0.00752427976055198 0.00117639681704916 5.12808190612572e-05 0.000618063605846176 8.32231972899901e-05 8.37867832820306e-05 3.98571296259097e-05 0.000380688467501445 6.63727164954429e-05 0.000374700386221444 2.87275289846184e-05 8.34394489587353e-05 6.909022495626e-05 5.23167500695137e-05 0.19205763463799 0.00039553937765763 0.000134725709749799 0.00339801226896601 0.000410415808782626 0.00275041068220518 0.0196608002544225 0.00167894975971034 0.000104494090750263 0.00121515926543984 0.0530661103093189 0.000118567083729213 9.74936929093556e-05 0.000291943638960746 0.00155171589576607 6.49499376113783e-05 0.0284014742444124 0.000529799361402848 7.59890413704525e-05 0.0001552791815175 0.000576854809117828 0.000392887891596987 0.00680710983596495 6.85356955798073e-05 0.000790174099915233 8.23288194390814e-05 7.22666394443331e-05 0.00264800888063979 9.38640008083242e-05 0.0102063256965821 0.0121842302445683 0.172305143614059 0.0474304456368838 0.00588865467948441 9.47345368279094e-05 9.81569694966806e-05 0.000645065320800725 0.000950377594310614 8.76312912998591e-05 8.38279831021371e-05 0.0170203807203275 0.000128667754591436 9.13179950293125e-05 9.2585890363016e-05 0.000114091403644281 0.000381281880797856 9.82606373714636e-05 0.000134908986738926 6.42618808927196e-05 0.108271798608812 0.000345297644960552 0.000306503131330358 0.000105959770024614 4.20548954926832e-05 0.00108401918457052 0.000764914730479332 0.0288626554540451
"DNSBrentano" 5.45808029016104e-05 0.164707126416256 7.20275384581537e-05 0.000151460162162026 0.000951128889927656 9.61171271195662e-05 8.49693133303924e-05 0.000180795381256105 9.0842024729618e-05 0.0164927298318281 0.000124794325988749 0.0148582367090302 0.0215512612171626 0.000557370518746399 9.1567766062293e-05 9.79934401240604e-05 0.00555826338161703 0.000111679404664985 0.00019137442560623 0.000128819171847126 0.000122952778240161 0.000129963226058802 0.00648089914923391 9.61123008237248e-05 9.10606214624212e-05 0.000567169808775479 9.32725463725241e-05 0.000110414455304042 0.00026174981440052 0.00218676288208007 0.00260765077063315 5.29242919218695e-05 0.000657438866213541 8.5890375167085e-05 0.00231621704976898 4.11344904801473e-05 0.000178453105219531 6.84998618929272e-05 0.000152835730937971 2.96482029345075e-05 8.61135573754579e-05 7.13044623987934e-05 5.39934229555684e-05 0.102991602371701 0.000149417866338078 0.000139043465426361 0.00742025553567625 0.000114373815475268 7.83004670605731e-05 0.0065796801165335 0.000106411723326493 0.000107842968661852 4.32578780557625e-05 0.0384694929217686 0.00012236697982756 0.000100618218634774 0.000155442017063754 0.000104947939779305 6.7031485092811e-05 0.0165105988693278 0.00124698548878602 0.00147201501704857 0.000160255644946005 0.000750621328127398 0.000107445294950257 0.00200285343558172 7.07321611926918e-05 0.000232066087569426 8.49673338558024e-05 7.45826761775325e-05 0.000100618236057578 9.68722003796435e-05 0.00232848610395245 0.0124451267140388 0.00013548720016965 0.0662892816853319 0.299250220675665 0.00111355228318788 0.00010130275223574 0.000168106968154578 0.000928425918832466 9.04397419375078e-05 8.65145434518004e-05 0.0319801693587512 0.000132791361947519 9.42445989577119e-05 9.55531284234199e-05 0.00256401907679507 0.000158295649009213 0.00010140974250946 0.000139232616166398 6.63213771946982e-05 0.0998370157926906 0.00280181837027695 0.00415262850355442 0.00010935562074502 4.34026914261989e-05 0.00579470853255401 0.00331079559276956 0.043324994235379
"DNSChamisso" 4.89874295605187e-05 0.0995799667451308 6.4646245182521e-05 0.00146040501602382 0.000178467260959353 8.62671625189715e-05 7.62617629330519e-05 0.000760259710200924 8.15326461136716e-05 0.0483159809044451 0.17777392569858 0.000107403590624617 0.0114734291982938 6.11358036962331e-05 8.21840143699734e-05 8.79511932817075e-05 9.78447353611035e-05 0.000100234637061838 0.000171762610582508 0.000810443333087418 0.000468944788737961 0.000116644754997283 0.00450001643404728 0.0347027273762918 8.17288413229957e-05 6.99308745732226e-05 0.00146237295789075 9.90993181507455e-05 0.000234926016360342 0.0074397634159372 0.000380934426042904 4.75006757822249e-05 0.000460347996107146 0.000503221620609669 7.76104769847977e-05 3.69190786463236e-05 0.00177960593278166 6.14800805593504e-05 0.000137173313795891 2.66098916769013e-05 7.72887462601153e-05 6.39972690656129e-05 4.84602435866542e-05 0.163907572136845 0.000134105707743329 0.00040272461905248 0.0101899692920728 0.000102652927976572 7.02763318011279e-05 0.0138580172795002 9.55067812077965e-05 9.67913542870182e-05 3.88248640829659e-05 0.105495810983722 0.000109826962707783 9.0306987729021e-05 0.000139512510935066 9.4193004392549e-05 6.01621812020679e-05 0.0115553711550502 0.000227250456045423 7.03875422275958e-05 0.000143832844170863 0.000190231580870086 9.64344336867488e-05 0.0115451051823801 6.34836165810234e-05 0.00122726952767669 7.62599863125756e-05 6.69395355408751e-05 9.03070033663578e-05 8.69448568029443e-05 0.00280557184646352 0.00985403877444663 0.000121602639056576 0.0221685423017789 0.0011816622269071 8.77512216383747e-05 0.000376592703704288 0.000150879573463764 0.005459860033448 0.0011038614758233 7.76486397780796e-05 0.0361448497375497 0.00162946717399365 8.45865287328712e-05 8.57609617133604e-05 0.000105681205434184 0.000747121086059643 9.10173972135897e-05 0.00104343612630873 0.000485658029405811 0.124930951656632 0.00433727388327114 0.00243276506670601 9.81489916509712e-05 3.89548371578666e-05 0.000103242446133767 0.00124321826496177 0.0683873892963805
"DNSDincklage" 4.8039259391112e-05 0.139123557991067 6.3394992732737e-05 0.000133307566593286 0.000175012959834034 8.45974290621711e-05 0.00102368170461206 0.0001591269412532 7.9954551007002e-05 0.0186908936250038 0.000109837647634451 0.000105324753632534 0.0167182965803271 5.99524971649961e-05 8.05933117851106e-05 8.62488647745459e-05 9.59509136167256e-05 9.82945578689517e-05 0.00016843808049316 0.000113380113188657 0.00355587599084763 0.00141829020255213 0.00138330540585893 8.45931812009177e-05 8.0146948784076e-05 6.85773361290604e-05 8.20937731043712e-05 0.00981455148251306 0.00122781469221569 0.00549528703253198 0.000999760928099478 4.6581282292764e-05 0.000163269389502814 7.55963597547185e-05 0.00159461317505462 3.62044959591227e-05 0.000157065388470816 6.02901104196214e-05 0.000134518272587426 2.60948471904783e-05 0.00106827884552817 6.27585777932622e-05 4.75222773005423e-05 0.105289279561051 0.000131510041206624 0.00343066585907022 0.00731773825212536 0.00116725212038528 6.89161069020681e-05 0.0348935590994588 9.36582114475601e-05 9.49179211304969e-05 0.294030431748959 0.0640452245315229 0.000107701220435321 0.000429540320250255 0.000136812193684 9.23698632779193e-05 0.00188120357323832 0.0109551905714927 0.000222851937785955 6.90251648088008e-05 0.00105215183210959 0.000186549576897266 9.45679088630194e-05 0.000538355106614135 0.00080500033183242 0.00467361276945765 7.47839455243645e-05 6.5643895591541e-05 8.85590772667712e-05 8.52620063177592e-05 0.00487111487963023 0.00663567944635789 0.000119248974128472 0.0641521436068181 0.000204863211907127 8.60527636577673e-05 8.91615537510296e-05 0.00300194232758376 0.000157600535458161 0.00159810536017439 7.61457210784645e-05 0.0170696289382503 0.000116876233810545 8.29493245766684e-05 8.41010259640111e-05 0.000103635705856872 0.00224599431390726 8.92557211732424e-05 0.000122545499665477 5.83727184808028e-05 0.106360330716535 0.000313653474522716 0.00180646589690298 9.62492809113858e-05 3.82008515971106e-05 0.00114555331582987 0.00104729966317704 0.0512035198528517
"DNSDroste" 4.78792559630141e-05 0.13290065523672 0.000443090335949297 0.000132863561670715 0.00124255405828339 8.43156620484873e-05 7.45366005201688e-05 0.000158596940240987 7.96882479370692e-05 0.0452750523521119 0.000109471813515057 0.00010497395052153 0.0447622905578539 0.000483440934074818 8.0324881207062e-05 8.59615973560138e-05 0.000473242512438094 9.7967170094416e-05 0.00144476886719091 0.000113002480248052 0.000107856374911456 0.00125441999784534 0.00232955691351787 8.43114283355028e-05 0.20505213449089 0.000659778713943444 0.00164690979647613 0.000423204148330816 0.00255671239336264 0.00520239091620257 0.00445728736415372 4.64261349206665e-05 0.000162725591318683 7.53445724277324e-05 7.58548045142093e-05 3.6083910347699e-05 0.00015654225383241 6.00893033199739e-05 0.000134070235189918 2.60079335898298e-05 0.000672158718130278 6.2549549017283e-05 4.73639957746511e-05 0.15497964752116 0.000131072023266942 0.00100716948382439 0.00758518578874502 0.000433638904962954 0.000828499552738327 0.0172448763037871 9.33462658619897e-05 9.46017798543552e-05 0.000584548661518504 0.0653041659581956 0.00839333177299055 0.000679693887000495 0.000136356515968055 9.20622087685715e-05 5.88012169429807e-05 0.0324404690047368 0.0038461661489032 6.87952640331765e-05 0.000757819884683766 0.000898121461452531 9.4252933365938e-05 0.0128727916056615 6.20475161691354e-05 0.00118928883200008 7.45348640896744e-05 0.000486746745095384 0.00122557982322418 8.49780258095195e-05 0.00501313014008639 0.00465711878157354 0.00060082182963556 0.0450413052497995 0.00486820835726081 0.000619911065594919 8.88645850959021e-05 0.000493699650367391 0.00108293677085336 7.93353582808346e-05 7.58921040043887e-05 0.0217916283877221 0.000759113670740661 8.26730468725802e-05 8.38209123104837e-05 0.00492356740552433 0.0027808801353048 0.000397578823022271 0.000122137339750171 5.81782976012408e-05 0.111035022106333 0.000312608794987799 0.000277486904250728 0.000601280946263581 3.80736167627424e-05 0.000662668922208622 0.00446121862232048 0.023717791664363
"DNSEichendorff" 4.53522576347353e-05 0.0749441391258227 5.98490917555486e-05 0.000125851213807783 0.00126986306096637 0.000248473768612882 7.06026658521876e-05 0.00015022642163542 7.54824167212293e-05 0.0956507043376789 0.000103694048506346 9.94335762582863e-05 0.0720557435714948 0.00100343273027882 0.0005794486841406 0.0011030645601171 0.000262555729825679 9.27966036335247e-05 0.000549724870556162 0.000107038371722666 0.000102163870430894 0.000107988988763781 0.00488193711016427 0.000436246441676118 7.56640530258852e-05 6.47415687803966e-05 0.00102433556815542 0.000951603944065756 0.000217493044943579 0.000411498210045742 0.00292039768825751 4.39758302328996e-05 0.000859911046585226 7.1367994163508e-05 7.18512969336531e-05 0.00061694012901109 0.000854220335133434 5.69178762377672e-05 0.000126994200832606 2.46352722277933e-05 7.15534406295826e-05 5.92482737024919e-05 4.48641921386965e-05 0.139971503957918 0.00215169360028235 0.000296532333345367 0.00272789169284193 9.50354423230555e-05 0.00134999901560001 0.0289004008736391 8.84195840863471e-05 8.96088338543418e-05 3.59438177165221e-05 0.0244606800492322 0.000101677119061952 8.36056476211666e-05 0.000129159814996608 0.000261787020725649 5.56977732087996e-05 0.0512547397109116 0.00741550112557591 6.51643488548031e-05 0.000133159552638194 0.000176115214521 8.92783989822985e-05 0.00394464547839234 5.87727374266592e-05 0.00299887596146218 0.000386212215541292 0.000785965789432665 8.36056620981157e-05 0.000604244176852342 0.0113078988062329 0.0190241620956175 0.00261314916919263 0.0117736283811711 0.000711905408329837 8.1239535268733e-05 0.318234463462479 0.000139683370794014 0.0037846739364538 0.00108798370431188 7.18866278103394e-05 0.00898102054016559 0.00118965937908811 7.83096822580151e-05 7.93969650075637e-05 0.000944234438758469 0.000131530953644356 0.000782598232481916 0.000115691106466856 0.000428875872040593 0.063434060761889 0.00391686635943396 0.00326594436964661 0.0013129517873942 3.60641459809638e-05 0.00105828753517631 0.000218906302955621 0.0137049826376475
