"word" "word.freq" "doc.freq"
"1" "herr" 1871 977
"2" "willibald" 1 1
"3" "sarmaten" 2 2
"4" "feierten" 8 8
"5" "abgang" 10 10
"6" "seniors" 2 2
"7" "akademie" 16 11
"8" "königsberg" 14 10
"9" "straßen" 93 82
"10" "fenstern" 69 65
"11" "zuschauer" 31 30
"12" "reichen" 183 173
"13" "comitates" 1 1
"14" "landsmannschaften" 4 3
"15" "prinzen" 45 38
"16" "gaben" 118 112
"17" "polen" 26 17
"18" "kurländer" 13 10
"19" "liefländer" 1 1
"20" "esthländer" 1 1
"21" "wetteiferten" 5 5
"22" "pracht" 40 38
"23" "kleidung" 52 52
"24" "pferde" 337 238
"25" "geschirre" 4 4
"26" "wagen" 537 346
"27" "dienerschaft" 25 25
"28" "goldbesä'te" 1 1
"29" "livréen" 1 1
"30" "ausgewählt" 7 7
"31" "phantastischen" 11 11
"32" "ordenstrachten" 1 1
"33" "herren" 294 203
"34" "überstrahlten" 1 1
"35" "gezogenen" 8 7
"36" "hieber" 5 5
"37" "federbüsche" 1 1
"38" "deutschen" 108 96
"39" "hüten" 30 28
"40" "sarmatischen" 4 3
"41" "mützen" 15 15
"42" "stolzen" 55 54
"43" "reiherbüsche" 1 1
"44" "köpfen" 23 22
"45" "blinkten" 2 2
"46" "wette" 51 44
"47" "standarten" 1 1
"48" "fähnlein" 2 2
"49" "scheine" 42 42
"50" "hellen" 87 85
"51" "nachmittagssonne" 2 2
"52" "held" 28 26
"53" "tages" 224 207
"54" "schwarzsammtenen" 1 1
"55" "rocke" 14 14
"56" "goldschnüren" 1 1
"57" "strotzend" 3 3
"58" "zurückgelehnt" 5 5
"59" "prächtigen" 32 30
"60" "carosse" 2 2
"61" "erwählten" 6 6
"62" "marschälle" 1 1
"63" "senioren" 3 2
"64" "blinkende" 2 2
"65" "waffe" 33 33
"66" "faust" 94 89
"67" "schimmeln" 2 2
"68" "ehrenwache" 2 2
"69" "ritten" 35 25
"70" "dunkeln" 115 111
"71" "auge" 476 415
"72" "blassen" 24 24
"73" "jünglings" 38 37
"74" "flüchtige" 21 21
"75" "wiederschein" 8 8
"76" "vergangenen" 37 36
"77" "jugendrausches" 1 1
"78" "spiegeln" 6 6
"79" "bleierne" 3 3
"80" "gefühl" 258 229
"81" "sättigung" 6 6
"82" "aufgeworfenen" 2 2
"83" "lippen" 364 328
"84" "spielte" 119 115
"85" "hohn" 39 37
"86" "schaugepränge" 2 1
"87" "schmettern" 3 2
"88" "pauken" 7 7
"89" "trompeten" 16 15
"90" "stimmte" 46 46
"91" "advokat" 3 2
"92" "antwortete" 531 447
"93" "nachbar" 69 63
"94" "aufmerksam" 80 75
"95" "wundert" 14 14
"96" "werther" 15 15
"97" "starostensohn" 1 1
"98" "kämpfen" 24 24
"99" "ehren" 90 88
"100" "thron" 20 17
"101" "auszeichnungen" 2 2
"102" "akademische" 2 2
"103" "jugend" 211 190
"104" "erweis't" 5 5
"105" "unbedeutend" 14 13
"106" "dünken" 12 12
"107" "hindert" 8 8
"108" "polnischen" 7 7
"109" "edelmann" 17 16
"110" "diadem" 3 3
"111" "erheben" 65 64
"112" "tagen" 311 285
"113" "republik" 11 9
"114" "prinz" 47 35
"115" "goldrollen" 2 2
"116" "geschickt" 93 85
"117" "läßt" 285 252
"118" "leichtsinnig" 16 16
"119" "verstreute" 3 3
"120" "anwartschaft" 1 1
"121" "arme" 604 494
"122" "stanislaw" 1 1
"123" "leszinski" 1 1
"124" "throne" 17 16
"125" "säße" 12 12
"126" "schwedischem" 1 1
"127" "eisen" 53 45
"128" "golde" 14 14
"129" "stimmen" 92 84
"130" "geworben" 8 8
"131" "meinten" 31 31
"132" "glückliche" 77 74
"133" "ereigne" 1 1
"134" "stadt" 694 504
"135" "ehre" 334 245
"136" "vortheil" 52 49
"137" "gereichen" 6 6
"138" "advocat" 30 20
"139" "lächelte" 176 163
"140" "könig" 301 157
"141" "allergnädigsten" 3 3
"142" "monarchen" 7 7
"143" "verehrten" 9 9
"144" "nachbarn" 69 67
"145" "dereinstige" 2 2
