"word" "word.freq" "doc.freq"
"1" "herr" 3852 1848
"2" "willibald" 1 1
"3" "sarmaten" 2 2
"4" "feierten" 11 11
"5" "abgang" 14 14
"6" "seniors" 2 2
"7" "akademie" 18 13
"8" "königsberg" 14 10
"9" "straßen" 196 172
"10" "fenstern" 148 139
"11" "zuschauer" 49 48
"12" "reichen" 295 283
"13" "comitates" 1 1
"14" "landsmannschaften" 4 3
"15" "prinzen" 205 127
"16" "gaben" 196 190
"17" "polen" 46 34
"18" "kurländer" 15 11
"19" "liefländer" 1 1
"20" "esthländer" 1 1
"21" "wetteiferten" 6 6
"22" "pracht" 87 81
"23" "kleidung" 89 87
"24" "pferde" 528 383
"25" "geschirre" 7 7
"26" "wagen" 924 630
"27" "dienerschaft" 55 51
"28" "goldbesä'te" 1 1
"29" "livréen" 1 1
"30" "ausgewählt" 9 9
"31" "phantastischen" 20 20
"32" "ordenstrachten" 1 1
"33" "herren" 564 402
"34" "überstrahlten" 1 1
"35" "gezogenen" 9 8
"36" "hieber" 5 5
"37" "federbüsche" 3 3
"38" "deutschen" 218 183
"39" "hüten" 63 58
"40" "sarmatischen" 4 3
"41" "mützen" 22 21
"42" "stolzen" 94 93
"43" "reiherbüsche" 1 1
"44" "köpfen" 46 45
"45" "blinkten" 5 5
"46" "wette" 90 76
"47" "standarten" 3 3
"48" "fähnlein" 2 2
"49" "scheine" 72 69
"50" "hellen" 188 182
"51" "nachmittagssonne" 8 8
"52" "held" 50 46
"53" "tages" 448 417
"54" "schwarzsammtenen" 1 1
"55" "rocke" 16 16
"56" "goldschnüren" 1 1
"57" "strotzend" 3 3
"58" "zurückgelehnt" 15 15
"59" "prächtigen" 53 51
"60" "carosse" 2 2
"61" "erwählten" 8 8
"62" "marschälle" 1 1
"63" "senioren" 3 2
"64" "blinkende" 6 6
"65" "waffe" 64 61
"66" "faust" 178 165
"67" "schimmeln" 5 5
"68" "ehrenwache" 6 4
"69" "ritten" 60 49
"70" "dunkeln" 194 183
"71" "auge" 821 721
"72" "blassen" 63 63
"73" "jünglings" 53 52
"74" "flüchtige" 45 44
"75" "wiederschein" 15 15
"76" "vergangenen" 68 67
"77" "jugendrausches" 1 1
"78" "spiegeln" 9 9
"79" "bleierne" 4 4
"80" "gefühl" 480 419
"81" "sättigung" 6 6
"82" "aufgeworfenen" 3 3
"83" "lippen" 803 703
"84" "spielte" 242 233
"85" "hohn" 69 66
"86" "schaugepränge" 2 1
"87" "schmettern" 6 5
"88" "pauken" 9 9
"89" "trompeten" 22 21
"90" "stimmte" 77 77
"91" "advokat" 3 2
"92" "antwortete" 850 699
"93" "nachbar" 120 106
"94" "aufmerksam" 154 148
"95" "wundert" 26 26
"96" "werther" 23 23
"97" "starostensohn" 1 1
"98" "kämpfen" 51 50
"99" "ehren" 157 149
"100" "thron" 35 30
