"Text" "Topic1" "Topic2" "Topic3" "Topic4" "Topic5" "Topic6" "Topic7" "Topic8" "Topic9" "Topic10" "Topic11" "Topic12" "Topic13" "Topic14" "Topic15" "Topic16" "Topic17" "Topic18" "Topic19" "Topic20" "Topic21" "Topic22" "Topic23" "Topic24" "Topic25" "Topic26" "Topic27" "Topic28" "Topic29" "Topic30" "Topic31" "Topic32" "Topic33" "Topic34" "Topic35" "Topic36" "Topic37" "Topic38" "Topic39" "Topic40" "Topic41" "Topic42" "Topic43" "Topic44" "Topic45" "Topic46" "Topic47" "Topic48" "Topic49" "Topic50" "Topic51" "Topic52" "Topic53" "Topic54" "Topic55" "Topic56" "Topic57" "Topic58" "Topic59" "Topic60" "Topic61" "Topic62" "Topic63" "Topic64" "Topic65" "Topic66" "Topic67" "Topic68" "Topic69" "Topic70" "Topic71" "Topic72" "Topic73" "Topic74" "Topic75" "Topic76" "Topic77" "Topic78" "Topic79" "Topic80" "Topic81" "Topic82" "Topic83" "Topic84" "Topic85" "Topic86" "Topic87" "Topic88" "Topic89" "Topic90" "Topic91" "Topic92" "Topic93" "Topic94" "Topic95" "Topic96" "Topic97" "Topic98" "Topic99" "Topic100"
"DNSAlexis" 0.0145833130421735 5.96128467796902e-05 0.0133647627179256 0.000415302109754892 0.0290578135023811 0.022574514888029 2.81785999933232e-05 0.000610722086732023 8.49315479147982e-05 0.000148094234431722 0.00072170982998033 0.000703869350209172 7.52343178640166e-06 0.000752285211973562 0.000505876805996369 0.000580241661652549 0.000109186726059292 7.1918526820809e-05 0.00190741756144957 0.000215940698889576 6.95902143740094e-05 0.00493043427560961 7.90398721173841e-05 0.0278702165455368 0.00134276198579422 0.000566274385865253 0.000622370783699214 0.00101686526248518 7.11013743614324e-05 3.95424419718826e-05 0.00287460688011675 0.00218757127606366 0.0248546418606101 0.00058501008156896 0.110419060945539 0.009078289388931 6.84617686645804e-05 0.0147420906801018 0.0414030481756498 8.12367960305455e-05 0.000267642897610432 0.0126895802712088 0.000371952581527874 0.00234002931990788 0.000442458279002912 0.00334553364910373 0.00046633706545416 5.5845474049467e-05 0.000371483343553572 0.000317691316258999 0.000101685278302169 5.32103505217558e-05 0.000110991801717803 0.000879371670770894 0.00373667891806122 0.0293569993304412 0.126234935470249 0.000750227262213021 0.000297242074287461 7.84124747479287e-05 0.0001112905612499 6.94992121637163e-05 0.0514118835893758 0.187504943740076 0.00450834303665412 0.000332400983220382 0.0130781952067528 4.65487809770791e-05 0.0024187285930357 7.22225163065007e-05 0.00169082341014218 0.00566597037983119 0.000160676203632708 0.000550479121690068 0.000429997423806944 0.00103376790513975 0.000470119340065802 0.000315972723869288 0.000588651643497357 6.13810602830534e-05 6.07255259286486e-05 0.0101204177216736 5.27220311239433e-05 0.000818226775008475 0.00331618751923094 0.00363114770055868 0.023349409634469 0.0896787631687539 5.9424152677009e-05 0.000310083852376901 0.000292034658449761 7.66017904636394e-05 8.74077527415664e-05 6.92261993386553e-05 8.63801643239452e-05 0.0849481766880865 0.000680672096669158 1.54716560202316e-05 5.51239799594171e-05 9.61622953609347e-05
"DNSAndolt" 0.041873925037199 5.71309263351455e-05 0.00849621982862242 5.43732751772175e-05 0.00895619988748195 0.00506566594727287 2.70054125479972e-05 3.43260075938111e-05 8.13955090147337e-05 0.00014192848110822 0.000104743771107894 9.01396900987511e-05 7.21020133067766e-06 0.000820457648755424 0.000631530244528587 7.68196385498525e-05 0.00116664224082792 0.000823502777273604 0.000166288279131885 9.78049263463161e-05 0.194052940986208 0.0014698817568754 7.57491271665966e-05 0.0170853391890422 0.000554321698111883 0.000868413267299265 0.000143258220691074 0.0026925361610547 6.81411407172477e-05 3.7896132485608e-05 0.00218604762884224 0.00178016574117862 0.0371855700185493 0.000470303891192253 0.0688777746643004 0.00445537722982773 6.56114323277457e-05 0.0307660549720906 0.0173225197810409 7.78545843797136e-05 4.48616325931275e-05 0.0103885919496449 5.14049959616867e-05 0.0125062879843627 6.45887897937033e-05 8.49350708547153e-05 0.000107021004715283 0.00030020682184616 0.000137726410227621 9.60027587050938e-05 0.000371858145244469 5.09949915185295e-05 0.000106370770568622 3.90239414887383e-05 8.19514741549288e-05 0.0179403442984197 0.136433417548648 0.000144362281486137 5.57746003528159e-05 7.51478508506091e-05 0.000379603008734556 6.66056829184791e-05 0.0713717996960969 0.00892786583415339 0.000180240878272748 0.00047624413582826 0.0126742413668806 4.46107696688352e-05 8.40413281435571e-05 0.00875721941294967 0.000178155484172935 0.012816150434312 0.000413139271249068 0.000495931377834103 0.00110935696418034 0.0040250335707225 0.000476937871918869 7.37254183270612e-05 0.000110192397397445 0.000712856047477728 5.81972802156894e-05 0.0134201606755427 5.05270028038226e-05 6.38071485582317e-05 6.11812487050773e-05 0.000893751095003997 0.0177776060942673 0.103472063950858 5.69500883201452e-05 0.00107667810623379 6.27231107064506e-05 7.34125525709574e-05 0.00109984047117474 6.63440367056292e-05 0.000328289255515729 0.109633563898223 0.000181197224316169 1.48275093058583e-05 5.28289489344508e-05 9.21586756758576e-05
"DNSArnim" 0.0084340760868657 6.24891724378107e-05 0.0559302786338598 5.94728842418133e-05 0.0272715490253738 0.000141958942683935 2.95382201850957e-05 3.75454057063259e-05 8.90295033664819e-05 0.000155239795654287 0.00011456757301905 9.85937914786889e-05 7.88643810221006e-06 0.000752187467015818 0.000532944605411842 8.402446709496e-05 0.000114454996216749 7.53886027383944e-05 0.00055416610288403 0.000106977941717051 7.29479489894658e-05 0.000286762995467498 8.28535536385163e-05 0.032008238582552 0.00808975285453571 0.000113554667774632 0.00015669425003514 0.00708386259132502 7.45320225933348e-05 4.14503686449502e-05 0.0021788621623373 0.000207983460745522 0.0231838852285262 9.76501324862459e-05 0.091532334253476 0.00274542066962735 7.17650556647464e-05 0.0330684338443936 0.00542637711592511 8.51564793442731e-05 4.90691552681702e-05 0.00981793659516499 0.000775098073555481 0.17355171147183 7.06465006236968e-05 9.29010367786198e-05 0.000775356546953166 5.85400236067465e-05 0.000798702987332227 0.000105006750775151 0.0152506027278728 5.5777755112396e-05 0.000116347166951437 4.26839536013729e-05 8.96376118594417e-05 0.0389504524584336 0.152531360441445 0.00149608335713294 6.10056381486154e-05 8.21958842849319e-05 0.00200051185381614 7.28525559136705e-05 0.0356433171226972 0.000861833442961332 0.000941709131611216 0.00308827754721202 0.0154685445167529 4.8794764188943e-05 9.19234709316217e-05 7.57072597463524e-05 0.0005671463199002 0.00413834766608706 0.000168428846093588 9.69972805659371e-05 0.00010351353405427 0.000234964292073091 0.000116935051249558 8.06400433954686e-05 0.000120527219914316 6.43427024147782e-05 6.36555384639824e-05 0.0389697121032111 5.52658742561201e-05 6.97915501252337e-05 6.69193700424955e-05 0.00351038599636186 0.0154391269932897 0.084263939797907 6.2291373826313e-05 7.71924361581142e-05 6.8605841567811e-05 8.02978343077257e-05 9.16251853171043e-05 0.00116342111689583 9.05480156583369e-05 0.0934287862054887 0.00230631209692057 1.62181649287739e-05 5.77837173566421e-05 0.000100802135469773
"DNSAuerbach" 0.00392993457729045 6.5473484673388e-05 0.022446050693691 0.00034062542391324 0.0149095719968491 0.000365947714224949 0.000163663689869401 3.93384717570984e-05 9.32813093331617e-05 0.00247712977655528 0.000216262879046419 0.000329393497488417 8.26307285036538e-06 7.97199305513966e-05 0.0007553566876036 0.000227152434786624 0.000349017565563391 7.89889565404739e-05 0.000737140860056768 0.000587765407346975 0.000892831509176913 0.022268451566957 0.000181845481217466 0.0151284589539604 0.000528929584314628 0.000479253959931574 0.000593807781490887 0.00207622537759039 0.000163144057959021 4.34299250623347e-05 0.000517288808439107 0.00425105862599375 0.0201243584539111 0.000202289326465092 0.124547705064236 0.0175598254551047 7.51923587534588e-05 0.0212652286957006 0.0108858766287653 8.92233202597727e-05 5.14125641299531e-05 0.0153069873747187 0.0015459091731742 0.000586106860023066 7.40203845781024e-05 9.73377366090131e-05 0.000392359705622876 6.13357352781478e-05 0.000290552749956976 0.00021620765146809 0.000159495014377826 5.84415483834721e-05 0.000360814796079926 4.47224226677086e-05 0.000418727985910974 0.0255819416867899 0.134410629182539 0.000528834226300732 6.39191008376484e-05 0.00166235739877997 0.000517457422221364 0.000167970399553092 0.0287110519124288 0.00044127324222396 0.00140615006615427 0.000917355808192446 0.0114787267498883 5.11250688820655e-05 0.000417667016353505 7.93228317369708e-05 0.00175463070923855 0.00412239419817164 0.000754848861366258 0.000190106142446406 0.00173333601346026 0.000423444194167715 0.261812971670738 0.000450451077887415 0.000126283270812068 0.000340089245470803 6.66955531559578e-05 0.0323396852476143 0.000176929871047807 0.000509548319004315 0.000161211246813194 0.000309533479734269 0.0124650969786245 0.106364817336068 0.000148031037123323 0.0001302254327629 0.000310093357034568 0.00174586444030301 9.6000953965681e-05 7.60319418756653e-05 9.48723416254531e-05 0.0557103016531084 0.000680295042099402 1.69927001986035e-05 6.05433099067945e-05 0.000653957193033186
"DNSBerthold" 0.00627102667302939 6.58885162524823e-05 0.0338362479867857 6.27081452206539e-05 0.0222717798933211 0.000149681356582602 3.1145067614265e-05 0.000164678868490014 9.38726126570286e-05 0.000163684673679732 0.000120799925849323 0.000296372593409874 8.31545185830066e-06 8.02252692977163e-05 0.000693454719032199 8.85953077919557e-05 0.000375647388241007 7.94896616965769e-05 0.000191778580972148 0.000231927612623159 7.69162390070222e-05 0.0032656242877435 0.00201071525980826 0.0516004848762584 0.000174535893319996 0.000958024662663134 0.000393941860315546 0.00441994458278624 0.000804412979043913 4.3705224146666e-05 0.000299247216296154 0.0026397104109982 0.0165457450000765 0.000102962194735099 0.144795072925554 0.00931589194403069 7.56689975568607e-05 0.0349711740549555 0.013200795312756 8.97889002908979e-05 5.17384645732025e-05 0.0338055310421738 5.92848589923315e-05 0.000452290155722005 7.44895943238471e-05 9.79547533255026e-05 0.000123426236206536 0.000256957379091149 0.00111759077196922 0.000110719005151723 0.137871514874255 5.88120050382737e-05 0.000122676327778852 4.50059147988101e-05 0.000196615273247466 0.0334526172540929 0.145882618998278 0.00222041977910801 6.43242792925187e-05 0.00460661410698293 0.00012300653885498 7.68156566504359e-05 0.0142405991588282 0.00107942650217799 0.000207869971646686 0.000103184499325419 0.0195648071308102 0.000331397374048716 0.000463037602622351 7.98256533032621e-05 0.000205464907842324 0.00412614606254845 0.0031753091367226 0.000102273828372038 0.000109144559046198 0.00106456320993263 0.000482828306311908 0.000225987430789727 0.000127083771130018 6.78428762679462e-05 6.71183313368194e-05 0.0346151825423873 5.82722784136072e-05 7.35881354372038e-05 7.05597118451025e-05 0.00126286000261472 0.0185112154799774 0.146712627292033 6.56799576091213e-05 0.00030500076415317 7.23379256087059e-05 8.46659501866348e-05 9.66094969158186e-05 7.6513902734411e-05 0.000352075512935936 0.039382339886842 0.000208972915811381 0.000127668782008882 6.09270894725158e-05 0.000106285663293027
"DNSBrentano" 0.0037651770749239 6.79950749060583e-05 0.0736998383358101 6.47130224508236e-05 0.0150367484819381 0.00096046588649306 3.21408240135688e-05 4.08535202785832e-05 9.68738665290795e-05 0.000168917928052565 0.00918400951918886 0.000107280861232999 8.58130982668127e-06 8.27901963121139e-05 0.000188796473317082 9.14278379946425e-05 0.000124539592020929 8.20310701883859e-05 0.000197910041388851 0.00790750498785556 7.93753711607935e-05 0.016168856590112 0.00102983674028214 0.011005857161554 0.000180116078113108 0.00012355993590654 0.000976499517408977 0.00120741497792212 8.10990170205458e-05 0.000548615931079689 0.00544979903152224 0.00273612747733309 0.0135069369573917 0.000106254056726334 0.180570357783048 0.010900685840501 7.80882534557188e-05 0.0331452207859576 0.0196989825862283 9.26595915078327e-05 5.33926239998888e-05 0.0115543957686068 6.11802884213046e-05 0.00694995751242818 7.68711428614248e-05 0.000101086519603044 0.00110367528199561 6.36979677416032e-05 0.000163916781692522 0.00193364434602129 0.000115983357422128 6.06923165886627e-05 0.00130387541794204 4.64448241061352e-05 0.00158463975838505 0.0576122604202055 0.105488067958764 0.00314432756290218 6.63808268502062e-05 8.94381392950233e-05 0.00307382960952881 0.00641305315458706 0.0158500001429913 0.000408486359485928 0.000714880031201004 0.000106483468741211 0.00194915805491932 5.30940564039716e-05 0.000100022820718915 8.23778039708985e-05 0.174611149048618 0.00545211375897414 0.000183269061818219 0.0103148641390096 0.000112634080869219 0.000255666926228837 0.000127238163967851 0.00284608633548552 0.000131146837549318 7.00119188601042e-05 0.00111380006279572 0.0372469957452071 6.01353340618082e-05 7.594086292786e-05 0.00491717271767858 0.000129978267101923 0.0106890062088428 0.0829671273905619 6.77798483175084e-05 8.39938388362499e-05 7.46506819407627e-05 8.73728526967087e-05 9.96982532472829e-05 7.89601715698847e-05 9.85261744890418e-05 0.0372750539743723 0.000719167488671795 1.76471426352822e-05 6.28750235718922e-05 0.000109683781758816
"DNSChamisso" 0.0269105433519442 6.10420187095783e-05 0.038852253241624 5.80955831382513e-05 0.015046813040307 0.000138671390534554 2.88541601503953e-05 3.66759114927487e-05 8.6967716136899e-05 0.000151644679247926 0.000111914363127463 9.63105099540224e-05 7.70380024901325e-06 7.43242171471369e-05 0.00280455159954446 8.20785888559703e-05 0.0010196246029805 0.000392395302054609 0.00141028274712152 0.000104500496086793 7.12585859809851e-05 0.00374948696139758 8.09347919656103e-05 0.0593346993842766 0.00755878493174933 0.00011092491522043 0.000153065450688235 0.000837543938684247 0.00283290258282414 4.04904414578708e-05 0.00722914757377471 0.00313987876245086 0.0444727693710466 9.53887046616017e-05 0.0929369459508325 0.0124467805280161 7.01030866577893e-05 0.0194992628019517 0.0146292595171159 0.000499246667527597 4.79327886270819e-05 0.0251360657713943 5.49241002474126e-05 0.00159766929281399 6.90104356419449e-05 9.07495907522761e-05 0.000114347492526641 5.71843261297535e-05 0.000282190461505564 0.000102574954914435 0.000104123104262224 5.44860275520147e-05 0.000113652744384222 4.16954584720543e-05 8.75617417665655e-05 0.0221650660952884 0.155733641282873 0.000879044653481072 5.95928408071587e-05 8.02923532291049e-05 0.000815610410737625 7.1165402063031e-05 0.0420795904301267 0.00103973334620371 0.000192579882202742 0.0194955111507664 0.00508647669531792 4.76647520258835e-05 8.97946638362301e-05 0.000370581682470673 0.000606414007434685 0.00641301835286426 0.000538152470076242 9.47509717939799e-05 0.000399469753806231 0.00157977871087547 0.000114227014180492 7.87725432367697e-05 0.00118050678420183 0.00280733239209227 6.21813734812013e-05 0.0119441872679412 5.39860010740363e-05 0.00236406999679642 0.00402404751105394 0.000116686919210486 0.0103747742747788 0.130488353317633 6.08488008116171e-05 0.00242128797218516 0.0895583094101134 7.84382591884831e-05 8.95032860606597e-05 7.08858439664866e-05 8.84510620048954e-05 0.0996167347462034 0.00117943893196059 1.5842577016082e-05 5.64455347764998e-05 9.84677120733986e-05
"DNSDincklage" 0.000787668789440393 5.98623238892829e-05 0.00943360136854014 5.69728309757399e-05 0.00999847135940251 0.000135991434586257 2.82965261796817e-05 3.59671147698969e-05 0.0023089476357454 0.00179983076107701 0.000109751512073564 0.00161927329480638 7.55491701345726e-06 7.28878312633714e-05 0.000166214915572576 8.0492342395295e-05 0.00010964366764646 7.22195026534801e-05 0.00259976459038021 0.000102480925034623 0.000730328149869908 0.000603304081940621 7.93706504630533e-05 0.0158217565007047 0.00259362772702674 0.00175989794505225 0.000150107315895836 0.00803636371001022 0.00139229233754175 3.97079253309618e-05 0.000271877935697357 0.0291431418040122 0.0304600299557882 9.35452276078796e-05 0.130336353340044 0.00606345773113274 6.87482781182752e-05 0.0333136672106615 0.00782785154734255 8.15767684049762e-05 4.70064420929885e-05 0.0406451404779651 5.38626399952618e-05 0.00135797685552451 6.76767436180873e-05 0.00247136344078012 0.00132490069987421 5.60791848719208e-05 0.000144311032675874 0.00010059259676897 0.000102110826664466 5.34330334695713e-05 0.000111456297466234 4.08896542501568e-05 0.000692251068648851 0.0124302492605643 0.100648796264145 0.000802040298289895 0.21959056697477 7.87406274635407e-05 0.000111756307293671 6.97900632722642e-05 0.0481218881271025 0.000194979297842226 0.000598148421340323 0.001306510281055 0.0146555942325758 4.67435855529474e-05 0.000797718681597838 7.25247643216348e-05 0.00160628502718994 0.00202122530211248 0.000161348626391023 9.2919819531878e-05 0.00142005555728357 0.000225087131190503 0.000112019468954839 7.72501892386158e-05 0.00122729096067293 0.000722084640834583 6.09796595509391e-05 0.0639281390070548 5.29426704768208e-05 0.000829269770886591 6.41062899006603e-05 0.00011443183399052 0.0148045627244151 0.0929020495802899 5.96728401101833e-05 0.00128671058951292 6.572186745978e-05 7.69223655461399e-05 8.77735502950794e-05 6.95159079006858e-05 8.67416614656824e-05 0.068136799191829 0.00171468423867776 1.5536404211822e-05 0.00263331042479521 9.65647302855257e-05
"DNSDroste" 0.0129113045686813 5.96636633938196e-05 0.0163531752436044 0.00542681960722729 0.0224371380681096 0.00430383892110985 2.82026206720849e-05 3.58477534692265e-05 8.50039473040396e-05 0.00466306377703373 0.00142090700285121 9.41357767757153e-05 7.52984509075921e-06 7.26459440172496e-05 0.00197044775299958 8.02252186422842e-05 0.000415827319453166 7.19798333381727e-05 0.000728776388300649 0.000478911131892867 6.96495361353756e-05 0.0289241159258563 7.91072491828858e-05 0.0515965229951229 0.00133815601211335 0.000108420182418725 0.000948434140121481 0.0062275573045056 0.00172107873802465 3.95761496896643e-05 0.000270975675278749 0.0478359251575874 0.0146660825693088 0.000658390239894314 0.132412590604571 0.0104620360904443 6.85201284891615e-05 0.0521193863686129 0.00605051560827439 0.000451383506830867 4.68504454248098e-05 0.0208638774491281 5.36838901898214e-05 0.00138686108015899 0.0010548993916836 0.00107015458742526 0.000111765476441661 0.00344453625772856 0.00277702476320592 0.00167373808889276 0.00213705128950217 5.32557093663038e-05 0.00168395604059994 4.07539568958796e-05 0.00348447455064754 0.0311690301190167 0.130406069186116 0.0626425441484297 5.82472085583546e-05 7.84793169923012e-05 0.000111385430222157 6.95584563507934e-05 0.0315373613642808 0.000500879752848775 0.00254396492931586 9.34360884925781e-05 0.0103537777534371 4.65884612065746e-05 8.77670612955229e-05 7.22840819578805e-05 0.00471384929492187 0.00314509772585601 0.00350133585708743 9.26114536652152e-05 0.00327889113678816 0.000224340151820183 0.000111647718548937 7.69938249702128e-05 0.000115077463794503 6.14333842001913e-05 6.0777291039453e-05 0.0336659614814854 5.2766973703546e-05 6.66358569326369e-05 6.38935452812309e-05 0.000411836236197057 0.0104998046919099 0.137114342464857 5.94748084399809e-05 7.37021046657341e-05 6.55037613472194e-05 0.0119688279931771 8.74822629567788e-05 0.000637868267809984 0.000886469821470754 0.0470032285527404 0.000189230087677464 1.54848447407238e-05 5.51709700659158e-05 0.00435213506960575
"DNSEichendorff" 0.0100422824847125 5.65213918547868e-05 0.00723105294127185 5.37931623004172e-05 0.045262567543383 0.000815023522989541 2.67172896142336e-05 3.39597806385759e-05 0.000784748587127012 0.000140414234647855 0.000974915361713194 0.000448591349351837 7.13327510869422e-06 6.88199422378279e-05 0.00531850328415868 7.60000436041982e-05 0.000103524425729003 0.00161836236776678 0.000669426656155033 0.00500809184284532 6.59813444311482e-05 0.00025937683288095 7.49409535935958e-05 0.11132145126552 0.00244608260818025 0.000102710079584068 0.000467217599577011 0.00331520714210408 0.000404022484128971 0.000352570373617978 0.0073159124429959 0.000188120825184738 0.00990282340452612 8.83244438613712e-05 0.097336380491416 0.00149644569213033 6.49114186420778e-05 0.0719287494833905 0.0234190819828064 7.70239475131757e-05 4.43830002014473e-05 0.0589867487169583 5.08565518962511e-05 0.00188462694164022 6.38996867640595e-05 8.40288917044953e-05 0.000105879188947866 5.29493908205981e-05 0.000509278352363662 9.49784974967767e-05 0.000569029831641506 5.0450921823706e-05 0.000105235892201982 3.86075918962716e-05 8.10771272395537e-05 0.0248256477730778 0.0846673445670217 0.20960071134561 0.00102443038088374 0.000613466142704673 0.0037496539024003 6.58950614927299e-05 0.00959640249324449 0.00150501987993747 0.00517880702397348 0.000447928511145501 0.0125235784387166 4.41348137540128e-05 0.0120965275319949 0.000429773398292066 0.000176254728882685 0.00415598528133952 0.000152343717132427 8.77339399745155e-05 9.362788451676e-05 0.000212524959221736 0.000105767632941746 7.29388358675787e-05 0.00110047012199761 5.81979078023621e-05 5.75763687194104e-05 0.00935347532056028 4.99879261185008e-05 6.31263849222378e-05 0.000806571213730974 0.00161340507592567 0.00848109969172246 0.113712658735772 5.63424832152154e-05 6.98204786862952e-05 6.20539127580984e-05 7.26293081015671e-05 8.28748853768138e-05 6.56362068045167e-05 8.19005865342764e-05 0.0143469965193689 0.00603321440853619 1.46693134081278e-05 5.22653125994165e-05 0.000248714706320347
