"","Topic aus Model 1","Topic aus Model 2","Übereinstimmende Topic Wörter"
"1","1",70,0
"2","2",91,9
"3","3",18,9
"4","4",82,15
"5","5",26,11
"6","6",80,11
"7","7",84,14
"8","8",5,15
"9","9",86,16
"10","10",15,11
"11","11",98,20
"12","12",83,19
"13","13",55,9
"14","14",43,12
"15","15",72,17
"16","16",67,18
"17","17",62,14
"18","18",51,7
"19","19",57,17
"20","20",37,17
"21","21",36,17
"22","22",65,1
"23","23",69,4
"24","24",30,17
"25","25",73,10
"26","26",13,20
"27","27",21,15
"28","28",76,14
"29","29",29,0
"30","30",53,16
"31","31",35,15
"32","32",93,8
"33","33",68,2
"34","34",8,16
"35","35",94,11
"36","36",40,14
"37","37",14,15
"38","38",23,1
"39","39",41,15
"40","40",79,18
"41","41",99,19
"42","42",71,16
"43","43",33,0
"44","44",11,14
"45","45",81,16
"46","46",49,9
"47","47",100,17
"48","48",47,3
"49","49",66,4
"50","50",95,1
"51","51",59,8
"52","52",38,17
"53","53",46,1
"54","54",64,10
"55","55",48,8
"56","56",12,13
"57","57",39,19
"58","58",44,10
"59","59",60,1
"60","60",24,16
"61","61",90,11
"62","62",87,13
"63","63",28,16
"64","64",89,0
"65","65",31,15
"66","66",25,19
"67","67",20,10
"68","68",42,13
"69","69",16,1
"70","70",92,10
"71","71",7,18
"72","72",1,15
"73","73",78,16
"74","74",2,16
"75","75",32,5
"76","76",74,12
"77","77",17,17
"78","78",63,10
"79","79",58,13
"80","80",10,15
"81","81",4,19
"82","82",97,16
"83","83",75,1
"84","84",52,16
"85","85",54,8
"86","86",34,15
"87","87",50,19
"88","88",6,9
"89","89",85,16
"90","90",88,18
"91","91",45,14
"92","92",56,13
"93","93",61,7
"94","94",96,0
"95","95",22,15
"96","96",3,8
"97","97",77,18
"98","98",9,10
"99","99",27,11
"100","100",19,16
"101",NA,11.86,NA
