"Text" "Topic1" "Topic2" "Topic3" "Topic4" "Topic5" "Topic6" "Topic7" "Topic8" "Topic9" "Topic10" "Topic11" "Topic12" "Topic13" "Topic14" "Topic15" "Topic16" "Topic17" "Topic18" "Topic19" "Topic20" "Topic21" "Topic22" "Topic23" "Topic24" "Topic25" "Topic26" "Topic27" "Topic28" "Topic29" "Topic30" "Topic31" "Topic32" "Topic33" "Topic34" "Topic35" "Topic36" "Topic37" "Topic38" "Topic39" "Topic40" "Topic41" "Topic42" "Topic43" "Topic44" "Topic45" "Topic46" "Topic47" "Topic48" "Topic49" "Topic50" "Topic51" "Topic52" "Topic53" "Topic54" "Topic55" "Topic56" "Topic57" "Topic58" "Topic59" "Topic60" "Topic61" "Topic62" "Topic63" "Topic64" "Topic65" "Topic66" "Topic67" "Topic68" "Topic69" "Topic70" "Topic71" "Topic72" "Topic73" "Topic74" "Topic75" "Topic76" "Topic77" "Topic78" "Topic79" "Topic80" "Topic81" "Topic82" "Topic83" "Topic84" "Topic85" "Topic86" "Topic87" "Topic88" "Topic89" "Topic90" "Topic91" "Topic92" "Topic93" "Topic94" "Topic95" "Topic96" "Topic97" "Topic98" "Topic99" "Topic100"
"DNSAlexis" 0.00207167994656936 0.00257021481053671 0.000101465952824382 0.00137873373763633 7.28288452777743e-05 3.00399269553933e-05 7.7448364058367e-05 0.000448329274445368 0.0925192423415757 0.000711880369084779 0.00824938861461979 0.0110960672604523 0.0730617950630792 0.00263758080330874 7.63492408960477e-05 5.84790757602872e-05 0.00171837979741401 6.8796055707605e-05 0.000148323314052673 0.00101676643590708 0.0123246913763772 0.000267563907948784 0.00102311606327673 0.000287822694365968 0.000112276743880663 0.000115850085483717 0.000170388262719327 6.00256238403703e-05 0.000324383690258043 0.000391105361926242 0.000463211455746227 4.8780772389242e-05 7.32689351622393e-05 0.0693294881618282 8.27926106738088e-05 0.0838474245572478 0.0031575118749155 0.0101836990978681 0.000363897005278426 6.05355095774857e-05 3.92299432911081e-05 0.00947441650747654 0.0366938306873869 0.00248400017459954 0.0290341683484576 0.0133284412091332 0.0075059361222167 0.00210425545429867 0.0281384230976427 0.000695239824165227 8.0658163106193e-05 0.000819343966146091 0.00128012487440866 4.88266860609057e-05 6.09872376858337e-05 0.0031297772910234 6.05743743100554e-05 0.000248505470322348 7.34027672799297e-05 0.000638379362284654 0.0125932732199686 0.0334981055351118 9.67047526859557e-05 0.0879109067889262 0.00887993149218994 0.000150384997167797 0.000349687922931198 0.00026220457051075 0.0128655073320094 0.000573130631270699 6.02687798332299e-05 0.000888552904906673 7.76313410935039e-05 6.65497838727505e-05 0.00409484270392446 8.90326687166519e-05 9.82862383055532e-05 0.00176876276670148 0.000345006458868789 0.000266973454833873 1.24210559533963e-05 0.00443117725251578 6.0984450568161e-05 0.000546403791297946 7.1673164883123e-05 6.44570860456373e-06 0.00132920359140439 0.00290483220672754 0.00250254587069749 6.6229834078158e-05 0.0692790332746339 0.0094327864317348 0.000309051064406187 8.44393821477421e-05 7.94761692014838e-05 0.000939175465319933 0.000452476543322324 0.000833199753558531 0.0297696316508128 0.19521292441208
"DNSAndolt" 4.56476190321605e-05 0.00712746093977699 9.72623740749715e-05 0.000459680122350742 6.98116579569826e-05 2.87954188709711e-05 7.42397971620815e-05 0.00497269179773763 0.102162631941321 0.000413349599004361 0.0305862324904157 0.0152288333402634 0.026789089484222 4.95488354833539e-05 7.31862089860261e-05 5.60563773741932e-05 8.89689397144202e-05 6.59459406713199e-05 0.000281089396935584 8.21584782231633e-05 0.0103400912029082 6.45714974242925e-05 0.0157027298064755 7.01736976570322e-05 0.000404764156910482 0.000377331698885718 0.00251337726330567 5.75388543401398e-05 7.6258738857205e-05 0.00052792552200078 6.87467990493237e-05 4.67598598320006e-05 0.000895135211319259 0.0919075778859166 7.93626398397594e-05 0.0914308011668716 0.0103967748921635 0.0127658451440507 0.00099535217350162 5.80276162934686e-05 3.76047069298579e-05 0.00857692791010669 0.0392262142677514 0.000453511345289328 0.00824506441179966 0.0253367430709111 0.0131084208789014 0.000384275584605707 0.0264706447721907 0.000361514096104486 0.000850902970746195 4.81280749814553e-05 0.00102748939934296 4.68038713706912e-05 5.84606299993603e-05 0.00106462551175352 0.000810052031598561 0.000458379803081011 0.000340856524490922 4.12835183199501e-05 0.0121163823315385 0.0215632702340364 0.00138053593103136 0.112495815415919 0.0112820791375541 0.000699798338331012 0.000613215406370239 4.35656555351511e-05 0.013262232778662 0.0954626746834118 5.7771936753282e-05 3.79548497492553e-05 7.44151937393888e-05 6.37927284321974e-05 0.000193638770024181 8.53441818518175e-05 9.4214390250119e-05 0.00342951975925881 8.0530359426373e-05 0.00621239170822313 1.19064706624928e-05 0.00276526519004257 0.000489191692920961 7.22849338956573e-05 0.00389600528144369 6.17867278652993e-06 0.0234010240324778 0.000559770750537642 0.0370513794105457 6.34860336667057e-05 0.0785588940020349 0.00505595553857912 5.04903103949029e-05 8.09411880981188e-05 7.61835934493184e-05 0.00100756477385829 0.000451646271203908 0.000490657822819935 0.0120998776628352 8.24226101931516e-05
"DNSArnim" 4.99113145686099e-05 0.00021542263344136 0.000106347122830777 0.00886159758110684 7.63323847930002e-05 3.14850421528306e-05 8.11741323694417e-05 0.00162156175410731 0.0894136207552573 0.000128936997280881 0.0129073660451603 0.0128384201282692 0.0474289657836387 5.41769224058678e-05 8.00221342587884e-05 6.1292298350301e-05 0.00144436236633642 7.21055919050275e-05 0.000155458626851205 8.98324543101697e-05 0.00669390187829871 0.000770545088079876 0.000105776887356869 7.67282406500772e-05 0.000117677983009561 0.00012142322550518 0.00452424096170854 6.29132454173529e-05 8.33816524149011e-05 0.000172064414233089 7.5168063213075e-05 5.11274437252642e-05 7.67936458534545e-05 0.0945977008567572 8.67754718870831e-05 0.120348923785046 0.00398290297126026 0.0336159914927467 0.00463123386765891 6.34476599633683e-05 4.11171578415551e-05 0.0445094776425572 0.0105637421188393 0.00244428716712381 0.0211472175506218 0.027343229527934 0.00375130314502196 0.00136991322392144 0.00381463779796348 0.000111495934291076 8.45383435565389e-05 5.26234564017164e-05 0.00124986575483953 5.11755661421352e-05 6.39211191217103e-05 0.00165708147873141 6.34883943414856e-05 5.75543241412439e-05 7.69339161634704e-05 4.51395869719796e-05 0.00957225570450682 0.0436522957117876 0.000101356878104849 0.0691454462248198 0.0178246216802936 0.000157619490287453 0.000116930194430984 4.76348861979124e-05 0.0156196526405164 0.000104260902559491 6.3168098789542e-05 4.15000055951383e-05 0.00170451394730159 6.9751259835175e-05 0.00611043316906071 9.33157171681973e-05 0.00160373949407498 0.0111727756807419 8.80522618018941e-05 7.78101991065819e-05 1.3018589254763e-05 0.00367678205737125 6.39181979256122e-05 7.90366759697907e-05 7.51211086805508e-05 6.75578896782623e-06 0.169278057095673 0.000187722742822459 8.42296401984502e-05 6.94159183816324e-05 0.0584075945724681 0.00252654896184873 5.52063353624487e-05 8.8501463742851e-05 8.32994880836405e-05 0.000135025964511144 8.27189967792373e-05 9.74784930676257e-05 0.0230564583937941 9.01212574092409e-05
"DNSAuerbach" 5.22845771077142e-05 0.00387541425861459 0.000346985596125829 0.000317864840442892 7.99619583859918e-05 3.298214299518e-05 0.000187198809151816 0.000243074630226085 0.114622853178931 0.000511046426138647 0.00412645182991242 0.0177460826677719 0.0925964143521932 5.67530128483077e-05 0.000126188908548933 6.42067220008826e-05 0.00023408534719406 7.5534183229604e-05 0.00107172018222953 0.000585376668930726 0.00744230286758937 0.000159626953089394 0.000291180098582833 0.000186781129987034 0.000214530223911945 0.000703839530118964 0.00117339921108606 0.00185180315012208 0.000174965034201354 0.217320674375768 7.87422737924295e-05 0.000193289996864098 8.04451522207075e-05 0.0697683816788558 0.00124209565041378 0.100673145132241 0.00413753701106177 0.0370500303401684 0.00023536469699105 6.64645701747373e-05 4.30722618347722e-05 0.0121702698354406 0.00926530063275378 9.70471747226017e-05 0.017849693697251 0.0175443084591048 0.0039953386117441 0.00312139610191905 0.0109942945549843 0.0272075143196077 0.000405147912523524 0.000241797949684614 0.000397546551271157 5.3608943325091e-05 0.000501602348364123 0.000976354049666467 0.000198687966079917 0.00024381664889647 8.05920923264398e-05 0.000162909829139175 0.0135411199028155 0.0277191492417134 0.000635371579375107 0.0620903716483884 0.012462743975915 0.000209174473952221 0.00043994872478747 0.000244537700535408 0.00621818763047094 0.000534095780900328 6.61717159817436e-05 4.34733138420324e-05 8.52348275232355e-05 0.000437631090870884 0.00103826888727978 0.00027919001512477 0.000107912737972557 0.00234058671226732 0.000329385692901854 8.15100421641326e-05 1.36376178349028e-05 0.00302242735996113 0.000356348898273768 0.000170915320581934 7.86930865911398e-05 7.07702396269691e-06 0.00167781327791739 0.00126348151518008 0.000177895900417064 0.001435921812203 0.0441087855201989 0.0168370190222647 0.000331848591622565 9.2709672049368e-05 0.00111855223822513 0.000369588146424561 0.00031080518957742 0.000655997367312711 0.01330842483885 0.000210612594908868
"DNSBerthold" 5.26137419681892e-05 0.00684347206472532 0.000112105243631408 0.000221310982160538 8.04653700674367e-05 3.31897866847294e-05 8.55692720556687e-05 0.00024460494052349 0.154616732543632 0.000135918237452232 0.00856021161430564 0.00568090042550873 0.118769962096964 5.71103093703254e-05 8.43548994857289e-05 0.00150530699300612 0.0019044885590144 7.60097192338954e-05 0.00352135568084545 0.00205337806976908 0.00748327461037305 7.44255270266727e-05 0.000111504132994578 8.08826593754997e-05 0.000250964319688218 0.00147890544020085 0.000188254455532915 6.63196569631477e-05 8.78963173572255e-05 0.000450584875348635 7.92380067790992e-05 5.38957179329827e-05 8.09516059164517e-05 0.0476698953506334 9.14738937753048e-05 0.105633058290343 0.00121955667855545 0.0370080972469468 0.000483699019832256 6.68830071628195e-05 4.33434292772854e-05 0.0356604833754112 0.00640528918987888 0.000736284256969989 0.0216318065825713 0.0302128386554321 0.0048230287725154 0.00164900203105408 0.0130975227297123 0.000117532835349967 8.91156370603634e-05 5.54727315945202e-05 0.000172301803534585 5.39464459181303e-05 0.000796830028152311 0.000827958488775048 6.69259470869232e-05 6.06705791200576e-05 8.10994711041502e-05 4.75836511624966e-05 0.0242410909137959 0.0470961820811482 0.0758046434552634 0.0467457281922163 0.0258451306953853 0.000166153732131053 0.000759428610945379 5.02140573287413e-05 0.00821890768277832 0.000109906065829921 6.65883092653357e-05 4.3747006163493e-05 8.57714352890686e-05 7.35279128318545e-05 0.00441931594262823 9.83682579210576e-05 0.000108592117692221 0.00608253601021772 0.000426921313695305 8.20232000233038e-05 1.37234753634545e-05 0.029079729817183 6.73790222076187e-05 8.33160839669258e-05 0.00133598123499392 7.12157835586834e-06 0.000338238385439679 0.000197886912772946 8.87902190871529e-05 7.31744144545743e-05 0.038139075993198 0.00986057096156954 5.8195459463934e-05 0.000431157535303579 8.78097042723709e-05 0.000263119941947094 8.71977825073639e-05 0.000102756425592796 0.0551371392194805 9.50008354650841e-05
"DNSBrentano" 5.42882439399532e-05 0.000735810948373915 0.00108910209630814 0.000228354497070101 8.3026286964739e-05 3.42460955722365e-05 0.000780417106590398 0.000252389816487215 0.0850349926376675 0.0065579507073424 0.00247553077891598 0.0328391539598387 0.137155247382224 5.89279205508127e-05 0.00106046856073279 0.00106301724220207 0.000105809845172703 7.84288291464223e-05 0.000421320280849943 0.00113589695215277 0.00331877360104147 0.000879007554437693 0.00170068126779373 8.34568570573082e-05 0.000127997651498496 0.000132071329781141 0.000194245902732656 0.00410409188413143 9.06937339867906e-05 0.00845803439412942 8.17598612153502e-05 5.56110204865052e-05 8.35279979131759e-05 0.0604600025494856 9.43851715092528e-05 0.0857052133365819 0.000991303922911437 0.028943791549488 0.000406005095895012 0.0028089740621202 4.4722891278519e-05 0.0684749393848786 0.0178161169405566 0.00010076624860463 0.0148471562264815 0.0315765047522183 0.00823444004035157 0.000778497886778043 0.0170236182588703 0.000373502318157723 9.19518601532352e-05 5.72382246949789e-05 0.003059437360711 5.5663362956918e-05 6.95266261325175e-05 0.00104232375308932 0.000816318430674688 6.26015005973024e-05 8.36805691061707e-05 4.90980638371074e-05 0.00766188276990321 0.0516794913199403 0.000645054172485993 0.029436026691612 0.00216749126808028 0.0001714417945585 0.000127184286250151 5.18121861609024e-05 0.00512758148616084 0.000113403971834256 6.87075703364955e-05 4.51393125332591e-05 0.00101023377745311 7.58680359709969e-05 0.00349356081748444 0.000101498957918548 0.000112048205558079 0.000971567737418661 9.57739284064499e-05 8.46336969207199e-05 1.41602431297436e-05 0.00395553178296207 6.95234487646653e-05 8.59677286069633e-05 8.17087890458874e-05 7.34823201236331e-06 0.0194366557946667 0.16041245798095 9.16160853223407e-05 7.5503287040009e-05 0.0477784732561372 0.0098831045613605 6.0047606982333e-05 0.00186186443610797 9.06043643258792e-05 0.000146866949167045 8.99729673408301e-05 0.00421881306551496 0.0136792394383598 9.80243627861722e-05
"DNSChamisso" 4.87594474109427e-05 0.000686196385506848 0.000103892814440787 0.00338072544552714 7.45707648503196e-05 3.07584216194491e-05 7.93007732336097e-05 0.00187809976606264 0.128466753458355 0.00012596135350432 0.0216009900798116 0.00959205187935091 0.0508549132436066 5.29266123677097e-05 7.8175361254795e-05 5.98777776930541e-05 0.135319522260812 7.04415190606751e-05 0.00015187090955316 0.00270435862036337 0.00946603611851818 6.89733791085006e-05 0.000103335739019268 7.49574850361589e-05 0.000726970425510796 0.000387696429880212 0.000174463607435158 6.14613160942154e-05 8.14573475193304e-05 0.000168093463969179 7.34333138066739e-05 4.99475104016958e-05 0.000323257057154308 0.106265325548794 8.47728434846514e-05 0.109161366940497 0.00469012061636982 0.0112322689877823 0.000126080262905744 6.19833972731485e-05 4.01682446713921e-05 0.0278195658467196 0.0109639890637351 9.05040620777843e-05 0.0189919794734713 0.018792216628816 0.0051232594547747 0.00169179310024677 0.014247956259431 0.000108922800202476 8.25873442220593e-05 5.14089976827672e-05 0.00196508279390859 4.99945222360863e-05 6.24459298097475e-05 0.000958319777681358 0.000321565941577036 5.62260694893072e-05 7.51584139130216e-05 4.40978430669536e-05 0.0117157244916578 0.030026122037094 9.90177359664036e-05 0.0909996066364608 0.00453214307066071 0.000153981903983834 0.000565165556008125 4.65355550854216e-05 0.0198754891286739 0.000807883984259764 6.17102878896121e-05 4.05422569583571e-05 7.94881267115917e-05 6.81415209191702e-05 0.000654295389256535 9.11621511716045e-05 0.00010063704754279 0.00152118371992383 8.60201672877636e-05 0.000374885058321245 1.27181426419793e-05 0.00638664193062934 6.2443076029823e-05 7.72126456454513e-05 0.000388802089517075 6.59987699669447e-06 0.00170219294904572 0.000324596274053489 0.00224549353515141 6.78139185686803e-05 0.0669545462735692 0.0121882996573147 5.39322682466297e-05 8.64590024217666e-05 0.000470691204406856 0.00117536179570044 8.08099848341762e-05 9.52288573745177e-05 0.0453529880252997 8.80414140407663e-05
"DNSDincklage" 4.78198454954213e-05 0.0140488268047298 0.000101890784216065 0.00619707194528465 7.31337749495781e-05 3.0165702189541e-05 0.00239545579223198 0.000222317782877373 0.0898427760958247 0.000123534059198934 0.002216394688978 0.00448644799955052 0.12138105502478 5.19067085541238e-05 7.66689102369538e-05 5.87239238738466e-05 0.00778927377467296 6.90841003499208e-05 0.000148944334189714 0.00107330248859592 0.0171483632185026 0.00176325374816639 0.00208560780258765 7.35130429790318e-05 0.000112746839356324 0.0031385860115184 0.00335267156419264 6.02769472508631e-05 7.98876521305085e-05 0.000164854277532118 7.20182427593274e-05 4.89850143329149e-05 7.35757074619678e-05 0.0681689350892062 8.31392579878538e-05 0.0628856487993576 0.00404426075633612 0.0633547300506686 0.000933763422803064 6.07889678466307e-05 3.93941965301512e-05 0.0130903207087235 0.0188335891100914 8.87600351331377e-05 0.0160113365979689 0.0250030020170638 0.00139673832895991 0.000654455142282564 0.0055238077651903 0.00108920896678224 0.000840357233170306 0.203645447830859 0.000156602539857133 4.90311202421567e-05 6.12425873113953e-05 0.00297038043910788 0.00310805146506801 0.00126404293232208 7.3710099926092e-05 4.32480709711612e-05 0.0386304915086194 0.00800084072479538 9.71096492401428e-05 0.0689752000946714 0.0135005808253546 0.000151014649438895 0.00109926473296981 4.5638807910877e-05 0.0135608166536319 9.9891984306573e-05 6.05211213221615e-05 3.9761001543861e-05 0.000457637058277232 0.00117433310311625 0.00114456516180286 8.94054427507319e-05 9.86977564378952e-05 0.00623225192655292 8.43625456729025e-05 0.00273231442177067 1.24730621125065e-05 0.000373466568290383 6.12397885242409e-05 7.57247463027967e-05 7.19732557957496e-05 6.47269637021943e-06 0.000307419824693812 0.000179856464117104 0.000735623523009434 6.65071341162411e-05 0.0351223722738457 0.00725442933753447 5.28929852923775e-05 8.4792924387598e-05 7.9808930789264e-05 0.000129367876133922 7.92527642220654e-05 9.33937829109393e-05 0.0267687599073504 8.63448426957154e-05
"DNSDroste" 4.76622351886326e-05 0.0483075051043199 0.00151729457496694 0.0022183456115154 7.28927319979122e-05 3.00662784978219e-05 7.75163031001144e-05 0.000599032081185471 0.138149360090121 0.000123126901025011 0.0163715086164049 0.018219495033364 0.105780078998553 0.00034299394867647 7.64162157679857e-05 5.85303746149206e-05 0.00300935134396598 6.88564047951241e-05 0.00482230185479152 8.57844679490004e-05 0.00355103396346993 0.000429559295006954 0.000476191683369566 7.32707499909039e-05 0.00072336480302984 0.000115951711178331 0.000907626249107519 6.00782793536737e-05 7.96243489510341e-05 0.00016431093129191 7.17808765106897e-05 4.8823563724761e-05 7.33332079368201e-05 0.0419067364468633 8.28652377809314e-05 0.100707030522259 0.00211840283562421 0.0394696595139099 0.000123243134660906 6.05886123713585e-05 3.92643564744905e-05 0.0229556354819696 0.0150322749476415 0.000265434941110793 0.0175967670684757 0.0492427925162536 0.00186089682192135 0.0106884700975981 0.00392653906349116 0.00091929733420599 0.00235917101485265 0.00309760981792344 0.000156086390670638 4.886951767269e-05 0.000245312866459188 0.00135835089447598 6.06275111967425e-05 5.49608391815026e-05 7.34671574543541e-05 0.0045109736987321 0.0186991229362184 0.0289742609863439 9.67895837641816e-05 0.0707472823637885 0.00964672368000832 0.000150516917483029 0.000455850399198638 0.00209678632940755 0.00543820532519286 9.95627484813799e-05 6.03216486471672e-05 3.96299525288207e-05 7.76994406458648e-05 6.66081624918444e-05 0.0653692231079365 8.91107697103961e-05 0.000550001401099194 0.00650189241667626 8.40844936096382e-05 7.43039537617116e-05 1.24319519180719e-05 0.00342878983869825 0.00341158277232681 0.00170863136940675 7.17360378204712e-05 6.45136289140763e-06 0.00239421041732224 0.00222343427097162 0.00231670865513832 6.62879320317696e-05 0.0294339032738555 0.0124671655001942 5.2718654330984e-05 0.00107972914713409 0.0114286132400245 0.000520579500057999 0.000470629563463657 0.00043727522094071 0.0533506869423803 8.60602571432966e-05
"DNSEichendorff" 4.51621397097645e-05 0.000194924680950856 9.62279527302946e-05 0.00296282805521933 6.90691851376134e-05 2.84891689342167e-05 7.34502294434307e-05 0.000209961924097692 0.123063586142525 0.000116668349356979 0.016626430220819 0.00205395286097833 0.0812470998915038 4.90218652801759e-05 7.24078465675561e-05 5.54601970545926e-05 8.80227221135325e-05 0.000258332117373984 0.00186805381193889 0.000467459764776788 0.00868579420277625 6.38847556515496e-05 9.57119764559227e-05 6.94273744114637e-05 0.00028646631570536 0.000109869530018831 0.00101206189706218 5.6926907329348e-05 7.54476989464248e-05 0.000497806466923336 6.80156513985372e-05 4.62625514170627e-05 0.000427588731445291 0.0185205883796415 0.000240724638096384 0.060150257339366 0.00797547776846321 0.010152830590951 0.00341098515186265 5.74104711184144e-05 3.72047669543173e-05 0.00337660588934697 0.00453499049908454 0.00211153680192027 0.0385795371187813 0.0748380033086094 0.00453380991766113 0.00897086797471592 0.0228567450603203 0.000100886843094514 7.64943283007346e-05 4.76162150920324e-05 0.00329499788161159 4.63060948767508e-05 5.78388795632875e-05 0.00987515933750157 5.74473295280039e-05 5.20778995751528e-05 6.96134794329608e-05 4.08444528237635e-05 0.0411539261080345 0.0361830914295934 9.17125411157902e-05 0.0229802776839902 0.00896429837514545 0.00101852839249651 0.000576909682755392 4.31023186650716e-05 0.00680316564748226 0.000262069242052729 5.71575108247636e-05 0.000371385371317088 7.36237606132248e-05 6.31142691559045e-05 0.00621098717587212 8.4436514892306e-05 9.32123853414652e-05 0.00150000829177756 7.96738892499312e-05 0.000412520754283449 1.17798409404632e-05 0.0245282952416744 0.000986859217298702 0.203724282294409 6.79731646963497e-05 6.11296031474475e-06 0.00593042460328788 0.00130300536153297 7.62149987677945e-05 6.28108362027502e-05 0.0149819897662221 0.00138253473687579 4.99533272576047e-05 0.000440051668323843 7.53733527377621e-05 0.00112431210506889 7.48480964984434e-05 0.000956409752235068 0.10190328971142 8.15460152294912e-05
