"word" "word.freq" "doc.freq"
"1" "herr" 4882 2363
"2" "willibald" 1 1
"3" "sarmaten" 2 2
"4" "feierten" 12 12
"5" "abgang" 15 15
"6" "seniors" 2 2
"7" "akademie" 20 15
"8" "königsberg" 16 12
"9" "straßen" 247 217
"10" "fenstern" 187 177
"11" "zuschauer" 59 58
"12" "reichen" 372 357
"13" "comitates" 1 1
"14" "landsmannschaften" 4 3
"15" "prinzen" 217 136
"16" "gaben" 247 237
"17" "polen" 80 49
"18" "kurländer" 15 11
"19" "liefländer" 1 1
"20" "esthländer" 1 1
"21" "wetteiferten" 10 10
"22" "pracht" 114 108
"23" "kleidung" 110 107
"24" "pferde" 665 490
"25" "geschirre" 10 10
"26" "wagen" 1196 824
"27" "dienerschaft" 73 69
"28" "goldbesä'te" 1 1
"29" "livréen" 1 1
"30" "ausgewählt" 11 11
"31" "phantastischen" 25 25
"32" "ordenstrachten" 1 1
"33" "herren" 736 542
"34" "überstrahlten" 1 1
"35" "gezogenen" 12 11
"36" "hieber" 5 5
"37" "federbüsche" 3 3
"38" "deutschen" 248 209
"39" "hüten" 89 83
"40" "sarmatischen" 6 5
"41" "mützen" 31 30
"42" "stolzen" 116 115
"43" "reiherbüsche" 1 1
"44" "köpfen" 53 52
"45" "blinkten" 6 6
"46" "wette" 105 91
"47" "standarten" 3 3
"48" "fähnlein" 2 2
"49" "scheine" 86 83
"50" "hellen" 225 219
"51" "nachmittagssonne" 8 8
"52" "held" 73 68
"53" "tages" 671 619
"54" "schwarzsammtenen" 1 1
"55" "rocke" 22 22
"56" "goldschnüren" 1 1
"57" "strotzend" 4 4
"58" "zurückgelehnt" 19 19
"59" "prächtigen" 73 71
"60" "carosse" 3 3
"61" "erwählten" 9 9
"62" "marschälle" 1 1
"63" "senioren" 3 2
"64" "blinkende" 6 6
"65" "waffe" 90 82
"66" "faust" 220 196
"67" "schimmeln" 6 6
"68" "ehrenwache" 6 4
"69" "ritten" 68 57
"70" "dunkeln" 269 252
"71" "auge" 1033 912
"72" "blassen" 72 72
"73" "jünglings" 60 58
"74" "flüchtige" 57 56
"75" "wiederschein" 16 16
"76" "vergangenen" 99 96
"77" "jugendrausches" 1 1
"78" "spiegeln" 16 16
"79" "bleierne" 5 5
"80" "gefühl" 648 566
"81" "sättigung" 6 6
"82" "aufgeworfenen" 3 3
"83" "lippen" 999 878
"84" "spielte" 321 305
"85" "hohn" 77 73
"86" "schaugepränge" 2 1
"87" "schmettern" 6 5
"88" "pauken" 10 10
"89" "trompeten" 26 25
"90" "stimmte" 97 96
