"word" "word.freq" "doc.freq"
"1" "herr" 7410 3147
"2" "willibald" 1 1
"3" "sarmaten" 2 2
"4" "feiern" 147 139
"5" "abgang" 15 15
"6" "senior" 15 9
"7" "akademie" 20 16
"8" "königsberg" 16 13
"9" "straße" 1001 791
"10" "fenster" 1650 1152
"11" "zuschauer" 76 71
"12" "reich" 1148 940
"13" "comitates" 1 1
"14" "landsmannschaft" 7 6
"15" "prinz" 409 193
"16" "polen" 91 51
"17" "kurland" 35 22
"18" "liefländer" 1 1
"19" "esthländer" 1 1
"20" "wetteifern" 18 18
"21" "pracht" 114 107
"22" "kleidung" 110 107
"23" "pferd" 1329 799
"24" "geschirr" 50 49
"25" "wagen" 1886 1356
"26" "dienerschaft" 73 70
"27" "goldbesä'te" 1 1
"28" "livréen" 1 1
"29" "ausgewählt" 5 5
"30" "phantastisch" 63 61
"31" "ordenstrachten" 1 1
"32" "überstrahlen" 10 10
"33" "gezogen" 29 28
"34" "hieber" 5 5
"35" "federbüsche" 3 3
"36" "deutsch" 449 355
"37" "hut" 536 469
"38" "hüten" 220 203
"39" "sarmatischen" 6 5
"40" "mütze" 164 134
"41" "stolz" 890 779
"42" "reiherbüsche" 1 1
"43" "kopf" 3079 2341
"44" "köpfen" 63 62
"45" "blinken" 34 33
"46" "wette" 67 58
"47" "standarte" 4 4
"48" "fähnlein" 2 2
"49" "schein" 317 296
"50" "hell" 746 672
"51" "nachmittagssonne" 8 8
"52" "held" 171 155
"53" "tag" 5337 3427
"54" "schwarzsammtenen" 1 1
"55" "rocke" 22 22
"56" "goldschnüren" 1 1
"57" "strotzend" 10 10
"58" "zurücklehnen" 31 31
"59" "prächtig" 283 264
"60" "carosse" 3 3
"61" "erwählt" 5 5
"62" "marschälle" 1 1
"63" "blinkend" 20 20
"64" "waffe" 241 205
"65" "faust" 281 253
"66" "schimmel" 30 28
"67" "schimmeln" 9 8
"68" "ehrenwache" 6 4
"69" "reiten" 541 380
"70" "dunkel" 1309 1086
"71" "auge" 6107 3920
"72" "blass" 433 407
"73" "jüngling" 428 320
"74" "flüchtig" 288 278
"75" "wiederschein" 16 16
"76" "jugendrausches" 1 1
"77" "spiegeln" 71 71
"78" "liegen" 3789 2792
"79" "bleiern" 21 21
"80" "gefühl" 1050 875
"81" "sättigung" 6 6
"82" "aufgeworfen" 8 8
"83" "lippe" 1030 896
"84" "hohn" 93 92
"85" "schaugepränge" 2 1
"86" "schmettern" 34 33
"87" "pauke" 14 14
"88" "pauken" 10 10
"89" "trompete" 33 31
"90" "trompeten" 27 26
"91" "stimmen" 248 242
"92" "advokat" 4 3
"93" "nachbar" 326 285
"94" "aufmerksam" 277 266
"95" "wundern" 253 244
"96" "werther" 26 26
"97" "starostensohn" 1 1
"98" "kampf" 408 362
"99" "kämpfen" 179 169
"100" "ehre" 854 699
"101" "ehren" 313 260
"102" "thron" 92 79
"103" "auszeichnung" 25 25
"104" "akademisch" 10 10
"105" "jugend" 453 394
"106" "erweis't" 10 10
"107" "unbedeutend" 110 108
"108" "dünken" 141 137
"109" "hindern" 136 128
"110" "polnisch" 67 46
"111" "edelmann" 81 72
"112" "diadem" 7 7
"113" "erheben" 1206 1058
"114" "republik" 40 32
"115" "goldrolle" 3 3
"116" "geschickt" 192 183
"117" "leichtsinnig" 93 88
"118" "verstreuen" 15 15
"119" "anwartschaft" 4 4
"120" "arm" 4636 3080
"121" "stanislaw" 8 4
"122" "leszinski" 1 1
"123" "schwedisch" 52 40
"124" "eisen" 106 96
"125" "gold" 275 222
"126" "stimme" 2148 1694
"127" "werben" 73 66
"128" "glücklich" 1495 1199
"129" "ereignen" 62 61
