"Text" "Topic1" "Topic2" "Topic3" "Topic4" "Topic5" "Topic6" "Topic7" "Topic8" "Topic9" "Topic10" "Topic11" "Topic12" "Topic13" "Topic14" "Topic15" "Topic16" "Topic17" "Topic18" "Topic19" "Topic20" "Topic21" "Topic22" "Topic23" "Topic24" "Topic25" "Topic26" "Topic27" "Topic28" "Topic29" "Topic30" "Topic31" "Topic32" "Topic33" "Topic34" "Topic35" "Topic36" "Topic37" "Topic38" "Topic39" "Topic40" "Topic41" "Topic42" "Topic43" "Topic44" "Topic45" "Topic46" "Topic47" "Topic48" "Topic49" "Topic50" "Topic51" "Topic52" "Topic53" "Topic54" "Topic55" "Topic56" "Topic57" "Topic58" "Topic59" "Topic60" "Topic61" "Topic62" "Topic63" "Topic64" "Topic65" "Topic66" "Topic67" "Topic68" "Topic69" "Topic70" "Topic71" "Topic72" "Topic73" "Topic74" "Topic75" "Topic76" "Topic77" "Topic78" "Topic79" "Topic80" "Topic81" "Topic82" "Topic83" "Topic84" "Topic85" "Topic86" "Topic87" "Topic88" "Topic89" "Topic90" "Topic91" "Topic92" "Topic93" "Topic94" "Topic95" "Topic96" "Topic97" "Topic98" "Topic99" "Topic100"
"DNSAlexislem" 0.000391358624899635 0.00853362500667455 0.00357014805677681 0.000617056191233226 0.00372422108412742 6.41780076117385e-05 6.54620252056248e-05 0.000258504106263877 5.14560865186107e-05 0.00215849062123309 8.58853034282968e-05 0.0214705006369133 0.000443851718025631 0.0130331175513074 0.00356177000357566 4.41058477774125e-05 0.0120303798546582 0.00934649582840228 0.000836550538022902 0.117661467834682 6.66111318575441e-05 0.000941417684603424 6.87592041331697e-06 5.44002239816984e-05 0.000129098680347217 0.00689803162125846 0.0037856321544861 0.00104423164847018 9.5707728513985e-05 0.000351170341336832 0.00515785380819746 0.00034120606848406 0.0128089920077209 0.00331887420298035 0.00198271961121441 7.8882566377726e-05 5.25865064930012e-05 0.138697528733932 0.00604288417966034 0.0468885866649591 0.000256102240679724 0.108627775355763 0.00224605025668641 0.000541923132255691 5.21577422045708e-05 3.50635622475021e-05 5.0938938371097e-05 0.00148290377278843 1.58993187382552e-05 0.0173454362078314 0.00818590355755604 4.09722513288024e-05 9.57222693920638e-05 0.00253697061139759 0.002132428718797 0.000209279960814371 0.000136671124096562 7.06850624111726e-05 0.0361779748547426 0.0165431201852126 8.8447320795657e-05 0.000252865764561179 0.000325956273890678 0.0084071851281619 4.50390135707936e-05 0.0172465829201497 0.000306532767653416 6.59144856119729e-05 0.0412913375512495 7.74711099812835e-05 0.00229145319470596 0.0440602826331161 7.33183189532715e-05 0.000849669232215774 0.000401215849495386 0.0222965989406369 0.111272872487405 4.75156828672543e-05 0.0129903975922056 0.019437905051897 0.00469902166408861 5.9116198906895e-05 6.41330238538112e-05 4.97419760165429e-05 6.491480556619e-05 0.00712375027973207 0.00119763602743161 0.000714521687231611 0.006709006991855 5.23546502040137e-05 0.000294861554750451 0.0424806342536063 0.000108190352810595 0.000119447593641056 0.00144650763326577 5.50296978774321e-05 6.61036328585093e-05 0.0244064927751198 0.00331353545012939 0.00167054289598926
"DNSAndoltlem" 0.000620155264688802 0.00141585773020092 0.00969601798302469 0.00343613110228071 0.000417597497553881 6.31375737471676e-05 6.44007752478609e-05 5.95263752743284e-05 5.06218964752529e-05 0.000356856713889917 0.000583020509233586 0.0167735835791378 0.000332334743653433 0.0144026920337576 0.00132297111081848 0.00358796972742462 0.00985851187610068 0.0112464834169737 0.000881565566969545 0.100136568803479 0.00182273291289581 0.000156813179637182 6.76445013378774e-06 5.35183044990429e-05 0.000393543479286893 0.00356613796574046 0.000368377315699097 0.00274848709000566 9.4156144637316e-05 0.000515849483947637 0.0137588206386513 0.000819085935601371 0.0126133376796456 0.000897502595427322 0.0179775192839283 7.76037467876855e-05 0.0233551459445022 0.0261423751430586 0.00598001843191849 0.0301587891816959 5.71634479867176e-05 0.113719335699847 0.00341721327422068 0.000617098534668604 5.13121771378349e-05 3.44951227004925e-05 5.01131321723878e-05 0.00409314982472526 1.56415639363461e-05 0.0310089443790894 0.00971902109978675 4.03080219552747e-05 9.41704497832096e-05 0.000248907987329956 0.00295807877411281 0.000335054231409327 0.000270627915308691 0.000765566197482081 0.0357972637039031 0.000894410647999653 0.000511724322344397 0.000122658642797297 7.70747873510139e-05 0.0265095186121332 4.43088551148095e-05 0.0076368053317905 0.000472347479466997 6.48459005070665e-05 0.0173869682172979 7.62151724825992e-05 0.000913480730077 0.068919244900751 0.00458288881407883 0.000117218359852602 8.71229587675398e-05 0.0162216261940711 0.147094903591901 4.67453734202489e-05 0.017157445323529 0.000420996939722681 0.000338419341946625 5.81578255080269e-05 6.30933192519089e-05 4.89355745986088e-05 6.38624269627328e-05 0.010033316598069 0.00116913115240674 0.00589859165192783 0.0038511010504839 5.15058929261381e-05 7.7901916102417e-05 0.0510645969612646 0.000355700180311161 0.072357465452302 0.00281940768229907 0.000881205985872446 6.50319813573714e-05 0.0202018743857504 0.0010066608028431 0.000129439937171809
"DNSArnimlem" 0.000102064861327914 0.000276238101708101 0.00266497255211965 9.99984189494257e-05 0.000148614174536342 0.115328219077603 0.00237645131493002 6.3637832624759e-05 5.41183258714112e-05 6.63135895923864e-05 0.000481955628344982 0.040650493459285 5.25919717262473e-05 0.0278291196216503 0.00122120579234013 4.63877998570598e-05 0.00366076939092791 0.0372176431159904 0.000192492123668756 0.132069274556612 7.00574642268275e-05 0.00132383010222754 7.23166736473809e-06 5.72147873673702e-05 0.000135777998781017 0.00517131591466146 0.000127340653297504 8.88503931380347e-05 0.000100659463060003 9.48476833076564e-05 0.00239510717622185 7.41123088535877e-05 0.0132141392183044 0.00127654641715545 0.0281409837253385 8.29637992632608e-05 5.53072316099674e-05 0.000218699007845023 0.000644105832210761 0.00296861297369456 6.11116991160335e-05 0.0996691217038078 0.0169258366748384 0.000104622043440987 5.48562838785477e-05 3.68776837942487e-05 5.35744214693378e-05 6.64532064533224e-05 1.67219190347701e-05 0.0150137729893473 0.00483052755183037 4.30920771305746e-05 0.00010067475625526 0.0124319805789084 0.00939016856946663 7.77341510946815e-05 0.000143742226265005 7.43421721437233e-05 0.0181638328273557 0.0118377490603386 9.30234157535743e-05 0.000131130614695446 8.23983048594597e-05 0.0315953996720128 4.73692458611198e-05 0.0118807198450098 0.000105251834084409 6.93247748389301e-05 0.0224890261217739 8.14793168164985e-05 0.00242136184137208 0.0687948249104039 7.71116683353311e-05 0.00407244625691984 9.31404985146734e-05 0.0353628513550953 0.084519048764822 4.99740532829415e-05 0.0099267226960392 0.014493410577496 0.000219320131649548 6.21747578017888e-05 6.74511436617751e-05 5.23155305753297e-05 6.82733732624566e-05 0.0140054773802244 0.000162273128228134 0.000224239345215188 0.000199221029745302 5.50633795207063e-05 8.32825629853466e-05 0.0567856745513416 0.000113787914427365 0.00012562758333525 0.000184969055932749 5.78768290367175e-05 6.95237082016924e-05 0.0267828289921902 8.22848589923833e-05 0.0042652608521196
"DNSAuerbachlem" 0.000110934366459953 0.00256311633813801 0.00103649344992167 0.000834481234331728 0.000302867835963556 7.33641159365231e-05 7.48319211727389e-05 6.91680031037418e-05 5.88212448075538e-05 0.000177536122183932 9.81784818886237e-05 0.021077892038088 5.71622494600436e-05 0.0308984766395343 0.00041445050245848 0.0001062830874131 0.00850982943573947 0.0141177868847842 0.000209219818749552 0.125625262879512 0.000696400253624424 0.000797098775160443 7.86010412514935e-06 0.000294836197995946 0.000147577198244356 0.00386888328680963 0.00102342242869548 0.000264036709212087 0.000534612098487432 0.00165246898215801 0.00322311418315615 8.05527183654589e-05 0.00792206433113588 0.0031200658623643 0.00264251325601391 0.000492790607615757 6.01134672548423e-05 0.000676781252567933 0.0203570608097398 0.0100911142595249 6.64223468931936e-05 0.117204230580729 0.0055810231312217 0.23744991587127 5.96233318621055e-05 4.00823793321176e-05 0.00014586648116258 0.000176229135933717 1.81750650515948e-05 0.00565384338209494 0.0103211516125674 4.68368076312302e-05 0.000777188806333868 0.000629919181727668 0.00234623954930747 0.000137219219650293 0.000211279700183837 8.08025569301895e-05 0.01869845889691 0.00515150565083097 0.000101107213180931 0.000641990944090966 8.95587730001474e-05 0.0129789006038654 5.14856652027006e-05 0.00771840682870252 0.000521326487518072 7.53491444232459e-05 0.0318198250784226 0.000494264554287314 0.000607849250706625 0.0397748228699394 0.000174079421399778 0.000277543484563499 0.000101234470512758 0.0155004080820031 0.0837985163651235 5.43168321423352e-05 0.0103733001052267 0.00212306600507714 0.00238658678229114 0.000430825052084352 0.000261764679639801 5.68617853870853e-05 7.42063753422558e-05 0.00862618974832462 0.000848172059939103 0.00034492733019416 0.0247186399121186 0.000164573813838919 9.05198737522189e-05 0.0576204821701547 0.000123676160762555 0.00013654470486582 0.00084840655250444 6.29063644271397e-05 0.000540355795623624 0.0241960927337384 8.94354686108808e-05 0.00193594333748845
"DNSBertholdlem" 0.000112219312397814 0.00905427069960477 0.00679562302361196 0.00109905147225308 0.000281811311211593 7.42138879753025e-05 0.000867451097804399 6.99691718258813e-05 5.95025676652694e-05 7.29111403265399e-05 9.93156772007154e-05 0.00614805480474114 5.78243562767727e-05 0.0357367292965101 0.000255543778464249 5.10029302531657e-05 0.00750563446262816 0.0377799313023174 0.000211643199031073 0.15140009342205 0.000352050205967781 0.00229950692279264 7.9511472273824e-06 0.000194865830511243 0.000149286575847134 0.0360530756933419 0.000574314356297348 0.00360326613949541 0.00185881330257269 0.000104284096062351 0.00105737099443471 8.14857555436601e-05 0.00806978627956095 0.00255703130607211 0.00128320190377356 0.000459807796489433 6.08097578456189e-05 0.000240457410740049 0.01346551011776 0.0108666119735902 6.71917128484622e-05 0.157426089068805 0.0279439631493662 0.000115030909010707 6.03139452447995e-05 4.05466510645495e-05 5.89045501182243e-05 7.30646476936154e-05 1.83855857112754e-05 0.0109439674572744 0.0155310676473745 4.73793154908648e-05 0.00207067666263679 0.000688450470584848 0.00774822269834295 8.54679355086442e-05 0.000158043165729341 8.17384879731065e-05 0.00782808956490418 0.00299029651188584 0.000102278331807296 0.00298166465109551 9.05961267547918e-05 0.0211342972183824 5.20820204934133e-05 0.0341489523964574 0.000115723357636413 7.62219089247935e-05 0.0577816858500097 8.95857084292175e-05 9.48124700883649e-05 0.0323692677838209 0.0524617610687849 0.000137782143190765 0.000102407063152964 0.0342539343785757 0.0744771462797101 5.49459806654301e-05 0.00775117764100414 0.00667963109279879 0.000781627042660818 0.00102835338707873 7.4161869851092e-05 0.000470054480334785 7.50659032198843e-05 0.0162795737916123 0.000296829196617246 0.000246548957253147 0.000609660122621969 6.05416448689528e-05 9.15683598777115e-05 0.0415544283900102 0.000125108694119469 0.000138126293776926 0.00219759434363494 6.36350049739391e-05 7.64406342029326e-05 0.0355829346305441 9.04713941383746e-05 0.000152147769175717
"DNSBrentanolem" 0.000112315396232662 0.000877085133946191 0.00837525870195676 0.000110041417788835 0.00016353973034081 7.42774310037111e-05 7.57635090511074e-05 7.00290804655492e-05 5.95535146436679e-05 7.29735679231457e-05 9.94007127522807e-05 0.0246341312385473 5.78738663457618e-05 0.0299083534772528 0.00282539017753996 0.00115001775069359 0.0032323292044806 0.0639712191138685 0.00436442423968622 0.182293918756437 0.0111772977981838 0.00157732864010536 7.95795511722532e-06 6.29609586485195e-05 0.000149414397221123 0.00604739464964762 0.000856159780220334 9.7773778172928e-05 0.000867433559208747 0.00147787854121466 0.0133251086251921 8.1555524852622e-05 0.00628676577113002 0.0118621831712564 0.0263112555610132 9.12959843964605e-05 6.08618240595814e-05 0.00270780141293808 0.00594493796513832 0.00366398674187985 0.0116163002640091 0.0910900928079659 0.00199276364259366 0.000115129400176155 6.03655869366807e-05 4.05813677068217e-05 5.89549850651551e-05 7.31272067254992e-05 1.84013277216596e-05 0.00558397346468671 0.0101290202701227 4.74198823614648e-05 0.000110785680716383 0.000292824775453188 0.00450685576740572 0.000589984252823868 0.0048912574703037 8.18084736753121e-05 0.00523691298772565 0.00877741287169419 0.000102365904027549 0.00707194587680723 9.06736964983148e-05 0.0278902815242979 5.21266138895833e-05 0.0063599311324743 0.00470539028451187 0.000670681796757917 0.0316808483930652 8.96624130376275e-05 9.48936499274043e-05 0.0420351572824815 0.000926425614246088 0.00306079743941747 0.000102494745594899 0.00317790823492525 0.0379853688622017 5.49930262266534e-05 0.00422373098782058 0.0055381611481074 0.141463189128133 6.84190667319099e-05 7.42253683408134e-05 5.75696617743121e-05 7.51301757563456e-05 0.0118055139780695 0.000178570474282041 0.000246760056116477 0.00266211452936533 6.05934815206196e-05 9.16467620616125e-05 0.0533273250637124 0.000125215814033565 0.000138244559552361 0.00120926992546592 6.36894902062745e-05 7.6506083804392e-05 0.0452664383981262 0.0045485085483901 0.0020480096618179
"DNSChamissolem" 0.000102357266907833 0.0029052666221683 0.00143388901465593 0.0029851608100827 0.000462341366288703 6.76918310889957e-05 0.00020825156205403 0.000206196694187999 5.42733694413015e-05 0.000199065768152535 9.05876275852484e-05 0.0253263419743716 0.002543546610203 0.0119874958310191 0.00147574158881119 4.65206962460997e-05 0.00092248784738465 0.0310187490934945 0.00485720866101316 0.11901728698429 7.02581718277425e-05 0.00016812447229974 7.25238536564506e-06 0.00103473167673614 0.000136166989114783 0.0101136632267448 0.00338465732355727 8.91049405933829e-05 0.000100947842314992 0.000406469908366965 0.00468091506737729 7.43246331772332e-05 0.0111958191119311 0.0065621683854547 0.000630106981853678 0.0646487415238741 5.54656812754269e-05 0.00121411654840601 0.0185761134706525 0.0057468064584724 6.12867779981024e-05 0.129883250750316 0.00193382925584805 0.000410562585977203 5.5013441624034e-05 3.69833346556285e-05 0.018014350166233 0.000639411720389488 1.67698256538463e-05 0.031390267445006 0.0197603989838033 4.32155316049089e-05 0.00198077174170692 0.00471221993950197 0.00206344047259636 7.79568516326979e-05 0.000144154033310867 7.45551550026156e-05 0.0300440638215875 0.0147578554003257 9.32899184997252e-05 0.000131506290740426 8.26343677297094e-05 0.0124426137026776 4.75049539944195e-05 0.0409883305599564 0.000262204083553222 6.95233833583142e-05 0.0199841423163074 8.17127468782758e-05 8.64801708338997e-05 0.077404543797576 7.73325855227421e-05 0.00106557786895799 9.34073366911792e-05 0.0212993909024429 0.109063117491457 5.011722392797e-05 0.018181892710107 0.000302117794121112 0.000219948461805964 0.00036248965041446 6.76443844159579e-05 5.24654093177057e-05 6.84689696218897e-05 0.0134064951422658 0.000162738024447532 0.00133177812571788 0.000512117739509629 5.5221130574414e-05 8.35211591663434e-05 0.0606601769146855 0.000114113905377364 0.000125987493747912 0.000185498973706244 5.80426403408052e-05 6.9722886645187e-05 0.0288894507453932 8.25205968516144e-05 0.000777384187044853
"DNSDincklagelem" 9.76835469194255e-05 0.00163400185484751 0.00270823750641669 0.00255810741203962 0.000142234648657109 6.46009644258852e-05 6.58934441707641e-05 6.0906066281511e-05 5.1795201166015e-05 0.00594813959481426 8.64513193529389e-05 0.00961391332749271 5.03343684679158e-05 0.0591878420746511 0.000122973717603997 4.4396521632139e-05 0.000441025625953572 0.00969179603002549 0.000184229059339094 0.138287993933542 0.00903222019977513 0.000160447765696825 6.92123527273013e-06 5.47587415842292e-05 0.00012994948841344 0.000599242146382105 0.000121874330884286 8.50363331119803e-05 9.63384778539518e-05 9.07761790104769e-05 0.00350674571236942 7.09309071213757e-05 0.0202934460073312 0.00027021042997959 0.000313173732278795 0.176025292144154 5.29330710262591e-05 0.000209310966733448 0.010214728573469 0.00408191548132734 5.84883715145381e-05 0.10534660173352 0.0249329348751871 0.000100130957474575 5.25014810225377e-05 3.52946440952054e-05 0.000777527769598092 0.00129480138612206 1.60041011310231e-05 0.00110252863510005 0.0217610068139484 4.12422736235936e-05 9.63531145617968e-05 0.00560044113481848 0.0126096777540504 0.00146625314449233 0.000137571837368676 7.11509031238674e-05 0.0335727856656677 0.000527415401080805 8.90302213626216e-05 0.000898042176839719 0.000774789146668411 0.0217315647858851 4.53358373333425e-05 0.0186366687721945 0.000100733713242483 6.63488864585871e-05 0.0476948455311205 7.79816732581044e-05 8.25314125753266e-05 0.0441731092365707 0.000471596016239225 0.000119935224708223 0.00127544720180197 0.0177156222205058 0.082727417786951 4.78288287967621e-05 0.0231252195688533 0.00299221485201798 0.000209905427701824 5.95057965289556e-05 0.00151706193376278 5.00697940415678e-05 6.53426181514501e-05 0.00944393855769636 0.00170038841832773 0.000214613475338336 0.000538633082515716 5.26996867185471e-05 7.97075119008085e-05 0.0254031301521551 0.000724503767715498 0.000120234797475266 0.00960717900930311 0.0027909847190254 6.65392802554571e-05 0.0154548742931819 7.87526361135852e-05 0.00291615180963031
"DNSDrostelem" 0.000100816457431382 0.00275886615672542 0.000281229036868064 9.87752906931447e-05 0.000434587152173546 6.66728490667993e-05 6.80067812722708e-05 6.28594480055863e-05 5.34563788701349e-05 6.55024765162198e-05 8.92239894259935e-05 0.0131636954553013 5.19486942889867e-05 0.0294108303447604 0.000647616037427154 4.58204085987983e-05 0.00346887589797258 0.0161771150740488 0.000190137660887801 0.12719005681729 0.00250708434521433 0.0055815194956481 7.1432133992978e-06 5.65149660717802e-05 0.000134117233454574 0.00334552498158953 0.000792636272204248 0.00522508755659874 0.0022310586558141 0.000480722375353234 0.00216395732733792 7.32058059303476e-05 0.00567265787167068 0.00209711908054036 0.00113905444336001 0.0106881323870402 5.46307425367447e-05 0.00274913070719561 0.0124864260115152 0.00245257882266663 0.000236964850009046 0.144436161694775 0.00709172481000834 0.000103342361432942 5.4185310561656e-05 3.64266152918782e-05 0.00321861735894705 0.00398044166630101 1.65173852842813e-05 0.0165035647731733 0.015803222720626 4.25649974255754e-05 0.0020181560770946 0.00180380056900408 0.00652638730606108 0.000252360751182265 0.00627191963234062 7.34328576531784e-05 0.0266559421155222 0.0044309435502898 0.000382435732522292 0.000835929242419392 8.13904519753633e-05 0.0332810960030599 0.00449022349355501 0.0543151851850641 0.00629291735534723 6.84768305228435e-05 0.0562626422203582 0.0145635509089088 0.00368338377551902 0.0242691042911158 7.61684788187287e-05 0.000123781791894734 9.20012527472477e-05 0.0258598111876463 0.079683097794616 0.000402564071194017 0.0081857159578995 0.0206827514832054 0.00354231076014569 6.14142687471243e-05 6.66261166203685e-05 5.16756344213577e-05 6.7438289139465e-05 0.0185294567862834 0.00259278460282096 0.000585298710298911 0.0138059834064706 5.43898731184485e-05 8.22638943192511e-05 0.0528963105027548 0.0533790780883439 0.000923692175298556 0.000712508522886659 5.71689099943719e-05 6.86733306369638e-05 0.0233238337706085 8.12783937186815e-05 0.00156451434923241
"DNSEichendorfflem" 9.57860849338482e-05 0.0010829691550838 0.00291382828028645 9.38467649504418e-05 0.000704096591634703 6.33461177490865e-05 6.46134916162575e-05 5.97229914536125e-05 0.000404288292501455 6.2234142508235e-05 8.47720386833855e-05 0.00382800591495541 4.93566444422445e-05 0.00924123601201939 0.00101961227504291 4.35341377942719e-05 0.00750236505589494 0.0039789939202962 0.00247008813152472 0.0867667978759047 0.000426907067301306 0.000905768669702723 6.78679317641605e-06 5.36950759638578e-05 0.00109963181389062 0.0223073844938875 0.000626128315253155 8.33845379575111e-05 0.000476312564719534 8.90128897534804e-05 0.00227768222600194 6.95531039589215e-05 0.0111638012143517 0.00770939353940435 0.00572727488909586 7.78600726956752e-05 0.000454503921431009 0.000587090610319429 0.001328312124562 0.0155181544698795 5.73522593948717e-05 0.112634368644647 0.00284605056892081 9.81859555640263e-05 5.14816617431564e-05 3.46090604163042e-05 5.0278656320873e-05 0.000403212972556413 1.56932281696379e-05 0.0103164330984689 0.0263538940903053 4.04411597321816e-05 9.44814956675342e-05 0.000977696407174786 0.000629827427472088 0.0013735846050064 0.000134899562047752 6.9768826631207e-05 0.00469969569574715 0.0162342954572819 0.000462695839384307 0.00196142070334169 7.73293661009924e-05 0.0399841264177129 4.44552076813983e-05 0.0544891436926959 9.87770030535985e-05 6.50600871283949e-05 0.096369060043022 7.64669119165551e-05 0.246442386803752 0.0103868053088202 7.23679503059163e-05 0.000857447618087564 8.74107267225321e-05 0.0586222157774056 0.036110346342028 4.68997738297941e-05 0.00498468944726324 0.00889087857547989 0.000205828102684551 5.83499213545178e-05 0.00619254382267053 4.90972092633152e-05 0.000894952617806116 0.0198559813287566 0.000152290489015637 0.000210444698467621 0.000186965447535205 5.16760173765364e-05 0.000460004648314392 0.0179777659699336 0.000911986071244769 0.00259710467005089 0.000173590219701424 5.43163904764609e-05 6.52467826055044e-05 0.0205277994203718 7.72228991414748e-05 0.000532466531645006
