"","Topic aus Model 1","Topic aus Model 2","Übereinstimmende Topic Wörter"
"1","1",27,12
"2","2",24,10
"3","3",6,7
"4","4",75,16
"5","5",14,15
"6","6",97,8
"7","7",58,0
"8","8",41,14
"9","9",56,13
"10","10",22,12
"11","11",66,15
"12","12",40,2
"13","13",42,18
"14","14",15,15
"15","15",9,6
"16","16",37,1
"17","17",48,9
"18","18",55,18
"19","19",2,14
"20","20",36,4
"21","21",20,17
"22","22",85,10
"23","23",10,14
"24","24",44,16
"25","25",33,10
"26","26",52,13
"27","27",89,11
"28","28",64,17
"29","29",82,9
"30","30",70,11
"31","31",72,16
"32","32",26,17
"33","33",79,15
"34","34",57,13
"35","35",28,1
"36","36",39,18
"37","37",23,20
"38","38",92,17
"39","39",32,1
"40","40",51,18
"41","41",99,16
"42","42",29,8
"43","43",34,12
"44","44",81,14
"45","45",63,9
"46","46",4,9
"47","47",73,13
"48","48",91,16
"49","49",71,0
"50","50",1,10
"51","51",74,10
"52","52",62,14
"53","53",60,6
"54","54",25,8
"55","55",65,1
"56","56",35,16
"57","57",31,17
"58","58",77,13
"59","59",83,12
"60","60",87,12
"61","61",7,1
"62","62",8,16
"63","63",13,19
"64","64",69,11
"65","65",5,10
"66","66",30,5
"67","67",38,14
"68","68",98,16
"69","69",53,14
"70","70",94,8
"71","71",54,18
"72","72",100,3
"73","73",46,17
"74","74",86,17
"75","75",61,11
"76","76",96,6
"77","77",93,1
"78","78",11,5
"79","79",19,3
"80","80",59,10
"81","81",3,11
"82","82",16,2
"83","83",45,18
"84","84",76,18
"85","85",50,4
"86","86",90,6
"87","87",49,20
"88","88",80,10
"89","89",95,10
"90","90",67,3
"91","91",17,0
"92","92",68,7
"93","93",43,13
"94","94",84,13
"95","95",88,17
"96","96",47,3
"97","97",12,13
"98","98",18,18
"99","99",21,10
"100","100",78,20
