"Text" "Topic1" "Topic2" "Topic3" "Topic4" "Topic5" "Topic6" "Topic7" "Topic8" "Topic9" "Topic10" "Topic11" "Topic12" "Topic13" "Topic14" "Topic15" "Topic16" "Topic17" "Topic18" "Topic19" "Topic20" "Topic21" "Topic22" "Topic23" "Topic24" "Topic25" "Topic26" "Topic27" "Topic28" "Topic29" "Topic30" "Topic31" "Topic32" "Topic33" "Topic34" "Topic35" "Topic36" "Topic37" "Topic38" "Topic39" "Topic40" "Topic41" "Topic42" "Topic43" "Topic44" "Topic45" "Topic46" "Topic47" "Topic48" "Topic49" "Topic50" "Topic51" "Topic52" "Topic53" "Topic54" "Topic55" "Topic56" "Topic57" "Topic58" "Topic59" "Topic60" "Topic61" "Topic62" "Topic63" "Topic64" "Topic65" "Topic66" "Topic67" "Topic68" "Topic69" "Topic70" "Topic71" "Topic72" "Topic73" "Topic74" "Topic75" "Topic76" "Topic77" "Topic78" "Topic79" "Topic80" "Topic81" "Topic82" "Topic83" "Topic84" "Topic85" "Topic86" "Topic87" "Topic88" "Topic89" "Topic90" "Topic91" "Topic92" "Topic93" "Topic94" "Topic95" "Topic96" "Topic97" "Topic98" "Topic99" "Topic100"
"DNSAlexislem" 0.0228046061408915 0.00993036346864829 0.000526635660721653 0.0127850416257325 6.76887304117152e-05 0.118313434773928 0.000549790341258731 0.000470688078604363 0.0176149228926498 0.0662771109835729 7.47333102783041e-05 9.79158170037126e-05 7.10754679231035e-05 5.75767569671347e-05 0.00180108217825627 6.85531332871645e-05 7.65193040869981e-05 0.000421011110640998 0.00693375698298932 9.12346879038505e-05 0.00316745522036599 0.00031105370163341 0.00584916298366374 4.12536541086677e-05 0.000309450310904894 0.0118558700052298 5.40813091385547e-05 0.0207175714035907 0.000876251645595103 0.00210113648434487 7.03366933793219e-05 3.19679327225104e-05 0.0121322222090338 8.15518191834667e-05 5.34889231599907e-05 0.00298467496743362 0.000864201352896369 0.0303587920413391 2.73359767642206e-05 1.39796042304451e-05 4.64755561171022e-05 0.00975708057848435 0.00142898181303656 0.0454258484641695 5.62639777542333e-05 0.00178808532923247 6.83252146773156e-05 3.44401310857564e-05 0.000216568443489986 6.45179842880569e-05 8.23047213677208e-06 5.3583584853898e-05 0.00143734814688433 0.000118541247583856 0.0066663833573082 0.000834664841223551 0.000123251458267088 5.52291145992241e-05 0.00156330084779731 4.79080674948941e-05 0.0168232672386787 0.00066392938776354 0.0147734093483437 0.000312090190317555 4.98977185217743e-05 6.75327457022514e-05 8.60901037767285e-05 0.00162324314182457 0.00122441490425189 4.94997542095842e-05 4.39093763197466e-05 0.00556716263826538 0.000741917067280846 0.00203808626674737 0.000329108651133182 3.95136166663073e-05 0.100727505759626 0.000110650406265427 0.0093585481778288 0.000574191934062802 0.000908003127162247 5.52506827353326e-05 0.00112361781513626 7.20395904295787e-05 0.113945269288382 0.00327523121592444 0.0395723249737544 0.023767457189342 0.000113530186891479 0.207397954542971 0.0216928748879455 0.0077698775141712 0.00129459015522657 0.000671942555534836 6.0948717457256e-05 9.39711781566959e-05 0.000354020055546794 0.0011398959609321 0.000644291224577817 0.000112332395177591
"DNSAndoltlem" 0.00921368102677244 0.0208827731667271 0.00688701346898495 0.0139453619832624 6.65869351198359e-05 0.14857739302371 0.000605395154945362 0.147594673264119 0.0146389335723333 0.0862939518596132 0.000350056472217845 0.000244421079207082 6.99185454125249e-05 5.6639558125286e-05 0.000362002803238763 6.74372677798643e-05 7.52737701780574e-05 0.000898821632352583 0.0152093372083736 8.97496260777958e-05 0.000175223733897931 4.6469849335481e-05 0.005896824136255 4.05821526402064e-05 0.000327663257631078 0.0016499003742277 5.3201007034717e-05 0.00127285603985063 0.00292949460019615 0.00395351871486691 6.91917961838755e-05 3.14475784840642e-05 0.0100325578270117 8.02243691061198e-05 0.000713300971230525 0.001421458204891 0.000784915898215486 0.0291261756620409 2.68910186402531e-05 1.37520528783994e-05 0.000836000009702465 0.0131177749442284 0.000366249213605595 0.0610152641206142 5.53481475205303e-05 0.00148980461615793 0.000486662268987761 3.38795359312722e-05 0.000349301545072806 6.34678004406461e-05 8.09650160142474e-06 5.27113843981509e-05 8.27838406915058e-05 0.000116611706466938 0.0126269156570153 0.00111707293849073 0.00100983969915567 5.43301292279523e-05 0.00141098200530148 4.7128249600721e-05 0.0209785865203919 0.000339341300109436 0.0205884120473488 9.07853584783554e-05 0.000440105779713331 6.64334894330047e-05 0.00097328323421145 0.00542155513556419 0.00297951260146629 4.86940278234402e-05 4.31946466475517e-05 0.000316801593138352 0.00459657597306638 0.000590151964557925 6.57961193346046e-05 3.88704384512151e-05 0.118966188204259 0.000677658381247505 0.00376054250771724 0.0103430365766048 0.000801312802910944 5.435134629128e-05 0.00204407394066558 7.08669745290965e-05 0.0878165080237796 0.00268460969699781 0.0268004602368024 0.0340266094711938 0.000373728595600269 0.00783331673068041 0.0164113700256325 0.00640492008341779 0.00200044535699038 8.5531638442337e-05 5.99566319279214e-05 9.24415734346743e-05 8.55487242143716e-05 0.000681442432752138 0.000984423856465239 0.000247260980325548
"DNSArnimlem" 0.0229667669838479 0.000203542939452288 0.000174553656659217 0.0501249938995541 0.00046476801757549 0.0881213771626913 0.000151718405706854 0.000115699025505286 0.0176399529715598 0.111219636734032 7.86164700043869e-05 0.000103003545029132 7.47685653320591e-05 6.05684582979152e-05 8.97468039154362e-05 7.21151696172316e-05 8.04952644558348e-05 0.000114322967759233 0.0031134490805343 9.59752629482402e-05 0.00018737842897584 0.00846567817482224 0.00304335156240263 4.33972033184106e-05 4.96803880546376e-05 0.01694563198829 5.68913862085869e-05 0.00308941626127853 0.00875394800062485 4.27386302044946e-05 7.39914038956805e-05 3.36289937461944e-05 0.018174722578813 0.00166003793178784 5.62682197204257e-05 0.00166250691396937 0.000142456174656725 0.0202687735747781 2.87563603073643e-05 1.47059876320646e-05 4.88904365377494e-05 0.0133392556393899 7.49102751990843e-05 0.0493375115052847 5.91874667798209e-05 0.000143725751179233 7.18754083048008e-05 3.62296480962459e-05 8.10445447598929e-05 6.78703533623351e-05 8.6581293328623e-06 5.63678000573854e-05 8.85262839016791e-05 0.000124700677653032 0.00458644687168262 8.59550671079375e-05 0.000129655631950033 5.80988319009235e-05 0.000222067444464367 5.03973815311363e-05 0.01643284818982 0.000197656617433739 0.00527310558166631 9.70828407046262e-05 5.24904152759474e-05 7.10417624623306e-05 0.000484125530467704 0.000225024908025749 0.000455929394884009 5.20717726479733e-05 4.6190917456989e-05 0.00307431756493849 0.000190163672856364 0.0123052870606985 7.03601800929928e-05 4.15667531364981e-05 0.0914287245461563 0.00208421065344708 0.0021032088738309 0.145356364868753 9.65653763988492e-05 0.00455189041959156 0.00056384774886093 7.57827838623049e-05 0.136883558887374 0.00492286154623022 0.054830837753641 0.0439101230061331 0.00011942924111228 0.00140753636303931 0.00433063281902911 0.0128869718812235 0.00409319538754814 9.14646873601628e-05 0.00157190260261919 9.88539418543259e-05 0.000823307729152703 0.000120446365165421 0.00192944344673769 0.000118169211869687
"DNSAuerbachlem" 0.0119715628455862 0.000377856412133812 0.00144906477315341 0.0361763225264342 0.000314755337169134 0.0831037343448843 0.000521098861423931 0.000178827860310267 0.00745786105771942 0.0678708263525345 0.000235056471217913 0.00020324586074563 0.00040654912463322 0.000166932861838562 0.00134700997915197 7.84149162553361e-05 8.75270689198682e-05 0.234289075882622 0.00379512084553947 0.000407524595477526 0.0011690262138191 5.40343561357605e-05 0.00340077680392111 0.000134714878723789 5.40203051523594e-05 0.00553957924295298 6.18612326487596e-05 0.00256820400666739 0.00298150852612261 4.64721379169083e-05 0.000367411451973669 0.000121618132139081 0.013657111849311 9.32835417595594e-05 6.11836283632583e-05 0.000658208460341168 0.000327962518651783 0.0160835582173803 3.12684224037579e-05 1.5990654875265e-05 0.00174462295337967 0.0122386487341122 8.14541931687669e-05 0.0571009352244325 6.43578913498964e-05 0.000265402707169323 0.000296907487405434 3.93945523044099e-05 8.81243325645637e-05 7.37992866601522e-05 9.41447534780587e-06 0.000151985861158173 0.000191551352245214 0.000426717961348659 0.0177575861411866 9.34638221717526e-05 0.000767086912587143 0.00138459369845449 0.00209180422550719 5.47999328466945e-05 0.0106070406207173 0.00152991172384731 0.00169066183161317 0.000105563681872896 0.000145114877386964 0.00026197805417639 0.000229764641380031 0.000521581796509306 0.000317438375505227 0.0211245239301726 0.0013584919624983 0.00485886577371671 0.000400111393308972 0.000389351783312591 0.000917410896239368 0.000101389702539821 0.11987725322545 0.000271340502301711 0.0188798504986661 0.000685086576432709 0.000105001013568599 0.000145911174777535 0.000253158381711458 0.000183458003267679 0.131696950053544 0.00630300211311013 0.0392646234005406 0.022704500471562 0.000287813567946114 8.30467472074414e-05 0.0123313815686354 0.00748421441306994 0.00013142035351359 9.94547449272572e-05 6.97165592017618e-05 0.000248938117135945 0.000375906554646248 0.00050860141279853 0.000532863106945135 0.000128492089832185
"DNSBertholdlem" 0.0475156069340214 0.000223909460979181 0.00168149929836103 0.0393034334241025 0.000336658502377055 0.0678918344961221 0.00429339434187874 0.000479922421187876 0.00927829608291166 0.0455507206418204 8.64828397886751e-05 0.00109489293153245 8.22499134911646e-05 6.66289427003445e-05 9.87268757313983e-05 7.93310188055017e-05 8.85496265514406e-05 0.000384089919727879 0.00561094296118285 0.000396483342776661 0.00142616914480063 5.46656264835007e-05 0.0316029640446524 4.77395306817164e-05 5.46514113458501e-05 0.00377510399001279 6.25839425066823e-05 0.00819362262800079 0.00691698813387603 4.70150606934716e-05 8.13949892241692e-05 3.69939133395865e-05 0.0294006297446131 9.43733508746536e-05 6.18984219337755e-05 0.00100302874659589 0.000156710349994824 0.00741251528345836 3.16337238396539e-05 1.61774698386624e-05 5.37824172219464e-05 0.0287084873915939 8.24058028579312e-05 0.0511766754271118 6.51097690691423e-05 0.000158106960437769 7.90672669584737e-05 3.98547893556258e-05 8.91538678832161e-05 7.466146592321e-05 9.52446239219054e-06 6.20079662865925e-05 0.000622846735199652 0.00247239147638548 0.00334553958601604 9.45557374594124e-05 0.000261604344073779 6.39122053040076e-05 0.00759926181931588 5.54401472424645e-05 0.0106134760842904 0.000464375119672803 0.0060642680992088 0.000106796956902531 0.000303138321146637 7.81502064515491e-05 9.96251420496046e-05 0.000247540916911765 0.000395727084969311 0.00032998077843024 5.08127840629551e-05 0.00254810962240398 0.000209191463981342 0.000429064934099208 0.000513757606813794 4.572592551966e-05 0.158480588160714 0.000365997521711749 0.0130272807414566 0.000217379645704961 0.000106227715080171 6.3937164370489e-05 0.000256115970014256 8.33656148023155e-05 0.16084465397586 0.00783678664023817 0.0495452952439456 0.0435411164564888 0.000131379339782364 8.40169623212593e-05 0.0157398476951361 0.0187926371239146 0.0925527357327265 0.00180262810174116 7.05310409448212e-05 0.000108745274563837 0.000100636749869386 0.00256712774812611 0.000916331980745761 0.000129993231920868
"DNSBrentanolem" 0.0117460036995208 0.00299626456860811 0.000192177319336979 0.0452354105872754 0.00377005679048378 0.0411245589107983 0.000167036526537778 0.000127380480002866 0.00501286779211644 0.0700633257162812 8.65539155715036e-05 0.00310280766582376 8.23175104503213e-05 0.00535158451480594 0.00593392590539333 7.93962168757542e-05 8.8622400919647e-05 0.000125865489747431 0.0108528491495413 0.000105665324399726 0.17670404103906 5.47105533407318e-05 0.00704861970272755 4.77787653382489e-05 5.46963265203931e-05 0.00693360859447182 6.26353770192055e-05 0.00461994591810456 0.00646860232101536 4.70536999455091e-05 0.000841889650717464 3.70243167277838e-05 0.0040299729229254 0.00161530644576588 0.000592432462176 0.00017034110597233 0.000156839142143999 0.0072742822132324 3.1659721964729e-05 1.61907652662383e-05 5.38266182150659e-05 0.00862173121436086 8.24735279345134e-05 0.0567245094356298 0.0053377506951967 0.000158236900388991 7.91322482646948e-05 3.9887543950177e-05 0.000935454177684857 7.47228263289342e-05 9.53229005629361e-06 6.20589274339853e-05 9.74642654682578e-05 0.00184663095393162 0.0196841228140258 9.46334479402115e-05 0.000142746203442445 6.39647314471752e-05 0.00106381385317466 5.54857106383359e-05 0.00753266479556083 0.000217612851054674 0.0028319362974341 0.000106884727809848 5.77900657693482e-05 7.82144340730671e-05 9.97070188124153e-05 0.0110207849078252 0.00068997583691332 5.73291552416398e-05 5.08545444678376e-05 0.00478172808791252 0.000209363387649665 0.000200974229477757 7.74640363148442e-05 4.57635052980276e-05 0.081340297984317 0.00408873489752988 0.00681250903703405 0.0169899844898427 0.00461952589196324 0.00413587316612713 0.00391546389446963 8.3434128698801e-05 0.184055022198786 0.000590066856913448 0.0611141560639876 0.0352473311132728 0.000131487313681525 8.40860115266559e-05 0.0174666048405925 0.0270896795289499 0.0001330649752335 0.000100699342352865 7.0589006767418e-05 0.000379459809785812 0.00207524921531068 0.00098710411794048 0.00201994825221243 0.000130100066649511
"DNSChamissolem" 0.0485630956173837 0.000639633336035445 0.00237993321031882 0.0111042674218357 0.0029535896209483 0.115074931691571 0.000152156631289007 0.00111732878491677 0.0135910646040437 0.110321872623681 7.88435469247775e-05 0.00106603729357779 0.00203510759671096 6.07434050868302e-05 9.00060298492244e-05 7.23234680899208e-05 8.07277681126084e-05 0.000114653179831172 0.00639378061118773 0.00471306378319503 0.000187919655471981 4.98368450591587e-05 0.0443156663511775 0.000309754847893344 4.98238855879487e-05 0.0152152365244032 5.70557120906353e-05 0.0010803913974961 0.00159564685646512 4.28620770665581e-05 0.000500811927107963 3.37261282058731e-05 0.00250274762532416 0.000240543159134388 5.64307456396035e-05 0.00477239162035842 0.000142867647080122 0.0267439122319869 2.8839420583918e-05 1.47484646140838e-05 0.0224567416177996 0.0181432154014073 7.51266470941448e-05 0.0669127567724594 0.00305043088175516 0.000871706059796614 7.20830142475347e-05 3.63342943226165e-05 0.000484925632859679 6.80663910479051e-05 8.6831375957001e-06 5.65306136058125e-05 0.000403631716790545 0.000277680505702688 0.00290199039244764 8.62033409356704e-05 0.00359337718665063 5.82666453861336e-05 0.00288697353555717 5.0542950038514e-05 0.0349895696802013 0.000338043934894193 0.0331968087410853 0.000397112817412474 5.26420293315037e-05 0.00221250677464958 9.08249495653611e-05 0.00129060405506678 0.00100141493405611 5.22221774902605e-05 4.63243359542271e-05 0.00094543460681649 0.00160838094465142 0.00206747335093095 7.05634094291962e-05 4.16868151323159e-05 0.130306253561609 0.00011673603733256 0.0255968103371634 0.000198177838962163 9.6844297193535e-05 5.82893997421901e-05 0.00497717843427056 7.600167592369e-05 0.106661521356581 0.00146620368600558 0.0448496338280916 0.0244368624038549 0.000119774202216166 0.00074223065015769 0.0123829749374498 0.0258893036010334 0.000121211323018654 9.17288752527135e-05 6.43008190986186e-05 9.91394729737402e-05 0.000810940211540877 0.000120794264144763 0.00115732461139107 0.000118510533487344
"DNSDincklagelem" 0.0248790759381094 0.000194771748227047 0.00126108818778108 0.062320884068912 0.00400040533592006 0.0902994345838 0.000145180467557663 0.000110713255524702 0.014245164390612 0.0680146520153139 7.52286831633525e-05 9.8564856107967e-05 7.15465946465165e-05 5.79584069181983e-05 8.5879382224884e-05 6.90075406095366e-05 7.70265155069969e-05 0.000109396495662723 0.00368500243640077 9.18394408633422e-05 0.000179303808276861 4.75518970549804e-05 0.0048095943456331 4.15271056870669e-05 4.75395317569739e-05 0.0047215657368936 5.44397893669213e-05 0.00338319006787612 0.0136395923467362 4.08969121904125e-05 0.00255281073152712 3.21798335068167e-05 0.0152327230409375 8.20923888410854e-05 5.38434767330256e-05 0.00170019168351844 0.000136317369977511 0.0249428285083886 2.7517174433973e-05 1.40722686240559e-05 4.67836212922191e-05 0.0309942247081932 0.00181865808372801 0.0317891453381681 5.66369258931639e-05 0.000137532237167022 6.87781112316125e-05 3.4668418940715e-05 7.75521259033878e-05 6.49456444558624e-05 8.28502816690804e-06 5.39387658959456e-05 0.00796170194257551 0.000119327003220722 0.00136221387661312 8.22510411544413e-05 0.00125525230695975 5.55952031042803e-05 0.0139662396803182 4.82256281318264e-05 0.0188108804571398 0.00549613253892365 0.00177017782144028 0.0016374970483343 5.02284676440788e-05 0.00281621601572584 0.0021632418578744 0.00021532800326429 0.000119519297122601 0.205821107403705 4.42004314643292e-05 0.00032417829967584 0.000181969028801376 0.0013736758033484 6.73281781188702e-05 3.97755343334598e-05 0.105003891785223 0.000111383857129297 0.00830739987258223 0.000189091668738678 9.24041248004844e-05 5.56169142056846e-05 0.000222787170360706 7.25171078795071e-05 0.140064822845309 0.00698667689623338 0.0120614660581776 0.0303629537151155 0.000114282726502144 0.000690922797696972 0.00783173687534898 0.00536214971508171 0.000115653957373085 8.75232376328881e-05 0.00086068488195525 0.00653755859946686 0.00194105803096867 0.00011525602005154 0.000133073907138042 0.000113076995175588
"DNSDrostelem" 0.0586151513610473 0.000201048088794982 0.000172414131180106 0.0442552785112326 0.0002219954013676 0.0887009372736362 0.000711530686723519 0.000114280888425178 0.00693297343883643 0.0351844538258796 7.76528583340765e-05 0.000456565149317795 0.000733541439294974 5.98260633103849e-05 0.000973641833237485 7.12312451794427e-05 7.95086241725705e-05 0.000635971160865552 0.00134438762726475 0.00158262313755934 0.00201533014709598 4.908421323166e-05 0.00430225378954965 4.28652784994239e-05 0.0019069604672571 0.00524860807399718 5.6194061542551e-05 0.0160276889596551 0.00681093435549338 0.000335272451729563 0.136149284282063 3.32167990644335e-05 0.0102649908199785 0.00120151645969321 5.55785332821111e-05 0.00109504725902631 0.000529694407955968 0.0191217380746008 2.84038900885122e-05 1.45257345463574e-05 4.82911804885816e-05 0.0244699534133238 7.39920908109532e-05 0.0571686907536606 5.84619987739189e-05 0.000311438515343299 7.09944226506883e-05 3.57855768766296e-05 8.00511718808859e-05 6.70384581555879e-05 8.55200558464851e-06 5.5676893050724e-05 8.74412064326436e-05 0.00266493522767874 0.0194548972559375 8.49015053570359e-05 0.000561367321697222 5.73867074256322e-05 0.00662176061760576 4.97796546732174e-05 0.00921982198034301 0.000597115104874077 0.00979150470212043 9.58928844742759e-05 5.18470338479016e-05 7.01709949070804e-05 0.00113555224620059 0.00097604574403733 0.000123370696619757 5.14335225737264e-05 0.000478925644399058 0.00833584212320284 0.000407729253968362 0.00133862671403259 0.000526773349651239 4.10572643688518e-05 0.134094118644664 0.000114973099550117 0.0110292859796503 0.0011218412395382 9.53817627916667e-05 5.74091181473241e-05 0.000408423141013403 7.48539050289733e-05 0.135222862916376 0.00743784803134275 0.0534746441226957 0.0479722949368265 0.000734028334677429 7.5438749337259e-05 0.00409811191318465 0.00601886525345558 0.00113622736930303 9.03435935212175e-05 6.33297535560384e-05 9.76422770209685e-05 0.00212665674264354 0.000118970039363545 0.000137362091484627 0.00251178094378776
"DNSEichendorfflem" 0.0913334530366703 0.000900922554285774 0.00180182465224549 0.0103078264482847 6.68073527275545e-05 0.0326562632748521 0.000142346516979361 0.00010855211153751 0.00870257036907707 0.0169932993675057 7.37602048360523e-05 0.287611342117848 7.01499913934408e-05 5.6827047696352e-05 0.000794155788158002 6.76605001783576e-05 7.55229431474507e-05 0.000107261055080645 0.00373863362017384 0.00106991735151626 0.000175803763541461 4.66236749020601e-05 0.0144572735440738 4.07164886174507e-05 4.66115509770428e-05 0.0143966577906399 5.33771142346912e-05 0.0131575259077631 0.001730492633916 4.0098596618748e-05 6.94208364627404e-05 3.15516769833498e-05 0.00891725901637087 0.000441228742977161 5.27924417378064e-05 0.000145162639789983 0.00212833456704843 0.00566772255144263 2.69800339100975e-05 1.37975752408752e-05 4.58703960295748e-05 0.0356793170905879 7.02829476151903e-05 0.0220673182898055 5.55313622344405e-05 0.000689397068909361 6.74355493059046e-05 3.39916847521655e-05 0.000671964841625271 6.36778930168417e-05 8.12330282768128e-06 5.28858708379858e-05 8.30578736694488e-05 0.000116997717226033 0.00110621518467302 8.06454850519784e-05 0.000970311549602451 5.45099740742412e-05 0.000377721585712066 4.72842546190368e-05 0.0113491802717871 0.000185447051849318 0.00513892285140661 9.10858782649422e-05 4.92479983197832e-05 6.66533991012733e-05 8.49691210690553e-05 0.000608409124729949 0.000117186257514058 4.8855215916926e-05 4.33376305626872e-05 0.0142211924626759 0.000178416958450039 0.00191673949172032 6.60139191656797e-05 3.89991082726894e-05 0.110900461937483 0.000109209622870134 0.00105765988071108 0.00686655869304733 0.000665954788603982 5.4531261370781e-05 0.00502813865752691 7.11015600219391e-05 0.11393529568425 0.00148420209657363 0.040246647822431 0.0748973000685124 0.000112051905756701 7.16570867198846e-05 0.02299045076984 0.00398819113949763 0.000113396369937983 0.000692589103409703 6.01551017531602e-05 9.27475756621916e-05 0.00134162256968828 0.000113006200429295 0.000130476278941666 0.000110869710536948
