"word" "word.freq" "doc.freq"
"1" "herr" 5815 2447
"2" "willibald" 1 1
"3" "sarmaten" 2 2
"4" "feiern" 115 109
"5" "abgang" 14 14
"6" "senior" 14 8
"7" "akademie" 18 14
"8" "königsberg" 14 11
"9" "straße" 803 631
"10" "fenster" 1270 896
"11" "zuschauer" 62 58
"12" "reich" 919 751
"13" "comitates" 1 1
"14" "landsmannschaft" 6 5
"15" "prinz" 387 178
"16" "polen" 52 34
"17" "kurland" 35 22
"18" "liefländer" 1 1
"19" "esthländer" 1 1
"20" "wetteifern" 12 12
"21" "pracht" 87 80
"22" "kleidung" 89 87
"23" "pferd" 983 598
"24" "geschirr" 40 39
"25" "wagen" 1414 1012
"26" "dienerschaft" 55 52
"27" "goldbesä'te" 1 1
"28" "livréen" 1 1
"29" "ausgewählt" 4 4
"30" "phantastisch" 53 51
"31" "ordenstrachten" 1 1
"32" "überstrahlen" 7 7
"33" "gezogen" 18 17
"34" "hieber" 5 5
"35" "federbüsche" 3 3
"36" "deutsch" 398 316
"37" "hut" 429 371
"38" "hüten" 159 148
"39" "sarmatischen" 4 3
"40" "mütze" 88 78
"41" "stolz" 682 598
"42" "reiherbüsche" 1 1
"43" "kopf" 2370 1813
"44" "köpfen" 55 54
"45" "blinken" 30 29
"46" "wette" 55 47
"47" "standarte" 4 4
"48" "fähnlein" 2 2
"49" "schein" 266 245
"50" "hell" 626 568
"51" "nachmittagssonne" 8 8
"52" "held" 123 110
"53" "tag" 3957 2585
"54" "schwarzsammtenen" 1 1
"55" "rocke" 16 16
"56" "goldschnüren" 1 1
"57" "strotzend" 7 7
"58" "zurücklehnen" 24 24
"59" "prächtig" 223 205
"60" "carosse" 2 2
"61" "erwählt" 4 4
"62" "marschälle" 1 1
"63" "blinkend" 18 18
"64" "waffe" 178 154
"65" "faust" 229 211
"66" "schimmel" 22 22
"67" "schimmeln" 5 5
"68" "ehrenwache" 6 4
"69" "reiten" 441 305
"70" "dunkel" 1082 892
"71" "auge" 4737 3031
"72" "blass" 349 326
"73" "jüngling" 373 274
"74" "flüchtig" 234 226
"75" "wiederschein" 15 15
"76" "jugendrausches" 1 1
"77" "spiegeln" 45 45
"78" "liegen" 3001 2209
"79" "bleiern" 18 18
"80" "gefühl" 776 648
"81" "sättigung" 6 6
"82" "aufgeworfen" 8 8
"83" "lippe" 830 718
