"","Topic aus Model 1","Topic aus Model 2","Übereinstimmende Topic Wörter"
"1","1",13,0
"2","2",43,10
"3","3",61,11
"4","4",22,5
"5","5",84,11
"6","6",45,17
"7","7",57,18
"8","8",14,19
"9","9",83,8
"10","10",23,18
"11","11",65,11
"12","12",60,19
"13","13",44,17
"14","14",9,17
"15","15",39,17
"16","16",31,3
"17","17",38,4
"18","18",51,20
"19","19",79,17
"20","20",87,10
"21","21",49,11
"22","22",77,14
"23","23",2,11
"24","24",100,9
"25","25",74,11
"26","26",66,14
"27","27",19,15
"28","28",20,15
"29","29",90,15
"30","30",95,9
"31","31",21,16
"32","32",18,17
"33","33",15,2
"34","34",75,11
"35","35",8,8
"36","36",88,16
"37","37",36,1
"38","38",17,10
"39","39",82,15
"40","40",24,10
"41","41",70,8
"42","42",12,2
"43","43",5,17
"44","44",26,7
"45","45",16,16
"46","46",27,17
"47","47",78,10
"48","48",10,12
"49","49",85,17
"50","50",99,17
"51","51",29,17
"52","52",89,14
"53","53",35,0
"54","54",69,10
"55","55",62,16
"56","56",34,11
"57","57",63,11
"58","58",73,14
"59","59",96,8
"60","60",64,2
"61","61",42,15
"62","62",98,13
"63","63",58,18
"64","64",67,2
"65","65",56,14
"66","66",7,13
"67","67",81,17
"68","68",1,14
"69","69",6,11
"70","70",46,12
"71","71",55,15
"72","72",72,9
"73","73",47,14
"74","74",86,14
"75","75",48,17
"76","76",94,16
"77","77",28,11
"78","78",4,16
"79","79",68,1
"80","80",80,13
"81","81",53,2
"82","82",52,19
"83","83",76,9
"84","84",92,14
"85","85",50,10
"86","86",71,0
"87","87",54,11
"88","88",32,18
"89","89",37,13
"90","90",33,15
"91","91",11,16
"92","92",97,11
"93","93",41,12
"94","94",30,17
"95","95",40,20
"96","96",3,1
"97","97",25,18
"98","98",91,17
"99","99",59,15
"100","100",93,4
"101",NA,12.05,NA
