"Text" "Topic1" "Topic2" "Topic3" "Topic4" "Topic5" "Topic6" "Topic7" "Topic8" "Topic9" "Topic10" "Topic11" "Topic12" "Topic13" "Topic14" "Topic15" "Topic16" "Topic17" "Topic18" "Topic19" "Topic20" "Topic21" "Topic22" "Topic23" "Topic24" "Topic25" "Topic26" "Topic27" "Topic28" "Topic29" "Topic30" "Topic31" "Topic32" "Topic33" "Topic34" "Topic35" "Topic36" "Topic37" "Topic38" "Topic39" "Topic40" "Topic41" "Topic42" "Topic43" "Topic44" "Topic45" "Topic46" "Topic47" "Topic48" "Topic49" "Topic50" "Topic51" "Topic52" "Topic53" "Topic54" "Topic55" "Topic56" "Topic57" "Topic58" "Topic59" "Topic60" "Topic61" "Topic62" "Topic63" "Topic64" "Topic65" "Topic66" "Topic67" "Topic68" "Topic69" "Topic70" "Topic71" "Topic72" "Topic73" "Topic74" "Topic75" "Topic76" "Topic77" "Topic78" "Topic79" "Topic80" "Topic81" "Topic82" "Topic83" "Topic84" "Topic85" "Topic86" "Topic87" "Topic88" "Topic89" "Topic90" "Topic91" "Topic92" "Topic93" "Topic94" "Topic95" "Topic96" "Topic97" "Topic98" "Topic99" "Topic100"
"DNSAlexislem" 0.000626593754647297 0.000340089708593392 0.00035751563340882 0.00414236026066009 0.00650179552352011 0.0017847851829327 5.35885186511995e-05 0.0192905399527078 5.17840652557892e-05 6.51078358135158e-05 0.00583092508353442 9.61229133611256e-05 5.81083108868219e-05 0.000572001706190773 3.4763746134936e-05 0.0120130239697814 0.00240561314164277 0.000238165728614158 0.000960251519460618 5.58565163702755e-05 0.00060990091516663 6.50306534187998e-05 0.000788552938434109 8.26466375455104e-05 0.00101207143340127 0.000394477938084296 0.000896532029981265 0.0347544756774832 0.000365207062302346 0.00685531251616575 0.0470098657262155 0.0072577945214424 4.01251858447566e-05 0.00067990982310222 0.000310989439675714 0.00069292817714635 0.0134927697549508 7.82250488542755e-05 0.00139796344690957 0.000465892903086868 9.54955245593196e-05 0.000109823979389376 0.00634328627846127 0.00101692489685091 0.128151709118564 0.060434711191121 0.00308240390734223 0.0278723243153069 3.86383907216662e-05 3.25741865949959e-05 0.000111602782655021 0.000116441120732489 0.000321056931257228 0.000499340874280604 7.406095386687e-05 0.111021144203671 7.65223620280369e-05 0.000481995785610284 0.0103574334877915 0.00087517857944148 0.000981780431569861 0.000242099731804656 0.00251505712778444 0.0987789105119029 0.216526915552281 5.80460037205518e-05 0.00194261749370099 0.000240358164042432 0.0256809839568816 4.45980431598367e-05 0.000111951030333663 0.000501062330296914 0.0161078617999635 0.0282943617957224 0.00201307153454326 0.00148092155172577 0.000359146113456867 0.000105746716711471 0.00193058345326407 0.000910147939138009 0.000106094808430317 0.00103425310404245 7.94788116914404e-05 0.00204069238290455 4.88733838474302e-05 5.24336018236603e-05 8.76982012040955e-05 0.0500810480355764 0.000692380724039285 0.000557055577810902 9.65474986392515e-05 0.000756960928222493 0.00381047387528045 0.000194840489747873 9.27762352987284e-05 0.000382528422816552 0.00670927458905622 0.000282689518564493 1.66909658867729e-05 0.010208653791487
"DNSAndoltlem" 0.00104337893105232 8.28656244495771e-05 0.000491917203553267 8.31196922777505e-05 0.00286830171324715 0.000458681351994394 5.27168137370451e-05 0.0306644100417398 5.09417127277752e-05 0.000592029127308916 8.78068123220364e-05 0.00810876069864647 5.71630841586313e-05 0.00317996718412907 3.41982569386871e-05 0.00805351956147946 0.000557761846847993 0.000941337023686593 6.30158045201426e-05 5.49479187633062e-05 0.00011426340849267 0.000372740647424289 0.000391350336240812 8.13022547952486e-05 0.000348264710078141 0.0014214987294583 4.99846435311766e-05 0.00999162824755672 0.000259927483111124 0.00738971058110524 0.0564950587494455 0.000112041012243383 3.94724840615651e-05 0.00707927747194051 0.000932109486201747 0.000175292862044867 0.0136093986476886 7.69525904767624e-05 0.00036676868396859 0.00598822961624127 9.39421336440019e-05 0.000108037512718244 0.0157711342395575 0.000120988076795675 0.104736910371122 0.0773828874844334 0.00138798026880264 0.000195616932868077 0.000538174999898581 3.20443141662718e-05 0.000767910827758168 0.000954503966699691 0.000651049620431886 5.23926028699498e-05 7.28562313058133e-05 0.105942436859731 0.000351621504382284 7.30115189414452e-05 0.0304821346886624 7.69092584702213e-05 0.000812192231458683 0.000517594268148358 0.00181221104628752 0.141723311260413 0.000821611537659927 5.71017905203406e-05 0.00058366223402156 0.000362756729545757 0.0245597829364785 0.000339846208475516 0.000891648726846736 0.000108561556888967 0.0195678434177898 0.0214338560416598 0.00541987794514237 0.000198484927930416 6.2916242369697e-05 0.000975585326370189 0.00012731979308764 0.00113682071830237 0.000104369002824886 0.00019484476466203 7.81859588105179e-05 0.00352098385990961 4.80783783137178e-05 5.15806835208799e-05 0.186982841169309 0.0585858642464508 0.000356117186764197 0.000100175134979565 9.497699564474e-05 6.3294036670961e-05 0.000804706216428326 0.00143019174060131 9.1267078071356e-05 0.00037560117795389 0.0149549025220799 0.000477604835949965 1.64194600241051e-05 0.00754035414868756
"DNSArnimlem" 0.000119032456553033 8.86097083859084e-05 0.00414857594761256 8.88813877018397e-05 0.00160117966887383 0.0125045953371572 5.63710407458066e-05 0.0374419897707193 5.44728931866501e-05 6.84884851810105e-05 9.38934097924551e-05 0.000101113984899532 0.00091184777600214 9.61496400101197e-05 3.65688136036112e-05 0.0492263094443855 0.00151832588485252 0.173754392772146 6.73839375413255e-05 5.87568016336114e-05 0.000122183925758941 6.84072951793665e-05 0.000114580431230782 8.69379689874595e-05 8.63908339257751e-05 0.000175423390496339 5.34494818145757e-05 0.028666886260232 0.00011970017996946 0.00884177593446973 0.0132887174754624 0.000119807477323594 4.22086398937472e-05 8.32726126264432e-05 0.00909941173736954 0.000187443822346121 0.00598770687869437 8.2286794397299e-05 9.33899611075162e-05 7.66439274018677e-05 0.000100454019656972 0.003222870600223 0.0305174501876406 0.000503774262208001 0.150981700318297 0.0809284713034915 0.000126609656322006 0.00020917671823415 0.00333138898947742 3.42655637070296e-05 0.000117397628573015 0.000122487191781174 0.000101895529615158 5.60243562119039e-05 7.79064835748951e-05 0.0983520842999077 8.04956975191789e-05 7.80725354474378e-05 0.00968367410946135 0.000835552145765869 7.60044834493893e-05 0.000254670481468957 0.00017724409061596 0.0902490349822786 0.00243777982688383 6.1059975592164e-05 0.000204086070781325 0.000115025175490894 0.0455800575011301 4.69137451719823e-05 0.000779370757104109 0.000116086832890579 0.0176230020091017 0.00812158611002751 0.000675687086537411 0.00021224351713676 6.72774739362316e-05 0.000111237493151794 0.000136145353543011 8.9633664667102e-05 0.000111603659132124 0.000208351024829712 8.36056574253932e-05 0.00976535653237279 5.14110779993966e-05 5.51561561925129e-05 9.22518292693907e-05 0.0746285554684235 0.000113384737779835 0.000107119080523668 0.000101560616279083 6.76814562037548e-05 0.000116755894861333 0.000204957357713123 9.75935344342663e-05 0.000110957252015932 0.0043598845000741 8.84655037340422e-05 1.75576250617087e-05 0.0135883286179274
"DNSAuerbachlem" 0.000129421847277112 0.000240075469315071 0.000820722172374567 9.66391328721354e-05 0.0302934213144455 0.000534845864837822 0.00019641285173651 0.0273940143786527 5.92273961816796e-05 0.000179672874815467 0.005588333104786 0.00022275861691263 6.64606753707358e-05 0.00124711500210126 3.97606127468528e-05 0.0326915580351127 0.00188121006707651 0.000209879376014621 0.000564536813235754 0.0366826056959273 0.00013284838301431 0.000496400175550811 0.000124581240286248 0.000406277274724377 9.39311985845014e-05 0.00347842116346305 5.8114659419507e-05 0.0154341183017214 0.000332821952539749 0.00854725891311836 0.0220974028463332 0.00181741318715407 4.58926943481951e-05 9.05408126976187e-05 0.00259399775055796 0.00310666882373412 0.00620806431301402 0.00177293616613561 0.00217805836762647 0.000173957524931306 0.00040811269014747 0.000216233805949719 0.00154831705507255 0.000140666820448891 0.142245629071078 0.0650705101241578 0.000240002927466954 0.00200860908909297 0.00112686327813388 0.00154947468378546 0.00046246215817454 0.000706907162938321 0.000347327560267097 6.09142740007642e-05 0.00268541823173663 0.118065884092774 8.75215228894332e-05 0.000298285999965527 0.00347378569266299 8.941857031382e-05 0.000809122435825158 0.00190134167479686 0.000379059240938315 0.0790948995114344 0.000240888031095994 0.000941003885244178 0.00823962693298503 0.000658224472722876 0.0251911816621753 0.000938683965979101 0.000354602538183848 0.00118497547646622 0.0114389937703041 0.0114695194111029 0.000374985824853989 0.000518366262026874 7.31495863322411e-05 0.001634792188936 0.000148028392120778 0.00018863048844113 0.000580191634070473 0.00059798633250289 9.09029263122945e-05 0.00377506892553417 0.00028110106278306 5.99702957483661e-05 0.0011455830132987 0.051435068317947 0.000123281184321011 0.000116468647976043 0.000347197378818255 0.00172609388703734 0.000221561936796055 0.226065489453275 0.000444808206841046 0.000309753985114824 0.00387110244999282 9.61869497203805e-05 1.90900896703988e-05 0.0137522957084694
"DNSBertholdlem" 0.000269079369306575 9.74677220412261e-05 0.000619554897432181 9.77665602219616e-05 0.0077843877486869 0.000535108357109937 6.20062635423443e-05 0.0423718546976884 5.99183645743965e-05 7.53350480240263e-05 0.00547207077298807 0.000111222008899372 6.72360298350606e-05 0.000855420998602754 4.02244745482202e-05 0.0428240976686433 0.000145933256322965 0.00632532731214274 7.41200824825842e-05 6.46305208986226e-05 0.138707763651523 0.000279564372619932 0.00012603465044629 9.56288644941078e-05 9.50270341858642e-05 0.00177344579425372 5.87926462195549e-05 0.0569529980883993 0.000131666203196798 0.0221168324529054 0.00876986991960046 0.000131784226705497 4.64280952487167e-05 9.15970948214023e-05 0.000130054406343332 0.000354800556595169 0.0149143750926086 9.05127276691832e-05 0.000102725840503002 8.43057622943398e-05 0.000110496069157662 0.00110940729387731 0.00184407602355472 0.000767024227022108 0.193830005329154 0.0575377363829408 0.00013926639659375 0.00483236764259129 4.47077526724296e-05 3.76909765286375e-05 0.000686087610709075 0.000134731823178378 0.000330026553398222 0.000184224535923949 0.000470328036467659 0.163383340971828 8.85425808777592e-05 8.58771834673456e-05 0.00605456414612777 9.04617599488879e-05 8.36023952868594e-05 0.00521864956279913 0.000194962584487566 0.074442619910245 9.25094124756712e-05 6.71639353889076e-05 0.000500783146036239 0.00324612560604749 0.0233885926582969 5.16035540306875e-05 0.00172691496544486 0.00012769164199873 0.0125843754232215 0.0133160374865598 0.000379360546172079 0.000233460785620053 7.40029760700046e-05 0.000408741440920663 0.000519868347968285 9.85940397779135e-05 0.000122760300481967 0.000229179173986949 9.19634329855002e-05 0.00904868435362197 0.000353787685253558 6.06699310782208e-05 0.000453849959079985 0.0409737527176735 0.00234709014354766 0.000375937472220991 0.000111713288511392 7.44473430821275e-05 0.000651533670954303 0.000721322285347281 0.00010734963087603 0.000122049274226784 0.00592928895137916 9.73091017367339e-05 1.93128016149846e-05 0.0165844051328471
"DNSBrentanolem" 0.000131040078039984 9.7548378301479e-05 0.000795028752155556 9.78474637760835e-05 0.00160630546563016 0.000211009292971787 6.20575748198097e-05 0.04124422996351 5.99679480786154e-05 7.53973891058977e-05 0.000103365082960896 0.000111314047074758 6.72916688364364e-05 0.000105848914617913 4.02577610108536e-05 0.0473259962236501 0.00176934964535025 0.000121296188984224 7.41814181590264e-05 6.46840037953673e-05 0.000134509457591087 7.53080089111206e-05 0.000126138946343992 9.57079990672854e-05 9.51056707338397e-05 0.000748929964881576 5.88412981719668e-05 0.0102038127807413 0.000131775159303796 0.00727202688289463 0.01507810454548 0.000131893280479032 4.64665153169711e-05 9.16728930340168e-05 0.000130162028659986 0.000766051561860138 0.00535370134909191 9.05876285488405e-05 0.000102810847949085 8.43755268005991e-05 0.000110587506605098 0.000127180410832515 0.0124718442983394 0.000142425653141785 0.150116448457232 0.0569964652709727 0.000139381641994924 0.00149662980641082 4.47447491268388e-05 3.77221664769447e-05 0.00012924033373253 0.00447614104827258 0.00011217443157402 6.16759178357112e-05 8.57654456868792e-05 0.0932759303917352 8.86158514261744e-05 8.59482483523605e-05 0.00295460454299966 9.05366186518571e-05 8.36715777445059e-05 0.000280360842181762 0.00438505404967236 0.0423295957104888 9.25859656472465e-05 6.72195147308567e-05 0.0028258596379315 0.000126628555012423 0.0542345160063863 0.000879609492633224 0.000129643617997837 0.00626146958144212 0.00359626639689963 0.0103798468021676 0.00205564652580164 0.000233653978540637 7.40642148388235e-05 0.000122458783139445 0.332876933112101 0.002487912626397 0.000122861886797283 0.000961370854334187 9.20395343494111e-05 0.00730192247322389 5.65972665628311e-05 6.07201365169865e-05 0.000101557904934998 0.0523302582938164 0.00181574974358785 0.00011792491794151 0.000111805733229327 7.45089495724918e-05 0.000128533863933495 0.000225632814169727 0.000659413955090785 0.000122150272155324 0.0104226654813672 9.73896267358853e-05 1.93287832991838e-05 0.00362850811853523
"DNSChamissolem" 0.000657201144538809 8.88653079734135e-05 0.00776697034869094 0.00265039750698613 0.0128029465086213 0.00367121148439623 5.65336461196908e-05 0.019935490189963 5.46300232492848e-05 6.86860439912131e-05 9.41642505078751e-05 0.000101405653761805 6.13018379117862e-05 0.00449212542194521 3.6674298361917e-05 0.0144167030247074 0.000401965983651717 0.000110499255628537 6.7578310222985e-05 5.89262888662662e-05 0.0696101790018372 6.86046197925346e-05 0.000658584303197048 8.7188746350533e-05 0.00274151606489869 0.000455362093434656 5.3603659790703e-05 0.0489487009147761 0.00373094611634599 0.0127535972721268 0.0306201808743098 0.00126682219547402 4.23303930418223e-05 8.35128170670796e-05 0.000433171972899954 0.000790633864034951 0.0264324314483965 0.00238913554673499 0.0405679021632462 7.68650110346382e-05 0.000100743784813129 0.000115859705446742 0.00133578058325843 0.000874254615522356 0.129441712942956 0.0916022657323319 0.000404854579881349 0.000917945976600841 4.0761886364331e-05 3.43644046140666e-05 0.000117736268502927 0.000269095817051365 0.000102189452886238 5.61859615551427e-05 0.000217847551370574 0.139843377050745 8.07278917951406e-05 7.82977399788526e-05 0.0317768695236186 8.24776858360832e-05 0.000507421833901 0.00025540509250875 0.00873525701810728 0.116303279414357 0.000434920072217984 6.12361064570401e-05 0.000667862051072048 0.000381407859956314 0.0297031780929369 4.70490704555512e-05 0.000430732670427592 0.000116421691758102 0.018881655381328 0.0119829774488221 0.00559074226835094 0.00358161733341654 6.74715395177545e-05 0.000111558363831572 0.000136538072318867 8.98922179129349e-05 0.000111925586037853 0.000940228545917447 8.38468225521078e-05 0.00175487183286476 5.15593760873737e-05 5.53152571649456e-05 0.000859699872699875 0.0809290374420785 0.000397909331516116 0.00039993867984463 0.000101853573474187 6.78766870943936e-05 0.000117092683674985 0.000205548568507537 0.000727067152897875 0.000403787922754101 0.00473199978511776 8.87206873552813e-05 1.76082709988762e-05 0.0029685935576922
"DNSDincklagelem" 0.00336835138298995 0.00216884372703322 0.000230346834509675 8.50536712997313e-05 0.00938143413238756 0.00172883947731542 5.39433968616846e-05 0.0302748776206673 5.21269938694579e-05 6.55389981752233e-05 8.98498484349513e-05 9.67594662709428e-05 5.84931204300012e-05 9.20089130970999e-05 3.49939614185199e-05 0.0513333664932931 0.000126957102579996 0.000105436418989696 6.44820183697795e-05 5.62264138981851e-05 0.000945419149779894 6.54613046570278e-05 0.000109645974115261 8.31939467746694e-05 8.26703743272053e-05 0.00100154607817411 5.11476561622563e-05 0.0202006274150342 0.000114545238602641 0.0223975917587874 0.0449174057597543 0.00266565942428107 4.03909060868229e-05 7.96864406118262e-05 0.000113143028690935 0.000179371470959406 0.0105968507180648 7.87430770821726e-05 8.93680809910324e-05 7.33432226578973e-05 0.000924625051726757 0.000110551264603729 0.0036055856080398 0.00012380315461924 0.159561555875197 0.0514582063008399 0.000121157155290015 0.000200168430042138 3.88942649891484e-05 0.260314851480084 0.000112341847603832 0.00157493308887537 9.75073534165832e-05 5.36116424510741e-05 7.45514062890794e-05 0.100882285465629 0.00304144197223169 7.47103070640463e-05 0.000634915348164201 0.00126964300043896 0.00241037591991067 0.000243702984175579 0.00016961099520229 0.0701657703267801 0.00124371737578161 5.84304006481892e-05 0.000979915487268338 0.000110071565266458 0.0144322633715741 0.00113818403068944 0.000112692401476339 0.00134603291062052 0.0167667755845843 0.00648881660696364 0.00175721323780535 0.000203103155889129 6.43801396670817e-05 0.000106447001148059 0.000130282193478773 8.57735511236649e-05 0.000106797398027961 0.00019937829549056 0.000479364638386742 0.0129216688724376 4.91970371119106e-05 0.00284829730173692 8.82789633055569e-05 0.0533632770309663 0.00134344718243476 0.000102505949787291 0.0019193379412237 0.00264797003878973 0.000111727750439209 0.000196130778154273 9.33906255671488e-05 0.000106178828721068 0.00783146470409276 8.46556975595537e-05 1.68014981473066e-05 0.00984748919248424
"DNSDrostelem" 0.000117573958911065 8.75239788758329e-05 0.000760428189846637 8.77923293211929e-05 0.00505360625269258 0.00198659733643387 5.56803297214024e-05 0.0580829135364975 5.38054400518948e-05 6.76492998274425e-05 9.27429394019049e-05 9.98750412297406e-05 6.03765506337537e-05 0.000656310346301309 3.61207380958466e-05 0.0365400637411035 0.000131045016505979 0.00010883138466499 6.65582861445839e-05 5.80368580223152e-05 0.000120686813351397 6.75691046420812e-05 0.000722484790199737 8.58727232012459e-05 8.53322921530752e-05 0.01396024835121 5.2794568478764e-05 0.0469464142058295 0.000406924560029741 0.0152605594521153 0.0309881394079442 0.00100473526651739 4.16914599283962e-05 8.22522782346872e-05 0.000116786140838381 0.00314883782383398 0.0077703283943802 8.12785391779322e-05 9.22456594438922e-05 0.0014643297808 9.92231625022196e-05 0.000114110924086537 0.00289852899583871 0.000824675350517019 0.146761532692058 0.0733428292922326 0.00012505831569993 0.00890417328069352 4.01466282225474e-05 3.38457097838673e-05 0.00046440208062808 0.000507174644015507 0.000100647009724243 5.53378930925656e-05 0.000954174590662312 0.15325011849364 7.9509388503805e-05 7.71159172934481e-05 0.0135405899471391 8.12327712295176e-05 7.50732050140778e-05 0.00342962376244512 0.00156140233221098 0.0787394935898694 0.00106541445917512 6.03118113267296e-05 0.00383191630817928 0.000113615778826499 0.0278214596291617 4.63389138302568e-05 0.000648158473671001 0.00011466442780093 0.00385838831762998 0.00572107853085009 0.000340657847891895 0.000872217227790249 6.64531270317392e-05 0.000109874506734824 0.00107595118281746 0.00117217944208424 0.00115090873077524 0.00117746034879543 8.2581242255436e-05 0.00951931982581464 5.07811411048338e-05 5.44803310766043e-05 0.00149651225445247 0.0316167070461108 0.00071430577618073 0.00010580655677277 0.000100316200061444 0.185856867119278 0.000698322633836591 0.000491137086622778 9.63977266355726e-05 0.000109597699377005 0.00242006218854228 8.73815411550275e-05 1.73424925214535e-05 0.00447196893013259
"DNSEichendorfflem" 0.000111684583057482 8.31398311225816e-05 0.00626589264864427 8.33947396744488e-05 0.000447233979225585 0.00120269618846394 5.28912564230473e-05 0.0672738731310333 5.11102815119607e-05 6.42606910180983e-05 0.00397541504421374 9.48722186520052e-05 5.73522397853454e-05 9.02143227706371e-05 3.4311420754443e-05 0.00706115847971792 0.000633643352213595 0.000869954351655 6.32243271037705e-05 5.51297442921994e-05 0.000114641512070565 6.41845128752234e-05 0.000107507381256597 8.15712881965323e-05 8.10579277819875e-05 0.000164594504670954 5.01500453234763e-05 0.0853726737306733 0.000467045605250584 0.0342259984882398 0.00444723723763031 0.000112411761796185 0.00110380665259865 7.81321942822199e-05 0.000110936227437005 0.00245100650208939 0.018724514681891 7.72072306119676e-05 8.76249988455908e-05 7.19126977939141e-05 0.00664444644278883 0.000421481114375576 0.00669976664947968 0.000121388432651698 0.109407899309526 0.0258330274074024 0.000680800269463216 0.000579551449572226 3.8135650748909e-05 3.21503504730589e-05 0.000610315798813398 0.000114926057481367 0.00183544328796885 5.25659727252841e-05 7.3097316374884e-05 0.123927175421986 0.000277627775522696 0.341832614387268 0.0059070407513855 0.0012623564570799 7.13127267163672e-05 0.000238949672749434 0.000166302812972917 0.0304091861448897 7.89103999703961e-05 5.72907433232089e-05 0.000191487837713379 0.00103936695312066 0.0218663803504584 0.00083798060209216 0.000445613957907613 0.000776741409978695 0.0114112023836714 0.0188172139709702 0.00473168474719237 0.000376508983579998 0.000563289561302357 0.000312790146202107 0.000662689346050531 8.41005785829455e-05 0.000417800465191656 0.000195489516150059 0.00121205926612459 0.00167686546077318 4.82374721749953e-05 0.0012643578309684 0.000443189287303672 0.019204333731629 0.00311378338232738 0.000100506619725658 9.5291279476675e-05 6.35034799392867e-05 0.000109548553518102 0.000385057134602098 9.15690855925569e-05 0.000104107860893235 0.00308705187174681 8.30045282238176e-05 1.6473792873651e-05 0.0122312877355832
