"word" "word.freq" "doc.freq"
"1" "herr" 2848 1297
"2" "willibald" 1 1
"3" "sarmaten" 2 2
"4" "feiern" 59 57
"5" "abgang" 10 10
"6" "senior" 13 7
"7" "akademie" 16 12
"8" "königsberg" 14 11
"9" "straße" 393 312
"10" "fenster" 682 475
"11" "zuschauer" 40 37
"12" "reich" 569 453
"13" "comitates" 1 1
"14" "landsmannschaft" 5 4
"15" "prinz" 92 61
"16" "polen" 27 17
"17" "kurland" 28 16
"18" "liefländer" 1 1
"19" "esthländer" 1 1
"20" "wetteifern" 8 8
"21" "pracht" 40 36
"22" "kleidung" 52 52
"23" "pferd" 537 332
"24" "geschirr" 26 26
"25" "wagen" 785 546
"26" "dienerschaft" 25 25
"27" "goldbesä'te" 1 1
"28" "livréen" 1 1
"29" "ausgewählt" 3 3
"30" "phantastisch" 32 31
"31" "ordenstrachten" 1 1
"32" "überstrahlen" 7 7
"33" "gezogen" 12 11
"34" "hieber" 5 5
"35" "federbüsche" 1 1
"36" "deutsch" 192 153
"37" "hut" 220 187
"38" "hüten" 78 73
"39" "sarmatischen" 4 3
"40" "mütze" 45 41
"41" "stolz" 364 316
"42" "reiherbüsche" 1 1
"43" "kopf" 1146 910
"44" "köpfen" 28 27
"45" "blinken" 19 18
"46" "wette" 23 22
"47" "standarte" 2 2
"48" "fähnlein" 2 2
"49" "schein" 136 122
"50" "hell" 316 289
"51" "nachmittagssonne" 2 2
"52" "held" 60 54
"53" "tag" 2150 1380
"54" "schwarzsammtenen" 1 1
"55" "rocke" 14 14
"56" "goldschnüren" 1 1
"57" "strotzend" 6 6
"58" "zurücklehnen" 5 5
"59" "prächtig" 135 121
"60" "carosse" 2 2
"61" "erwählt" 3 3
"62" "marschälle" 1 1
"63" "blinkend" 10 10
"64" "waffe" 98 82
"65" "faust" 124 115
"66" "schimmel" 17 17
"67" "schimmeln" 2 2
"68" "ehrenwache" 2 2
"69" "reiten" 199 141
"70" "dunkel" 547 452
"71" "auge" 2300 1504
"72" "blass" 181 169
"73" "jüngling" 265 191
"74" "flüchtig" 122 120
"75" "wiederschein" 8 8
"76" "jugendrausches" 1 1
"77" "spiegeln" 26 26
"78" "liegen" 1559 1160
"79" "bleiern" 7 7
"80" "gefühl" 432 364
"81" "sättigung" 6 6
"82" "aufgeworfen" 4 4
"83" "lippe" 375 334
"84" "hohn" 48 47
"85" "schaugepränge" 2 1
"86" "schmettern" 16 15
"87" "pauke" 6 6
"88" "pauken" 7 7
"89" "trompete" 17 16
"90" "trompeten" 17 16
"91" "stimmen" 106 102
"92" "advokat" 4 3
"93" "nachbar" 155 139
