"","Topic aus Model 1","Topic aus Model 2","Übereinstimmende Topic Wörter"
"1","1",67,13
"2","2",58,16
"3","3",32,1
"4","4",38,3
"5","5",19,18
"6","6",56,17
"7","7",83,18
"8","8",54,18
"9","9",41,11
"10","10",75,18
"11","11",1,0
"12","12",12,15
"13","13",74,18
"14","14",77,8
"15","15",73,17
"16","16",16,15
"17","17",99,17
"18","18",53,3
"19","19",98,15
"20","20",26,17
"21","21",43,13
"22","22",31,14
"23","23",84,17
"24","24",17,16
"25","25",65,17
"26","26",25,12
"27","27",59,0
"28","28",2,17
"29","29",7,14
"30","30",29,15
"31","31",3,11
"32","32",37,1
"33","33",87,1
"34","34",11,1
"35","35",66,9
"36","36",93,10
"37","37",14,6
"38","38",47,13
"39","39",39,9
"40","40",96,17
"41","41",35,18
"42","42",52,18
"43","43",60,11
"44","44",68,16
"45","45",85,17
"46","46",64,16
"47","47",79,15
"48","48",27,2
"49","49",72,12
"50","50",81,15
"51","51",48,19
"52","52",86,9
"53","53",36,13
"54","54",94,16
"55","55",89,15
"56","56",20,17
"57","57",91,9
"58","58",61,19
"59","59",50,11
"60","60",10,18
"61","61",40,15
"62","62",28,19
"63","63",80,17
"64","64",57,13
"65","65",18,17
"66","66",45,9
"67","67",23,17
"68","68",30,17
"69","69",22,13
"70","70",88,13
"71","71",6,9
"72","72",70,18
"73","73",4,7
"74","74",46,14
"75","75",76,16
"76","76",9,17
"77","77",100,17
"78","78",33,4
"79","79",95,13
"80","80",51,17
"81","81",8,11
"82","82",97,14
"83","83",92,16
"84","84",21,17
"85","85",5,14
"86","86",44,15
"87","87",62,14
"88","88",49,13
"89","89",24,18
"90","90",69,10
"91","91",34,17
"92","92",13,7
"93","93",78,14
"94","94",71,16
"95","95",55,2
"96","96",15,16
"97","97",42,15
"98","98",63,18
"99","99",90,12
"100","100",82,17
"101",NA,13.15,NA
