"Text" "Topic1" "Topic2" "Topic3" "Topic4" "Topic5" "Topic6" "Topic7" "Topic8" "Topic9" "Topic10" "Topic11" "Topic12" "Topic13" "Topic14" "Topic15" "Topic16" "Topic17" "Topic18" "Topic19" "Topic20" "Topic21" "Topic22" "Topic23" "Topic24" "Topic25" "Topic26" "Topic27" "Topic28" "Topic29" "Topic30" "Topic31" "Topic32" "Topic33" "Topic34" "Topic35" "Topic36" "Topic37" "Topic38" "Topic39" "Topic40" "Topic41" "Topic42" "Topic43" "Topic44" "Topic45" "Topic46" "Topic47" "Topic48" "Topic49" "Topic50" "Topic51" "Topic52" "Topic53" "Topic54" "Topic55" "Topic56" "Topic57" "Topic58" "Topic59" "Topic60" "Topic61" "Topic62" "Topic63" "Topic64" "Topic65" "Topic66" "Topic67" "Topic68" "Topic69" "Topic70" "Topic71" "Topic72" "Topic73" "Topic74" "Topic75" "Topic76" "Topic77" "Topic78" "Topic79" "Topic80" "Topic81" "Topic82" "Topic83" "Topic84" "Topic85" "Topic86" "Topic87" "Topic88" "Topic89" "Topic90" "Topic91" "Topic92" "Topic93" "Topic94" "Topic95" "Topic96" "Topic97" "Topic98" "Topic99" "Topic100"
"NDNSAnzengruber" 0.000955321067015179 8.08083310379371e-05 0.00100698011611936 0.000101658672079998 5.72348551133981e-05 8.984214787582e-05 0.000104101495493019 1.79830883754623e-05 8.84777919881389e-05 0.00297896877326015 0.00290182043718372 0.000599967825096293 0.000105422888403484 9.63481432902667e-05 0.000689211263851767 0.0511414339747523 0.000468673023933535 0.000100564240295904 0.00320802734552564 0.000133733952452061 0.00256003623703517 7.16647651746024e-05 9.3231158017368e-05 6.98380317048188e-05 0.00259616846034444 0.00010468764635525 8.36311329948131e-05 0.0152428836576712 0.000964809498862511 0.000154070232685398 0.000102245205891611 9.85715363234501e-05 0.218870975410177 0.00117277416573271 0.000130003589949212 0.000121069978618303 6.73150629120147e-05 0.000109181238811326 0.000158365650166847 0.000186216496092965 9.49570469366438e-05 0.000121170041541137 4.77105331428333e-05 0.0273546235158273 0.000661422505779615 0.0263061837077932 0.000119564762588526 7.05976102440143e-05 0.00111027966210781 0.000114619758060807 0.000121333336083376 8.74036793918014e-05 0.000139350496736484 7.29624695484856e-05 0.00352061457380342 3.22023439274611e-05 0.0152006373986328 0.000103779671143354 7.46144511669452e-05 9.95288277009463e-05 0.00468733203026595 0.00417647398781123 0.00936975720649295 0.000107022899003007 0.0309954438102312 7.93364971205705e-05 0.000114226884409036 0.000124648839054433 0.00113499298453618 0.00670884559935753 9.10290624649038e-05 9.08357148170172e-05 0.00215450201300669 8.71236915401956e-05 0.000152958115139427 0.000237744209822504 0.000123207335213734 0.363737858301903 0.000104654988716619 0.00012146019540097 0.00322920745767102 0.00426950543536487 0.100794649081379 0.0728541140767793 0.000227985956138755 0.000210268146911383 0.000109448702266018 0.000812163539866928 0.000848876107453737 6.77532248294266e-05 0.00010163788686049 0.000109026285832032 3.3730483859039e-05 0.00192469340487255 9.59760975902885e-05 0.00622765581458643 7.95330496277416e-05 9.72378116492139e-05 7.12488386435702e-05 9.79592506901744e-05
"NDNSArtaria" 0.000864198872440839 7.28799698166336e-05 0.00164617461396196 0.00260559305413007 5.16193622556759e-05 8.10274502808052e-05 9.38877681539518e-05 1.6218710635148e-05 7.97969556692204e-05 0.000863666168005828 9.92675968614488e-05 0.00212386311829244 0.000237034153913153 8.68951218852271e-05 9.53987865899968e-05 0.0416525413340791 0.000583170865822862 0.00125228185686336 0.000518906793579405 0.00417804265387896 0.00492559643005288 6.46335081513953e-05 0.0356107479300933 6.29860012863128e-05 0.0011976678130331 9.44164098991618e-05 0.00579568783165944 0.0104363197284233 0.00213481026904612 0.000138953914324527 0.000582920605119173 8.89003707880023e-05 0.110008487344234 0.000302355764219923 0.000308069872469073 0.000109191419672558 0.00387713749614519 0.000403695955085826 0.0700235589556291 0.000722846374511192 8.56405103994823e-05 0.000642934916544512 4.30295016704747e-05 0.0175031264605097 0.000374789172408623 0.00804617286339006 0.000107833885153423 6.36710551699766e-05 0.00317439304517842 0.00053425352524849 0.00457603845362328 0.00145405189152642 0.000125678378276616 0.00535018419044986 0.00043058315030464 2.90428700025548e-05 0.0227003400682175 0.000923218045466911 0.00853198954311713 8.97637392773837e-05 0.000324683727998816 0.0597492512722836 0.000691591434555862 0.00493379942055467 0.128023305400454 0.000449077055750366 0.000375815051496025 0.000112419146779564 0.00302792127566722 0.00798305695536306 8.20979129214299e-05 8.19235352234736e-05 0.0165031809077824 0.00329168321033126 0.000137950910152286 0.000653046680527706 0.000111119073444906 8.76901355771341e-05 9.43869564048608e-05 0.00148638310980579 0.000411598494962967 0.0321515864356176 0.15704669004084 0.180192665399042 0.00169929317953876 0.00055766832333372 0.000647369267949726 0.00676092516870266 0.000454280087919806 6.11057414145829e-05 9.16658719648773e-05 0.00172655076178186 3.04210792869008e-05 0.00215760617091656 8.6559578766881e-05 9.96918990490752e-05 0.000371332663563631 0.0043813837530819 6.42583894892696e-05 0.00392878005280765
"NDNSBernstein" 0.000120225636364783 0.000435005026578135 0.000684564900073748 0.000469628242917588 0.000577524461569445 7.56668825139621e-05 0.000447989072771591 1.51457224422673e-05 0.000456661259379299 0.00106004473651833 9.27003078972357e-05 0.00142299923373155 8.87892987836267e-05 8.11463640524239e-05 0.00022220133999537 0.0233691613001697 0.000837066672524299 8.46972466207475e-05 0.291901217851834 0.00108405511063668 6.61941218575711e-05 6.03575214425251e-05 0.000377422664100534 5.88190093954457e-05 0.00132816483282275 8.81700629906451e-05 7.04358395747036e-05 6.22618364335061e-05 0.000107200616063512 0.000805722279329922 0.000743245173358367 0.00020017170864516 0.0610791429133347 0.00612389479181128 0.000268628271634748 0.000227637354131579 5.66941138119678e-05 0.143590308127223 0.000648232136175766 0.00158780480513421 0.000242174372729328 0.000321194284281791 0.000213205854785102 0.0156404367790504 0.000852204447890973 0.0140592268885688 0.000100699872582083 5.94587418756272e-05 0.000113682895193627 0.000282954696011513 0.000532409859439739 0.000263177895544775 0.000768719273902051 0.00029575599003793 0.00190162478941204 2.71214684003475e-05 0.0130718696642701 0.000193496418840519 0.000243274182076212 8.38252010939152e-05 0.000253304701586946 0.0375659929620623 0.00023113229450634 9.0136860222413e-05 0.0709718709475304 6.68188099753476e-05 0.000639276174894403 0.000104981785089 0.00878896258090948 0.00264696447528784 0.000240442296863317 0.000282268842228248 0.00220514052567087 0.0231992208181088 0.000128824432646129 0.000200233004423259 0.000244377835486853 0.000474232453541152 8.81425580637941e-05 0.000704830780209529 0.00334956508508704 0.00932876023592825 0.11585617219616 0.123012305567112 0.000359036198238785 0.000803266394354892 0.00035840770468191 0.000446310602975061 0.000175052023135108 0.000202214423654584 8.56014935737076e-05 0.000199957232180004 2.84084989021941e-05 0.00321065942845299 0.00209990927127601 9.30965393431257e-05 6.69843504907914e-05 0.000494848543681143 6.0007219666553e-05 0.00029876942916558
"NDNSBoehlau" 0.00032908751933438 0.000261382457547055 0.000262419222951539 0.000600295059343273 5.45354264390525e-05 8.56048265851435e-05 9.91916453428026e-05 1.71349327486536e-05 8.43048192731322e-05 0.182280903465199 0.000406934003932103 0.00116683638264557 0.000100450715986434 9.18039727808383e-05 0.000100788023739708 0.101956982542301 0.00223016255456497 9.58212214950227e-05 0.000237419478510522 0.00341627106203638 0.000978589717034185 6.82847632217839e-05 8.88339972174341e-05 0.000267916595504283 0.00391233690293167 9.97501509451329e-05 0.00179135222977091 7.04391873126183e-05 0.000121280140571989 0.000146803653550183 0.000306500048835359 9.39225015508691e-05 0.162857076891711 0.0173603590266019 0.000123872091620414 0.000115359825753634 6.41402106182499e-05 0.000104031807295094 0.000359973624586277 0.00281461645393617 9.04784861920748e-05 0.000115455169301839 4.54603102501762e-05 0.0578440282714113 0.000114061531678099 0.0241613471300936 0.000113925601837034 6.72679396603221e-05 0.000452558234557845 0.000109213823845671 0.000115610762208968 8.32813661977507e-05 0.000932343796323321 6.95212625766146e-05 0.00335939658442906 3.06835503460552e-05 0.0134803928617465 9.88849995390754e-05 7.10953300194984e-05 0.000309384394884545 0.00128640489094039 0.0101423271622654 0.000376618390074099 0.000101975263575121 0.0623824193933791 7.55946650704135e-05 0.000108839479714047 0.000118769892568052 0.00752040217156659 0.00642835431631018 0.000374647853199871 8.65515328662475e-05 0.00317499155658122 8.3014583712588e-05 0.000145743987993248 0.003941945636901 0.000318768785482704 9.26438981270346e-05 9.97190335736344e-05 0.000115731638324912 0.000168949379413714 0.00699845314374607 0.18246922394348 0.115100576103946 0.000626267850945294 0.00147882709224839 0.000104286656084867 0.000214350571707343 0.00215947644946924 6.45577070366135e-05 9.68442305186073e-05 0.000103884162528858 0.00092257740084376 0.000166165334843145 0.00462695044383102 0.000105323661308165 7.57819473615105e-05 9.26516807596284e-05 6.78884534784952e-05 9.33390937996476e-05
"NDNSBoehm" 0.00011257464698148 6.37272769606352e-05 0.000129553504670151 8.01703273397765e-05 4.51367008421569e-05 7.08515491766909e-05 0.00103197785790597 1.4181870096694e-05 6.97755872751104e-05 0.000148686219486395 0.000466394601359908 0.00413791076504798 0.000632699737423528 7.59823242633143e-05 8.34180490198516e-05 0.031987856071298 0.000526376449731828 0.000811111600834304 0.000512813733234716 0.0100729711110441 0.000465716475602051 0.000293535668445134 0.000427687444649481 5.50758508643024e-05 0.00241529039820968 8.25590449393886e-05 6.59534024083492e-05 0.000253266805314967 0.00172395962920587 0.236579906096426 0.000306414055363031 7.77357422809629e-05 0.0394098158821255 0.00128192062055932 0.000660037346391425 9.5478522572191e-05 5.30861806291062e-05 0.000249538851092597 0.000947241786669635 0.0211619735299833 0.00247354614930782 0.000366611532872766 3.76256051879786e-05 0.0148393627941672 0.000440297870235516 0.00975084523441926 0.000564433326226278 0.00319309836953862 0.000106448276600713 9.0391732798848e-05 0.00978410225590519 0.000959978560073254 0.00155546929126779 0.00242696712776281 0.0050646936501888 0.000113136332124858 0.0206902056150795 0.00391619840154965 0.000355200369171633 7.84906839059432e-05 0.00033360509933096 0.0924137298472519 0.000244572809805223 8.44006779782741e-05 0.097643353064649 6.25665554547295e-05 0.00380865026419542 0.000239173724201772 0.00799425380911869 0.00125177492798309 7.17875768581889e-05 0.00166943630768804 0.0057744092201211 0.000220025673267488 0.000120626228034468 0.000423206060653473 0.000404694944814247 0.000462526009063133 8.25332903871638e-05 0.00124122286060902 0.000139832363914625 0.00945552142992584 0.131395424061127 0.169638573284911 0.000872031072810043 0.00935600380485685 8.63137212797292e-05 0.0056296670711409 0.0102301386950833 5.34317250241686e-05 0.000958051260012985 0.000234159457090414 2.66006222290627e-05 0.0001375281261903 0.00266700347757816 8.71720073075841e-05 0.0039410333746644 0.00282822179218503 5.61884451150312e-05 0.00317308875997845
"NDNSBoy-Ed" 0.000109538397518887 6.20084893329375e-05 0.000126059318639114 7.80080543961954e-05 4.3919319421474e-05 6.89406128879282e-05 7.98825614872702e-05 1.37993710472701e-05 6.78936707419769e-05 0.00108005459418642 8.44598829634067e-05 0.00758065195634934 8.08965358775435e-05 7.39330059008152e-05 8.11681818135286e-05 0.0459572915533161 0.000144087643477398 0.000645940911912639 0.000191202354037457 0.000738095006288848 6.03099160269634e-05 5.49921495692141e-05 0.000426496307429658 5.35904007467811e-05 0.000226747790456526 0.00115650789289974 6.4174573977722e-05 5.67271839494883e-05 9.76712126605498e-05 0.000636965017515474 7.84581326880449e-05 7.56391325019989e-05 0.114296517144398 0.00025725345698626 0.00984342514609652 0.174075811841801 0.00779928404030791 8.37805161328055e-05 0.000121522305966998 0.000617698507625306 7.28655443866773e-05 0.000861676975299201 3.6610805438702e-05 0.0305768876978577 9.18578100617128e-05 0.0549686224783821 9.17483409239714e-05 5.4173265373983e-05 0.000103577261400674 8.79537784504019e-05 9.31054605338107e-05 6.70694475632912e-05 0.000106930977034623 5.59879464974722e-05 0.000920802427376646 2.47105548929616e-05 0.01756321421401 0.0186530366573081 5.72555990185764e-05 7.63737126054058e-05 0.00148881097432697 0.0235749937494586 9.67243864565932e-05 0.000398354089784718 0.0768731504383311 6.08790736329395e-05 8.76523058010827e-05 0.000460312675772122 0.00105593589043613 0.00652364080488848 6.98513949779797e-05 6.97030291423347e-05 0.00314764548125221 0.00393022135662893 0.000117372819475218 0.000182433656398935 9.45434787875244e-05 7.46094276688014e-05 8.03072859953825e-05 0.000409432587857761 0.000476514583693697 0.0411383037919589 0.174085877849606 0.150272915256765 0.00274606782567914 0.000784935551876682 8.39857549313823e-05 0.000172624142538087 0.000704372210468481 0.000369727568384779 0.000420193296204607 8.36616125489765e-05 2.58831771638262e-05 0.0149984959408335 7.36475156361093e-05 8.4820892137005e-05 0.000863128872740801 0.00137948668277767 0.000407748227749933 7.51692934807987e-05
"NDNSBuelowHerr" 0.0064750376928753 0.00037658902222839 0.116153271722094 0.00115003226798524 5.69812083107616e-05 8.94439958493048e-05 0.00010364015054108 1.79033930069858e-05 8.80856863560434e-05 0.000658203823966595 0.0120607761920839 0.00202478100639709 0.000104955687455473 9.59211587467201e-05 0.00141952004699594 0.0902991837803779 0.00131086256149635 0.000100118571341905 0.000248067167443158 0.000133141285809048 7.8246474071196e-05 7.13471695676559e-05 9.2817986968182e-05 6.95285316037132e-05 0.000898816465892541 0.000104223703767801 8.32605062247622e-05 7.35982143641379e-05 0.000766966172912598 0.000153387442070751 0.000101792087428955 9.81346984041458e-05 0.146067160476516 0.0011537993811393 0.000655430402890781 0.000382739463466756 0.00732344442019357 0.000108697382041224 0.00015766382361845 0.000709803300908582 9.45362272928172e-05 0.000725265474143602 4.7499095127313e-05 0.0667255330365502 0.00011917691528566 0.0146198529801796 0.000119034889320244 7.0284743930704e-05 0.000134381807046953 0.00011411179949092 0.000120795625055895 8.70163338875195e-05 0.000138732939342952 7.26391229255794e-05 0.00130534141076741 3.20596333089329e-05 0.0454045299327256 0.0130719646949722 7.42837834832151e-05 0.000716601389824563 0.00144576500568633 0.0198078266783162 0.00733059350230362 0.000370345526350544 0.0532502111623135 7.89849028204339e-05 0.000113720666931101 0.000124096434764846 0.001247312184825 0.0150236584224681 9.06256504077669e-05 9.0433159615595e-05 0.00216474349858374 8.67375868536496e-05 0.00120110436811381 0.00140532623068321 0.00012266131921393 9.67987527116374e-05 0.000104191190857511 0.000761168833769999 0.000176526350135092 0.0110080853052601 0.210054047836152 0.121530360408498 0.00022697559438094 0.000209336304888637 0.000108963660182352 0.00128677879030782 0.00293572359903084 6.7452963933994e-05 0.000101187459843984 0.000108543115764599 3.35810010069329e-05 0.000173617447904368 9.55507618357893e-05 0.00701834541552475 7.91805842689661e-05 9.6806884376465e-05 0.00376408995281287 9.75251262274321e-05
"NDNSBuelowVerzaubert" 0.000132719772229144 0.000556323413066555 0.000152736980237997 0.00491656854183888 5.32138702236533e-05 8.35303660366742e-05 0.00186115933903647 1.67197021663872e-05 8.22618617834164e-05 0.00579682137778343 0.000527457469693946 0.0608433507001471 0.000326613264781815 8.95792884105338e-05 9.83456289899414e-05 0.0532888254667908 0.000174580600561158 9.34991871936056e-05 0.000231666095655195 0.0139869629712471 0.00600777698495375 6.66300195231414e-05 0.00883694332158743 6.49316216220429e-05 0.00112498098397031 9.73329069520769e-05 0.00823303549650399 6.87322354855396e-05 0.000118341160645675 0.000143246162695878 9.50620580156448e-05 9.16464789029284e-05 0.124267120630604 0.00313715130675161 0.000330755252051683 0.000527113753527638 0.000543778102739078 0.000101510805984438 0.0188782400758837 0.0398087986484143 0.000913444902280562 0.00492819225218673 4.43586711966659e-05 0.0363423859871847 0.000111297480198725 0.0279115236295238 0.000111164844343571 6.56378366326223e-05 0.000125497093736885 0.000106567246801443 0.000112809168248113 8.12632100318945e-05 0.00012956054897396 6.78365548066442e-05 0.000546748911303468 2.99399963057166e-05 0.0492295255935924 9.64887207477716e-05 6.93724778955102e-05 9.25365166085778e-05 0.000145402863725151 0.0283961779384326 0.00011719395965519 9.95040984592621e-05 0.0668490776145241 7.37627806239524e-05 0.000106201974145852 0.000115891743446012 0.0010991859488393 0.00462807794170665 0.0014348084021148 8.44541307978957e-05 0.0120050490155778 8.10028924829109e-05 0.000142212175999354 0.000221041697456105 0.000114551511201974 9.03988598577287e-05 9.73025436474006e-05 0.000112927115174854 0.000631652522387716 0.0060283677932635 0.195480348480065 0.179389461860371 0.00151454790057432 0.00124492069676379 0.000558953018169397 0.00238025210998071 0.00556988155544519 6.29932810376438e-05 9.44974056540314e-05 0.000487130883988755 3.13607780975366e-05 0.000162138652640682 0.00670007677128226 0.000102771354517533 0.000904200116366022 0.00519188874120332 6.62433135482408e-05 0.000411872009486809
"NDNSBurow" 0.00125460526400029 6.5292908384649e-05 0.000842326111089148 8.21399263834351e-05 4.62456049187965e-05 7.25922074492798e-05 8.41137209570582e-05 1.45302857600273e-05 7.14898116587195e-05 0.00170840483897732 8.89334905564075e-05 0.00868393159829456 8.51814027806392e-05 7.78490337825323e-05 8.54674370543675e-05 0.0398370138366469 0.000609826299723777 8.12556285233717e-05 0.000634343203956642 0.009778822386515 6.35043663246078e-05 5.79049324104461e-05 0.000553594057175592 0.000715799326956233 0.000238757996976963 8.45873292355075e-05 6.75737245726703e-05 5.97318667875635e-05 0.0001028445880341 0.00134704353465663 8.26138440839271e-05 7.9645529215046e-05 0.100347692677518 0.000270879464720583 0.000830598547037804 0.00107586837807669 5.43903849908452e-05 8.82181395341976e-05 0.000127959008122132 0.00287044383499723 7.67250317693157e-05 0.000767429129176358 3.85499790611354e-05 0.0338662150724413 9.67232654962953e-05 0.0889259301108613 9.66079980795531e-05 5.70426741727106e-05 0.00350316251783102 0.000543591596216941 9.80370005807505e-05 7.06219316462671e-05 0.000563573964790765 0.00184497962750067 0.172325494459257 2.60194049898095e-05 0.0421896959503484 0.0129838626483227 6.02882705488257e-05 0.000658031359522431 0.000126362607373482 0.0417183234838999 0.000101847611051494 8.64742069277769e-05 0.0944833764735061 6.41036706428261e-05 9.22950072472313e-05 0.00010071591782799 0.00111952366313805 0.00548327186465396 7.35512311604497e-05 7.33950067947476e-05 0.00641700285277428 0.000753954653623601 0.00102554803103642 0.0010082466759964 0.000776019908919954 7.85612837502645e-05 8.45609419536543e-05 0.00055146973926861 0.00149620516528365 0.0204996225553673 0.0964176740477179 0.163136086323021 0.011475115959919 0.00242143521485072 8.8434249267181e-05 0.00141756952466662 0.0106196341574515 5.47444186104454e-05 8.21231319834561e-05 0.00400221306226524 2.72541378356666e-05 0.000140906873350363 7.75484218840861e-05 8.93136213925453e-05 6.42624845259822e-05 7.85678833603833e-05 0.00139693461013203 7.9150804113745e-05
"NDNSDingelstedt" 0.000707551588872378 0.00580967020605075 0.0007546419224664 8.00333637781522e-05 4.50595889790468e-05 0.000471249531079431 0.000851958709686618 1.41576416882118e-05 0.000611904702769908 0.000148432202883731 8.66527000345257e-05 0.0129595353952604 8.29968383956458e-05 0.000390118915783562 8.32755370272401e-05 0.0416245938073135 0.000147828565596499 0.00654488839302631 0.00117851507233916 0.00196765647049992 0.000694498772467784 5.64199010663971e-05 0.00175708145642666 5.49817588860834e-05 0.000232634803418254 0.000841917573964752 0.000345638197442895 0.000393010914359701 0.215991805713032 0.000121295692021154 0.000300153661516595 0.00039512907289941 0.070168805513858 0.00156595861263401 0.00010234861811576 0.000355595114916348 5.29954878177725e-05 8.5955694922513e-05 0.00103161568113524 0.00048141458441173 0.000257121932494413 0.000653551920924717 3.7561325334499e-05 0.0321432814492928 0.000465711829100744 0.00946750994467293 9.41303869458929e-05 5.55797563249805e-05 0.00043051919150723 0.000956441630850279 0.00965235094946548 6.88107598219292e-05 0.000751856511563483 5.74415516949806e-05 0.00109653066204447 2.53521106790333e-05 0.032237298051225 0.0122537229832525 0.000674905885205917 0.000713408859694223 0.00151499503565486 0.0671352128696504 9.92356246725807e-05 0.000265005927457983 0.0887167511454007 6.24596663031195e-05 8.99280071842688e-05 0.00052370827913965 0.00668915011777864 0.0024648217437046 0.000362080039894515 7.15127166158331e-05 0.0162308488683007 6.8590332295949e-05 0.000120420149322243 0.00129733276505405 0.000286122653433327 0.0004669660619077 8.23922899225394e-05 0.000728650398498422 0.00522693449688958 0.013418161534353 0.120255917642681 0.164238975539184 0.0012493269699651 0.00312417832524536 8.61662622998823e-05 0.00247450912382071 0.00923162603466123 5.33404418823146e-05 0.000478580529898384 8.58337042658716e-05 2.65551775354609e-05 0.00525770700077448 0.00580185390626705 8.70230820257378e-05 0.000383468608913586 0.00412050081935932 5.60924523728229e-05 0.00538399798447296
