"word" "word.freq" "doc.freq"
"1" "sündkind" 3 3
"2" "pechleitner" 1 1
"3" "mundwinkel" 15 15
"4" "lächeln" 279 254
"5" "spielte" 123 118
"6" "verflog" 2 2
"7" "verzwiefelte" 1 1
"8" "geschicht" 18 13
"9" "frau" 2340 996
"10" "mutter" 1399 685
"11" "gott" 1043 673
"12" "selig" 48 45
"13" "will's" 21 21
"14" "unbeschaffene" 1 1
"15" "jahren" 351 308
"16" "gezählt" 12 12
"17" "vierzig" 26 25
"18" "rücken" 215 202
"19" "augen" 2071 1325
"20" "hilft's" 7 7
"21" "lebt" 94 88
"22" "bezeugen" 10 10
"23" "damal" 7 6
"24" "zeit" 1408 999
"25" "red" 80 65
"26" "fingern" 75 70
"27" "herzählen" 1 1
"28" "leut" 114 72
"29" "besonnen" 23 23
"30" "früh" 153 141
"31" "mannbar" 1 1
"32" "wundern" 28 28
"33" "alter" 233 205
"34" "anmerken" 3 3
"35" "schwächste" 2 2
"36" "dutzend" 58 58
"37" "geschwister" 15 15
"38" "überlebt" 4 4
"39" "recht" 1315 920
"40" "angieb" 1 1
"41" "uebrige" 14 14
"42" "vater" 997 544
"43" "verstorben" 3 3
"44" "gewest" 35 21
"45" "gütel" 1 1
"46" "gehauf't" 1 1
"47" "rechtschaffen" 10 9
"48" "vorwärts" 132 113
"49" "gegangen" 221 202
"50" "arbeit" 326 264
"51" "vollkräftig" 1 1
"52" "lüg" 1 1
"53" "gefehlt" 24 23
"54" "allweil" 23 17
"55" "weib" 400 294
"56" "mann" 1531 975
"57" "zurückstehen" 1 1
"58" "muß" 1008 706
"59" "gethan" 383 312
"60" "ändert" 4 4
"61" "lässig" 5 5
"62" "mitte" 121 116
"63" "unbeholfen" 9 9
"64" "ehrsame" 10 8
"65" "wittib" 4 4
"66" "ausgerufen" 5 5
"67" "nachzureden" 1 1
"68" "mer" 86 28
"69" "getraut" 11 11
"70" "hätt's" 24 22
"71" "rathen" 29 27
"72" "pechleitnerin" 1 1
"73" "siech" 2 2
"74" "lent" 1 1
"75" "wassersucht" 2 2
"76" "abend" 488 399
"77" "hundmüd" 1 1
"78" "haus" 790 578
"79" "treff" 7 7
"80" "gemeint" 75 72
"81" "brächt" 7 7
"82" "verwundern" 8 8
"83" "maul" 42 38
"84" "stuben" 19 13
"85" "weibsleut" 6 5
"86" "nachbarschaft" 30 29
"87" "hebmutter" 1 1
"88" "mach" 79 69
"89" "alte" 1060 704
"90" "kindswäsch" 2 2
"91" "vergessen" 251 230
"92" "schrein" 3 3
"93" "gelegen" 79 79
"94" "gebrauch" 25 25
"95" "nachtig" 1 1
"96" "besuchweiber" 1 1
"97" "verloren" 249 219
"98" "steh" 23 20
"99" "fenster" 495 359
"100" "trommel" 4 3
"101" "scheiben" 40 38
"102" "länger" 197 183
"103" "verlegener" 3 3
"104" "noth" 120 113
"105" "kehr" 4 4
"106" "brennrothem" 1 1
"107" "gesicht" 878 696
"108" "sag" 269 197
"109" "solltst" 4 3
"110" "schämen" 23 22
"111" "red't" 13 12
"112" "deut't" 1 1
"113" "pfeife" 60 42
"114" "wochenstuben" 1 1
"115" "qualm" 7 7
"116" "verursachen" 3 3
"117" "end" 37 33
"118" "überlegt" 9 9
"119" "reden" 417 357
"120" "hintennach" 6 6
"121" "frucht't" 1 1
"122" "ungehörig" 1 1
"123" "dumm" 63 55
"124" "vermahnt" 1 1
"125" "möcht's" 5 5
"126" "helfen" 165 145
"127" "verkehrte" 14 14
"128" "wesen" 259 234
"129" "einging" 8 8
"130" "lehr" 9 8
"131" "annähm" 1 1
"132" "vorderher" 1 1
"133" "geschämt" 4 4
"134" "kränkt" 4 4
"135" "welt" 915 698
"136" "geschrieen" 10 8
"137" "kind" 931 562
"138" "kriegt" 31 28
"139" "keins" 14 13
"140" "brüderl" 2 2
"141" "all" 387 307
"142" "lebtag" 32 29
"143" "widerhaarig" 2 2
"144" "langen" 298 263
"145" "zopfen" 2 2
"146" "kurzen" 143 133
"147" "verstand" 191 176
"148" "denken's" 1 1
"149" "unschuldigen" 22 21
"150" "wurm" 12 12
"151" "nachtragen" 1 1
"152" "herz" 944 700
"153" "just" 64 58
"154" "bruder" 322 191
"155" "höllsakermenter" 1 1
"156" "kinder" 447 293
"157" "auseinander" 51 51
"158" "scheiden" 39 37
"159" "schön" 365 306
"160" "still" 449 386
"161" "stube" 210 170
"162" "gangen" 24 20
"163" "sind's" 8 7
"164" "geschlafen" 31 30
"165" "bett" 195 163
"166" "hingefetzt" 1 1
"167" "sauber" 33 32
"168" "aermel" 23 23
"169" "abgewischt" 1 1
"170" "zeichen" 110 105
"171" "freund" 455 357
"172" "schmatz" 3 3
"173" "aber's" 2 2
"174" "richtige" 30 30
"175" "troffen" 1 1
"176" "tag" 618 495
"177" "unrasirt" 1 1
"178" "gekratzt" 1 1
"179" "pferdestriegel" 1 1
"180" "gezetter" 1 1
"181" "angehoben" 10 9
"182" "gescheidt" 9 8
"183" "wach" 28 26
"184" "wend't" 2 2
"185" "ent" 23 17
"186" "hinüber" 177 160
"187" "halt" 183 142
"188" "verlegen" 73 70
"189" "räusper" 1 1
"190" "bleib" 39 39
"191" "umwenden" 6 6
"192" "schaden" 71 69
"193" "geschehen" 265 234
"194" "stark" 139 130
"195" "kriegt's" 1 1
"196" "schwäche" 51 46
"197" "dreht" 10 9
"198" "dirn" 17 11
"199" "siebzehn" 18 18
"200" "aussagt" 1 1
"201" "kammer" 82 74
"202" "fensterriegel" 1 1
"203" "hart" 198 176
