"","Topic aus Model 1","Topic aus Model 2","Übereinstimmende Topic Wörter"
"1","1",65,15
"2","2",78,17
"3","3",69,5
"4","4",24,12
"5","5",97,15
"6","6",20,1
"7","7",3,19
"8","8",12,11
"9","9",10,16
"10","10",31,12
"11","11",39,8
"12","12",93,17
"13","13",96,19
"14","14",25,15
"15","15",32,8
"16","16",91,10
"17","17",88,16
"18","18",54,10
"19","19",77,13
"20","20",83,19
"21","21",86,15
"22","22",52,10
"23","23",53,8
"24","24",75,16
"25","25",72,12
"26","26",71,1
"27","27",100,3
"28","28",21,8
"29","29",66,0
"30","30",27,15
"31","31",95,4
"32","32",22,9
"33","33",81,17
"34","34",16,17
"35","35",56,20
"36","36",47,16
"37","37",26,5
"38","38",84,17
"39","39",15,17
"40","40",36,11
"41","41",28,11
"42","42",6,19
"43","43",98,1
"44","44",23,5
"45","45",51,12
"46","46",46,16
"47","47",42,14
"48","48",9,1
"49","49",76,17
"50","50",19,17
"51","51",40,13
"52","52",67,17
"53","53",99,15
"54","54",7,12
"55","55",70,18
"56","56",5,17
"57","57",82,6
"58","58",1,12
"59","59",90,17
"60","60",44,17
"61","61",79,16
"62","62",8,20
"63","63",29,2
"64","64",80,8
"65","65",43,19
"66","66",68,13
"67","67",13,15
"68","68",11,16
"69","69",48,12
"70","70",60,14
"71","71",45,11
"72","72",17,15
"73","73",38,17
"74","74",55,16
"75","75",50,17
"76","76",2,0
"77","77",62,12
"78","78",41,0
"79","79",92,12
"80","80",74,1
"81","81",4,14
"82","82",34,15
"83","83",61,17
"84","84",59,3
"85","85",35,16
"86","86",73,17
"87","87",49,16
"88","88",33,17
"89","89",64,1
"90","90",94,2
"91","91",57,16
"92","92",58,0
"93","93",30,18
"94","94",63,19
"95","95",87,18
"96","96",85,15
"97","97",89,8
"98","98",14,19
"99","99",18,1
"100","100",37,1
