"Text" "Topic1" "Topic2" "Topic3" "Topic4" "Topic5" "Topic6" "Topic7" "Topic8" "Topic9" "Topic10" "Topic11" "Topic12" "Topic13" "Topic14" "Topic15" "Topic16" "Topic17" "Topic18" "Topic19" "Topic20" "Topic21" "Topic22" "Topic23" "Topic24" "Topic25" "Topic26" "Topic27" "Topic28" "Topic29" "Topic30" "Topic31" "Topic32" "Topic33" "Topic34" "Topic35" "Topic36" "Topic37" "Topic38" "Topic39" "Topic40" "Topic41" "Topic42" "Topic43" "Topic44" "Topic45" "Topic46" "Topic47" "Topic48" "Topic49" "Topic50" "Topic51" "Topic52" "Topic53" "Topic54" "Topic55" "Topic56" "Topic57" "Topic58" "Topic59" "Topic60" "Topic61" "Topic62" "Topic63" "Topic64" "Topic65" "Topic66" "Topic67" "Topic68" "Topic69" "Topic70" "Topic71" "Topic72" "Topic73" "Topic74" "Topic75" "Topic76" "Topic77" "Topic78" "Topic79" "Topic80" "Topic81" "Topic82" "Topic83" "Topic84" "Topic85" "Topic86" "Topic87" "Topic88" "Topic89" "Topic90" "Topic91" "Topic92" "Topic93" "Topic94" "Topic95" "Topic96" "Topic97" "Topic98" "Topic99" "Topic100"
"NDNSAnzengruberlem" 0.000289802766997783 0.00434370944859315 0.000122932142413263 0.000981322860869064 8.60857338337908e-05 0.002669904219147 0.0412696849993246 0.000917037821729135 0.000134029733358414 6.22260981790419e-05 0.0333402334723954 0.000112432717716514 0.00199657831448557 0.00156451497801592 0.128098216599335 0.000701708768241799 0.00113858413993377 0.000234002341622263 0.0027457823494655 0.00019935981838113 0.077774970525523 0.00012809201899633 0.00129380221196118 0.000153963109639009 2.20276076531232e-05 0.000149934107747214 0.00789354562086439 5.29906809531335e-05 0.0202050734850106 0.000102541253604644 0.00019339489322543 0.000143473232349085 0.0193160943472976 0.0010991375579318 0.00360435125345958 0.000911689405261476 0.000110737784251766 8.87789454533926e-05 9.08774997541083e-05 7.48919964983855e-05 0.000104421541421816 0.000108618858942742 0.00445488530044591 0.000496966049790205 8.44820302403758e-05 0.00109697776800178 7.9137453066242e-05 8.56265324133068e-05 0.00600534992703092 7.62572096372418e-05 0.000727018276014417 0.000103602879268418 0.0299073733661002 0.000111194838505375 0.00686602590526117 0.00018213877843014 0.000112129756007189 0.000104944528438742 0.0012144171532107 0.000111805171866552 0.000123665012981386 0.000183244586981177 8.61948170178496e-05 0.00410565187059171 0.20478499458503 0.000121525446291729 0.00101336750749623 0.00099577739195499 0.000113894869710527 9.86090779845764e-05 0.0381595697274033 5.62996218390788e-05 0.00443121567009622 0.000213049181106103 0.000133918837665147 0.000151613623582627 0.000748491998165131 7.2059596348579e-05 0.0013696455859397 0.000130518892152441 0.000151913301682736 6.95640486186203e-05 0.000140160094445399 0.317128692988373 0.0012783776291215 0.00168800032439497 0.000245090392096068 0.000110738080029305 8.95915671340131e-05 0.000414095906453995 0.000119108773503848 0.000114534542843201 0.0001041298329399 0.0129589319889449 9.6097811381449e-05 8.26503335268503e-05 3.82215768688735e-05 0.000121879912671489 0.00138141855719499 0.000121604251868854
"NDNSArtarialem" 0.00107637055715201 0.0180221339534768 9.68535582935412e-05 0.00128240928143506 6.78236747236075e-05 0.000174117234637525 0.110312801857665 5.92010618384811e-05 0.000105596928012998 4.90255754845873e-05 0.118098125640946 0.00107847783106666 0.000674131299649115 0.000127124913946808 0.185112794771731 8.2116671383649e-05 0.0255057773383239 0.000184361542800965 0.00118792200783014 0.00483590752287147 0.0201035558102511 0.000245690110898369 7.78715986775621e-05 0.000836118511046507 1.73547140724756e-05 0.000414711591597299 0.00973870920298491 4.17493415957505e-05 0.0643259221671145 8.07883527328708e-05 0.00048314122958784 0.000507543090928576 0.0206609971684074 0.000419142823782393 9.87506360877063e-05 0.000771351864355741 0.00121898199187645 0.000275815003437542 0.0036153768950684 5.90045549209716e-05 8.22697599721337e-05 0.0868789682867473 0.0155430788258133 0.000558056134927006 6.65601776721348e-05 9.16977878141015e-05 0.000588357374401128 0.000667931999661918 0.0303487784010107 6.00801544162022e-05 8.08964618393845e-05 8.16247672058782e-05 0.00891758539494585 0.000377148747352342 0.0117494198106911 0.000143500214410114 8.83427689999422e-05 8.26818015467474e-05 7.23955402339767e-05 0.000899750070665676 9.74309591335324e-05 0.000423956919842152 6.79096172144702e-05 0.0336564075808133 0.138095082072815 0.00369856594954292 2.5824444351254e-05 9.81214039079229e-05 8.97334349364896e-05 7.76903411537806e-05 0.0380763036206216 4.43563302375771e-05 0.000978876473368645 0.000357698623804524 0.000105509557515084 0.000119450606175808 0.000329456601068424 5.67730145960848e-05 0.00010943339762219 0.000102830869789926 0.000777196693350798 5.4806867477902e-05 0.000110426806295789 7.50527986916593e-05 0.000122787565952398 0.000224414320599425 0.000193097395945996 8.72463204405681e-05 7.05857874082546e-05 0.00010515102756156 0.00447931744016142 0.00414422688273621 0.00175932584130136 0.00655380467386826 0.000515243443935367 6.51170535148811e-05 3.01133263495546e-05 9.60245465100285e-05 0.0143240676625175 9.58073638506103e-05
"NDNSBernsteinlem" 0.000487652879704937 0.00874775572320527 9.26766410378276e-05 0.000485491918262697 6.48987034340619e-05 0.00277169554867266 0.106794601761168 5.66479503048782e-05 0.000310391566653905 4.69112930997085e-05 0.0509900647181393 8.47612871310103e-05 0.269768174675295 0.000121642510862698 0.142565956207622 7.85752987409982e-05 0.000225053305901155 0.00111426430159535 0.000348399433264917 0.00149328380079168 0.0296461177529941 9.65665921970681e-05 0.0233249644723908 0.000617964778028837 1.66062727559717e-05 0.000378669648180358 0.00567107074528001 3.99488548774675e-05 0.0294979749165856 7.73042653071112e-05 0.000145797419179026 0.000287612288023869 0.0185954676684003 0.000117273135497965 9.44919052454453e-05 6.92663421261706e-05 0.000205262720586938 6.69290740239574e-05 0.000473906164160163 5.6459917966404e-05 7.87217852141021e-05 0.000322482259941953 0.00909488895671239 0.00614769293275486 6.36896960960269e-05 8.77432188857132e-05 5.96605020175486e-05 6.45525185846415e-05 0.012563187593793 0.000168784723934387 0.000206330481537916 0.000213375348054022 0.0183523000841349 8.38280691373526e-05 0.0022923100878444 0.000711051450378428 8.45328889836084e-05 0.000272500211212589 6.9273402167314e-05 0.000208125945673982 0.000241254882764131 0.00031031995329746 6.49809395595684e-05 0.0118770398672636 0.0688466897578086 0.000424118943117813 2.47107365109798e-05 9.38898094021671e-05 8.58635809073303e-05 7.43398589176608e-05 0.0156756140416984 4.24434142390967e-05 0.000191022612217471 0.000160614482861589 0.000100959340680594 0.00286748195690551 6.3586765665532e-05 5.43246152961173e-05 0.000104713960825721 0.000286270002280827 0.000405069173714944 5.24432604557806e-05 0.00364965804217508 0.000225000419710957 0.000117492215817102 0.000923811435787708 0.0139506663906208 8.34837259859457e-05 6.75416969419023e-05 0.121662420015595 0.000707231689992303 0.00452992802355291 7.85018707008146e-05 0.00234943332495615 7.24466538619322e-05 6.23088082706207e-05 2.88146557103698e-05 0.000215027268215178 0.00174007573816108 0.000214819451799125
"NDNSBoehlaulem" 0.000826679449142822 0.0140895824944131 0.000477461144809378 0.000383439472353848 0.0024662899774536 0.00633460920919229 0.0472688600858869 6.51620687146284e-05 0.000490291798163242 5.39620037089329e-05 0.0604090073612868 0.000839211439509497 0.000551997014109182 0.00171377095839853 0.192114190028027 9.0385071097488e-05 0.000170156271336631 0.00278230145775986 0.00120728044933838 0.000746975159695337 0.048492344211368 0.000111080434197828 0.00218299723707525 0.000133515649164988 1.91021754643311e-05 0.000130021729067302 0.0100453694372642 4.59531194436189e-05 0.0175117285569462 8.89230028759233e-05 0.000167710594925816 0.000124418906579643 0.0724513943421942 0.000134899145910321 0.000108693924306907 7.96769895635185e-05 9.60309725240885e-05 7.69884328926902e-05 7.88082833778161e-05 6.49457753431246e-05 9.05535743103101e-05 9.41934564539743e-05 0.00845616264384657 0.0152474095963882 0.000293492345106422 0.000225504129300989 6.8627403305746e-05 7.42546840455145e-05 0.00659594701582048 6.61296778955629e-05 0.000495638968366405 8.98436366563227e-05 0.0305195084425888 9.64273265306901e-05 0.00556696296217576 0.000157949376946441 9.72380799472916e-05 0.00382275213217242 0.0117930812060326 9.69566030250113e-05 0.000107241367921962 0.000158908325793928 7.47474961747571e-05 0.00987978197287125 0.150095707642268 0.00441965133307495 2.84247303185987e-05 0.000108001334186676 9.87687732575507e-05 8.55130497918695e-05 0.0719019116164538 4.88226080598947e-05 0.000686184058126036 0.000408033520172705 0.000116133407464982 0.000131478192551144 7.31437796308328e-05 0.000267336041755613 0.000120452342476351 0.00194302736344781 0.000131738071142648 6.0325419067183e-05 0.00126332695113929 0.000608073468713971 0.000233215288367284 0.174984298089102 0.000324179979629401 9.60312290201425e-05 7.76931322941767e-05 0.000560836939648452 0.000103290231360607 9.93234929807532e-05 9.0300606911683e-05 0.00712468095596702 0.00104390877454998 7.16737467852771e-05 3.31454636095772e-05 0.000105693342377017 0.00295469247433091 0.000105454291405004
"NDNSBoehmlem" 0.000673465029342008 0.0268797610955802 0.000237558531275684 0.000654729408272372 6.05715952045792e-05 0.00270367662862367 0.187952047646309 0.00217497584907494 0.000324303942427435 4.3783491900511e-05 0.0973068785126722 0.00272724596532872 0.000430240983729721 0.000113532020483739 0.154654111871273 7.33363062214992e-05 0.00129746913963627 0.000336963202961925 0.000734365005386665 0.0108704632568576 0.0102569242696763 9.01280337409107e-05 6.95451399861846e-05 0.000636525982078909 1.5499052800855e-05 0.000752038354801861 0.00357848457961357 3.72852728711747e-05 0.0289935723635123 7.21500186906996e-05 0.00038393496886126 0.000100950554354572 0.0144115678738902 0.00371547481994159 8.81916761318931e-05 0.000147267543716776 7.79172569348199e-05 6.24665912365321e-05 0.00210262985265294 5.26954640907335e-05 0.000400118910426261 7.64263399109291e-05 0.023231305553681 0.00342728940046752 5.94431981919451e-05 8.18929571018638e-05 5.56826498326048e-05 6.02484921615985e-05 0.0295346542547744 0.00231957235912011 0.000434363961058744 7.28969991379949e-05 0.00944481098492095 0.000478796246434272 0.00153972734530825 0.000541253990288423 0.000532079936218737 7.38410095661144e-05 0.000217353445207987 0.000300501451190077 0.00104749966530844 0.2230699105695 0.00848007542806572 0.0104555428754071 0.0654922195397547 8.55076655796489e-05 2.30631530361901e-05 8.762972491001e-05 8.01386436143311e-05 6.93832635115905e-05 0.0304252579046657 0.00225733147959299 0.00109500371360273 0.000463155922840859 0.000256609356996013 0.00308691118158371 5.93471306275676e-05 0.000443286144264627 9.77321781759167e-05 9.18356288542733e-05 0.00154397049244473 4.89466164260633e-05 0.00035709127828748 0.000350883239929119 0.000109658445540337 0.000200418709850996 0.00224005113793433 0.000357546288382385 0.00219797930113883 0.0002672828758844 8.38072476435937e-05 0.00487128667723199 0.000238506816515334 0.00502012668905479 0.000214732691895967 0.000329696550761193 2.68934442337687e-05 0.000314805325178526 0.00504606793241615 0.000235818432212891
"NDNSBoy-Edlem" 0.00449268218773129 0.00694642114271842 8.55800237360143e-05 0.00262688205747808 5.99291527846439e-05 0.00237011173852003 0.101529151890751 5.23101924864677e-05 9.33056850468365e-05 4.33191096699493e-05 0.0622784336476523 0.000581060926086007 0.00098708329862507 0.000112327862235415 0.214192112306928 7.25584770446561e-05 0.000136596450695566 0.00016290227728233 0.000712057154872372 0.000492348434247853 0.0277417301638315 0.00040315843647541 0.0010318824491364 0.0104200270774247 1.53346647084751e-05 0.000104377620433144 0.00890901345203688 3.68898129059814e-05 0.0285155637388126 7.13847716726959e-05 0.000134633133595097 0.00144065356269931 0.0308187668639217 0.000108293067240279 8.72562859768054e-05 6.39623440910534e-05 0.000448996766128509 6.18040498604372e-05 6.326497231197e-05 5.21365585285517e-05 0.00154336199100854 7.56157368123423e-05 0.0225139279530008 0.0010988632336898 5.88127239248213e-05 8.10243732490119e-05 5.50920611881083e-05 5.96094766796548e-05 0.00415042067056846 5.30869606815971e-05 7.14802971243627e-05 0.000398830247252018 0.0503849314367263 7.74090220165693e-05 0.00739311040394519 0.000482308173328466 7.80598710168861e-05 7.30578273382748e-05 6.39688635168964e-05 7.78339096213161e-05 8.60902164275609e-05 0.000735968462447361 6.00050917644558e-05 0.0324668032915159 0.11760772439241 8.46007429303035e-05 2.28185375890013e-05 8.67002949958842e-05 7.92886665919324e-05 6.86473616162739e-05 0.0327944749870886 3.91933539815798e-05 0.000119538118574428 0.000672909975464288 9.32284842767555e-05 0.000105546826486484 5.87176752848807e-05 5.01647644371784e-05 9.6695598293204e-05 9.08615897285386e-05 0.000105755449377267 0.000517125912195268 0.000280365205729973 6.63168231157784e-05 0.000108495371712063 0.00101354877538206 0.000170621296930945 0.207990579017292 6.23697618162422e-05 9.29116863968098e-05 8.29183601906148e-05 7.97339792725939e-05 7.24906716802036e-05 0.00122913828159457 6.68991267666719e-05 5.75375761470032e-05 2.66082034482886e-05 8.48475070442122e-05 0.00436960705528014 0.000755042465649955
"NDNSBuelowHerrlem" 0.000252186353878418 0.0280175001194581 0.00179686543821606 0.000179212342525875 7.49118014344485e-05 0.00147505278286152 0.0779791946224459 6.53880552362515e-05 0.000977937290367378 5.41491476372725e-05 0.0486018603468051 9.78389455397647e-05 0.000253213995364318 0.000140410503408479 0.222784820781144 9.06985327205901e-05 0.000520041399786083 0.000203628826405174 0.080136895377285 0.000173482904349859 0.0663524776280552 0.00156583788762051 8.60098153231753e-05 0.000133978690589734 1.91684231184307e-05 0.000130472653337616 0.00406761880350922 4.61124880122608e-05 0.0246972910944431 8.92313939461979e-05 0.000168292226766766 0.000124850399877458 0.058788733134971 0.000135366985396628 0.000746234849483078 7.9953314825746e-05 9.63640145204045e-05 7.72554340560638e-05 7.90815959074356e-05 6.51710117445068e-05 9.08676203141064e-05 9.45201258185844e-05 0.0156051184807257 0.00548773792030855 7.35162586447272e-05 0.0011522781068669 6.88654078453043e-05 7.45122043804682e-05 0.00649547758867757 6.63590201521619e-05 0.00186503543874331 9.01552205476636e-05 0.0176279900294905 9.67617431098738e-05 0.0191494103177239 0.000158497156214238 9.75753082749071e-05 9.13227235910371e-05 7.99614641472619e-05 9.7292855171363e-05 0.00010761328833807 0.000159459430762071 7.50067256159608e-05 0.0064392131631494 0.160956062623441 0.000105751437507818 2.852330923206e-05 0.00066409979099715 9.9111310134506e-05 8.58096149110721e-05 0.088247601557265 4.89919282117815e-05 0.000149423367199505 0.00479523478640861 0.00111623310682014 0.00146486342225175 7.3397447273116e-05 6.27062572706137e-05 0.000120870079457919 0.00502784930480015 0.000132194947804947 6.05346317562422e-05 0.0221321365023254 8.28964277680496e-05 0.00109136581799556 0.00590719761276661 0.000213277647393242 0.00187135920259091 7.79625774033867e-05 0.000116140166828473 0.000103648448964242 0.000388609347092825 9.06137756071981e-05 0.000433705256563896 0.00496320003670824 7.19223162528707e-05 3.32604143497312e-05 0.000106059894134406 0.00141397874267748 0.000894067878845751
"NDNSBuelowVerzaubertlem" 0.00107896959197465 0.0328616317922691 0.00010196845412075 0.000170824141427484 7.14054845914324e-05 0.000183312472608994 0.0865063833827897 0.000499559591547756 0.000111173566558614 5.16146462001168e-05 0.0658055455565185 0.00150066215692273 0.000632427811775146 0.000133838458635689 0.216367750647038 0.00425340168256251 0.0682365502059577 0.00156891939218534 0.000249341288234145 0.0297050724060996 0.0211147458706832 0.000106248414010007 8.19840455731814e-05 0.00111458251420262 1.82712271686974e-05 0.00088653766595942 0.00813744426104067 4.39541499360867e-05 0.0534235491009899 0.000549714049333032 0.000160415151887218 0.000537046787177965 0.0367954397880105 0.00351582651505129 0.000103965717756966 7.62110252390539e-05 9.18536068048831e-05 0.000920338298262859 7.53801079390082e-05 6.21206216620293e-05 8.66144764637219e-05 0.00696987359933493 0.0818783522583314 0.0059317710426736 7.00752614855934e-05 9.65404042395419e-05 6.56420981023066e-05 7.10245910508367e-05 0.0126425013636136 6.32530242264175e-05 8.5168653614148e-05 8.5935421233817e-05 0.0270490372355894 0.000928312973121132 0.00650855484350098 0.0079364681977123 9.30082048237082e-05 8.70482782066533e-05 0.000603994788607446 9.27389722015216e-05 0.000102576347853301 0.000151995783150446 7.14959657579581e-05 0.00395921841007076 0.138371429478901 0.000100801642690358 2.7188249099159e-05 0.000103303255439773 9.44723126814531e-05 8.17932157283786e-05 0.0329622136539815 4.6698815247316e-05 0.000142429466917849 0.00017671778285658 0.000348372870297884 0.00395754822922499 6.99620111912149e-05 5.97712323236719e-05 0.000115212642481306 0.00086612788096861 0.00478109469808698 5.77012517700671e-05 0.000116258513676353 7.90163830308619e-05 0.00060385462928655 0.000646587021917917 0.000203294987879332 9.18538521433095e-05 0.00138600972209342 0.000110704117830803 9.87970864900151e-05 9.5002901990326e-05 8.63725131954428e-05 0.00145223658045288 0.000312039803916819 6.85559250563269e-05 3.17036295867563e-05 0.00858877094621697 0.0100280518421682 0.000100867009507512
"NDNSBurowlem" 0.00916771135207362 0.0390507056795789 8.68203590997611e-05 0.00156106859120223 6.07977228582801e-05 0.0720492093554605 0.0841491070510768 5.30683388247476e-05 9.46579905937385e-05 4.39469457151391e-05 0.0839490219630275 7.94051802489105e-05 0.000205506128796928 0.000113955861548601 0.12320424066377 7.36100874683188e-05 0.0115637786724008 0.000165263265822967 0.00218898869721043 0.00174707188410157 0.0228006492676032 9.046450235683e-05 6.98047679401499e-05 0.000108735861952508 1.55569143188257e-05 0.000105890394654921 0.00730306630574075 3.74244673441531e-05 0.0401656142218887 7.24193712541561e-05 0.000136584409482156 0.00127341043767037 0.0254831004662022 0.000109862589134326 8.85209158808596e-05 6.48893683411167e-05 0.118064812023688 6.26997933449346e-05 6.41818893566188e-05 5.2892188341024e-05 7.37473173900738e-05 0.000855546163921876 0.0284673895295608 0.00249750632979846 5.96651132808614e-05 8.21986822884224e-05 5.58905259322184e-05 0.0005293066182971 0.0291413628061302 0.000797183249408452 7.2516281183072e-05 7.31691403507406e-05 0.102272925740578 7.85309327533128e-05 0.00919234849928495 0.000128634821120554 7.91912146913213e-05 0.000758905993712134 6.48959822548328e-05 7.89619783736663e-05 8.73379461575397e-05 0.000380048048322914 6.08747624430935e-05 0.017081567701921 0.105953451866964 0.00153129325052734 2.31492530747545e-05 8.79568667662122e-05 8.04378195463843e-05 6.96422871435585e-05 0.0375419593380911 3.97613942887099e-05 0.000121270618161492 0.00422987081923038 9.45796709311746e-05 0.00057590975104012 5.95686870742382e-05 5.08918164830787e-05 9.8097034806609e-05 0.000844075234642201 0.000107288192861613 4.91293453684271e-05 9.89875348490886e-05 6.72779714928293e-05 0.000110067825661742 0.00234640312108817 0.000173094159395258 7.82083488128085e-05 6.32737043232901e-05 9.42582816104171e-05 8.41201193156831e-05 8.08895862690247e-05 7.35412993816408e-05 0.000626346399258263 6.78687146343785e-05 5.83714844275097e-05 2.69938436276427e-05 8.60772258374357e-05 0.00418337513513688 0.00137429067134573
"NDNSDingelstedtlem" 0.000512524864589825 0.0370431158526165 0.000607924569362272 0.000144970054488651 6.05983258894518e-05 0.00347640042568421 0.124208126625917 5.2894291748559e-05 9.4347542841546e-05 4.38028138734698e-05 0.0740498039607593 0.000390874647495621 0.000204832134817691 0.000372524832355511 0.158037229607946 0.000643252614825281 0.000762043284921517 0.000273137427230989 0.000652919827381842 0.00116356566706673 0.018215670142441 9.01678078967667e-05 0.000317293232475641 0.000108379243311925 1.55058926454198e-05 0.00255859044920052 0.00632498301950566 3.73017271328818e-05 0.0465360167378928 7.21818590179463e-05 0.000464949840633567 0.000412724995256059 0.0316677544541962 0.186925222662655 8.82305957590732e-05 0.00037162223556252 7.7951642386189e-05 6.24941581969162e-05 0.00060044899004844 5.27187189817442e-05 7.35054499178154e-05 0.000344064555680309 0.0251529415533648 0.00588989647816671 5.94694309070209e-05 8.19290970585907e-05 5.57072229903782e-05 0.0109879073154084 0.0332462709472944 0.004081613010133 7.22784511134769e-05 0.000389198896560901 0.00780047755415299 0.000613482353102872 0.00615755951623565 0.000701363176229712 0.000278458291181268 7.38735961399155e-05 0.00534882425790457 0.000854959735290151 8.70515057958159e-05 0.00236729181675536 6.0675112809215e-05 0.020871564338299 0.100614260057615 0.00264115040101549 2.3073330973124e-05 8.76683965440346e-05 0.00074142457813506 6.94138828496828e-05 0.0313628063879845 3.96309897089851e-05 0.000374882552642873 0.000149971698354517 0.00064531162067168 0.000469319387496417 5.93733209473295e-05 5.07249076998575e-05 0.000308885706289331 0.000753465991547766 0.00121709285580922 4.8968216923373e-05 0.00365173854577982 6.70573213935507e-05 0.000327720995110796 0.000200507156083219 0.00229700633713368 7.79518505928555e-05 0.000485286983318708 0.000547272881389716 0.000771062338308903 0.00535395743828372 0.000472051257959472 0.0010043541552478 6.76461270876719e-05 0.000759488046329506 2.69053125060261e-05 0.00186662915060371 0.0181254377783322 0.000795040601830205
