"word" "word.freq" "doc.freq"
"1" "sündkind" 3 3
"2" "pechleitner" 1 1
"3" "mundwinkel" 22 22
"4" "lächeln" 511 442
"5" "verfliegen" 8 8
"6" "verzwiefelte" 1 1
"7" "geschicht" 18 12
"8" "frau" 2582 1121
"9" "mutter" 1415 690
"10" "gott" 1247 773
"11" "selig" 146 124
"12" "unbeschaffene" 1 1
"13" "jahr" 1004 714
"14" "zählen" 107 103
"15" "vierzig" 27 26
"16" "rücken" 347 316
"17" "auge" 2437 1527
"18" "helfen" 532 428
"19" "leben" 1750 1119
"20" "bezeugen" 19 19
"21" "damal" 7 6
"22" "zeit" 1531 1081
"23" "red" 80 62
"24" "finger" 240 220
"25" "herzählen" 1 1
"26" "leute" 821 609
"27" "besinnen" 107 98
"28" "früh" 442 389
"29" "mannbar" 1 1
"30" "wundern" 86 85
"31" "alter" 97 94
"32" "anmerken" 8 8
"33" "schwach" 146 125
"34" "dutzend" 62 61
"35" "geschwister" 16 16
"36" "überleben" 14 12
"37" "recht" 1790 1174
"38" "angieb" 1 1
"39" "uebrige" 14 14
"40" "vater" 1290 657
"41" "versterben" 4 4
"42" "gewest" 35 19
"43" "gütel" 1 1
"44" "gehauf't" 1 1
"45" "rechtschaffen" 27 26
"46" "vorwärts" 132 115
"47" "arbeit" 354 288
"48" "vollkräftig" 1 1
"49" "lügen" 90 71
"50" "fehlen" 255 219
"51" "allweil" 23 20
"52" "weib" 669 447
"53" "mann" 2269 1292
"54" "zurückstehen" 2 2
"55" "gethan" 383 314
"56" "ändern" 72 68
"57" "lässig" 6 6
"58" "mitte" 124 120
"59" "unbeholfen" 13 13
"60" "ehrsame" 10 8
"61" "wittib" 4 4
"62" "ausrufen" 38 37
"63" "nachzureden" 1 1
"64" "mer" 86 30
"65" "getrauen" 20 20
"66" "trauen" 53 50
"67" "rathen" 29 26
"68" "pechleitnerin" 1 1
"69" "siech" 2 2
"70" "lent" 1 1
"71" "wassersucht" 2 2
"72" "abend" 688 549
"73" "hundmüd" 1 1
"74" "haus" 2011 1205
"75" "treff" 7 7
"76" "brächt" 7 7
"77" "verwundern" 42 42
"78" "maul" 58 54
"79" "stube" 228 178
"80" "weibsleut" 6 6
"81" "nachbarschaft" 30 29
"82" "hebmutter" 1 1
"83" "kindswäsch" 2 2
"84" "vergessen" 411 363
"85" "schrein" 3 3
"86" "liegen" 1442 1049
"87" "gebrauch" 28 27
"88" "nachtig" 1 1
"89" "besuchweiber" 1 1
"90" "verlieren" 403 348
"91" "stehen" 2659 1656
"92" "fenster" 588 421
"93" "trommeln" 10 9
"94" "scheibe" 51 48
"95" "verlegen" 89 87
"96" "wissen" 3037 1666
"97" "noth" 120 112
"98" "kehren" 216 204
"99" "brennrothem" 1 1
"100" "gesicht" 1072 818
"101" "solltst" 4 3
"102" "schämen" 80 74
"103" "red't" 13 12
"104" "deut't" 1 1
"105" "pfeife" 83 62
"106" "wochenstube" 3 2
"107" "qualm" 7 7
"108" "verursachen" 31 31
"109" "end" 37 34
"110" "überlegt" 3 3
"111" "rede" 287 247
"112" "reden" 610 485
"113" "hintennach" 6 5
"114" "frucht't" 1 1
"115" "ungehörig" 1 1
"116" "dumm" 160 134
"117" "vermahnt" 1 1
"118" "verkehrt" 15 15
"119" "wesen" 298 270
"120" "eingehen" 42 41
"121" "lehren" 85 78
"122" "annähm" 1 1
"123" "vorderher" 1 1
"124" "kränken" 49 47
"125" "welt" 915 691
"126" "geschrieen" 10 7
"127" "kind" 1702 884
"128" "kriegen" 97 78
"129" "brüderl" 2 2
"130" "all" 1580 1108
"131" "lebtag" 32 30
"132" "widerhaarig" 2 2
"133" "zopfen" 2 2
"134" "verstand" 68 63
"135" "denken's" 1 1
"136" "unschuldig" 97 94
"137" "wurm" 16 16
"138" "nachtragen" 1 1
"139" "herz" 1618 1032
"140" "just" 64 60
"141" "bruder" 467 258
"142" "höllsakermenter" 1 1
"143" "auseinander" 51 51
"144" "scheiden" 93 86
"145" "schön" 1332 923
"146" "still" 728 598
"147" "gangen" 24 21
"148" "schlafen" 273 207
"149" "bett" 309 233
"150" "hingefetzt" 1 1
"151" "beugen" 157 146
"152" "sauber" 61 58
"153" "aermel" 23 23
"154" "abwischen" 2 2
"155" "zeichen" 114 111
"156" "freund" 816 559
"157" "schmatz" 3 3
"158" "aber's" 2 2
"159" "richtige" 8 8
"160" "triefen" 107 104
"161" "gehaben" 33 33
"162" "tag" 1807 1205
"163" "unrasirt" 1 1
"164" "kratzen" 10 10
"165" "pferdestriegel" 1 1
"166" "gezetter" 1 1
"167" "anheben" 23 20
"168" "gescheidt" 9 8
"169" "wach" 35 33
"170" "wend't" 2 2
"171" "ent" 23 18
"172" "hinüber" 177 164
"173" "halt" 185 143
"174" "räusper" 1 1
"175" "umwenden" 30 29
"176" "schaden" 91 86
"177" "geschehen" 448 388
"178" "stark" 421 343
"179" "schwäche" 61 56
"180" "drehen" 146 134
"181" "dirn" 17 11
"182" "siebzehn" 18 18
"183" "aussagen" 9 8
"184" "kammer" 88 79
"185" "fensterriegel" 1 1
"186" "hart" 335 296
"187" "schließen" 417 379
"188" "gottverbotene" 1 1
"189" "selb" 43 42
"190" "stund" 54 46
"191" "stück" 222 198
"192" "voreh" 4 4
"193" "getheilt" 10 9
"194" "vergnüglich" 9 9
"195" "vorkommen" 102 101
"196" "sorgen" 183 169
"197" "aufg'schossen" 1 1
"198" "uneins" 1 1
"199" "gleichaltrig" 1 1
"200" "bürschchen" 7 6
"201" "ort" 184 164
