"","Topic aus Model 1","Topic aus Model 2","Übereinstimmende Topic Wörter"
"1","1",69,19
"2","2",75,17
"3","3",1,18
"4","4",68,12
"5","5",41,17
"6","6",82,16
"7","7",74,11
"8","8",73,7
"9","9",18,18
"10","10",3,14
"11","11",46,19
"12","12",40,17
"13","13",48,3
"14","14",65,15
"15","15",92,6
"16","16",96,2
"17","17",61,9
"18","18",80,13
"19","19",98,14
"20","20",64,15
"21","21",36,15
"22","22",9,16
"23","23",35,18
"24","24",78,17
"25","25",32,18
"26","26",53,17
"27","27",57,17
"28","28",17,13
"29","29",15,18
"30","30",37,0
"31","31",67,18
"32","32",94,18
"33","33",76,7
"34","34",39,15
"35","35",12,17
"36","36",19,16
"37","37",88,11
"38","38",34,14
"39","39",55,17
"40","40",11,15
"41","41",83,6
"42","42",22,11
"43","43",70,0
"44","44",79,10
"45","45",30,13
"46","46",29,10
"47","47",58,7
"48","48",52,18
"49","49",7,1
"50","50",84,17
"51","51",99,14
"52","52",59,0
"53","53",93,16
"54","54",56,10
"55","55",4,3
"56","56",71,16
"57","57",27,18
"58","58",43,15
"59","59",8,0
"60","60",97,20
"61","61",5,7
"62","62",42,4
"63","63",16,9
"64","64",24,17
"65","65",85,14
"66","66",31,18
"67","67",25,20
"68","68",95,16
"69","69",90,18
"70","70",81,18
"71","71",87,4
"72","72",47,18
"73","73",6,17
"74","74",49,7
"75","75",60,17
"76","76",100,13
"77","77",28,19
"78","78",63,0
"79","79",13,19
"80","80",50,4
"81","81",10,8
"82","82",91,13
"83","83",54,14
"84","84",66,0
"85","85",77,1
"86","86",44,14
"87","87",23,10
"88","88",21,15
"89","89",2,16
"90","90",51,12
"91","91",89,18
"92","92",26,8
"93","93",20,17
"94","94",38,3
"95","95",62,16
"96","96",33,18
"97","97",72,5
"98","98",86,17
"99","99",45,14
"100","100",14,18
"101",NA,12.6,NA
