"Text" "Topic1" "Topic2" "Topic3" "Topic4" "Topic5" "Topic6" "Topic7" "Topic8" "Topic9" "Topic10" "Topic11" "Topic12" "Topic13" "Topic14" "Topic15" "Topic16" "Topic17" "Topic18" "Topic19" "Topic20" "Topic21" "Topic22" "Topic23" "Topic24" "Topic25" "Topic26" "Topic27" "Topic28" "Topic29" "Topic30" "Topic31" "Topic32" "Topic33" "Topic34" "Topic35" "Topic36" "Topic37" "Topic38" "Topic39" "Topic40" "Topic41" "Topic42" "Topic43" "Topic44" "Topic45" "Topic46" "Topic47" "Topic48" "Topic49" "Topic50" "Topic51" "Topic52" "Topic53" "Topic54" "Topic55" "Topic56" "Topic57" "Topic58" "Topic59" "Topic60" "Topic61" "Topic62" "Topic63" "Topic64" "Topic65" "Topic66" "Topic67" "Topic68" "Topic69" "Topic70" "Topic71" "Topic72" "Topic73" "Topic74" "Topic75" "Topic76" "Topic77" "Topic78" "Topic79" "Topic80" "Topic81" "Topic82" "Topic83" "Topic84" "Topic85" "Topic86" "Topic87" "Topic88" "Topic89" "Topic90" "Topic91" "Topic92" "Topic93" "Topic94" "Topic95" "Topic96" "Topic97" "Topic98" "Topic99" "Topic100"
"NSdAAbout" 8.952873332809e-05 0.0025872348870502 9.78221834404295e-05 0.00219776111411692 5.48251550092149e-05 0.000145818232344166 0.0541756039526794 8.37719344481493e-05 0.000103561972821024 8.17374796374611e-05 0.00591471730502694 0.00844113377055202 0.000101931510180239 0.00358873880757815 5.55541703766088e-05 0.000650612672092817 7.7774711014859e-05 7.85166218525905e-05 0.000792170985572636 4.3768366384397e-05 0.00012162667711269 5.46313769501831e-05 4.72925493135659e-05 0.000124008016253051 0.000444531041840801 0.000499548923002219 0.000531634904799053 9.13400833048279e-05 0.000545254822523241 7.95905437175375e-05 0.00242332219696306 0.00193459708166632 5.18819489675269e-05 6.68268886018716e-05 0.00141373049476241 8.16228043072731e-05 0.00736707347266221 0.000120385445466334 0.000108387502270156 0.282303776370855 0.0713833853087216 7.70322453995012e-05 0.00015043600685212 0.153721532215402 9.57593593806272e-05 0.000772163985691036 0.00151984537416584 0.00108239012466426 8.38664232935579e-05 0.00127466930816462 6.64742562212876e-05 0.00738027598525421 0.0280392367220156 0.0220583066015659 5.91468157306272e-05 0.00246052057584513 0.000433445364270502 9.82901818430646e-05 0.00442764117624035 7.61580340403523e-05 0.0160520231546362 0.000121581328330203 0.00868500679495476 0.000293041539748389 9.16794624922206e-05 0.00070258880770518 0.000460875959511019 7.40224151911212e-05 0.00044771786437678 9.09482638654406e-05 0.00928295451978524 6.01956045280041e-05 0.000680024756693704 0.000104804755902255 6.1360950951906e-05 0.00145074339933369 9.02168705673331e-05 0.00011676115747867 0.000749492268047863 0.000144828584247824 6.32853742531896e-05 0.159180048640914 0.000873793379171467 8.47465088400356e-05 0.000118703355815944 0.000134230312309113 0.000128867142901076 0.000562695566676021 0.000102642931357185 0.000591469142837859 5.03581527171464e-05 0.000124959541459795 0.000182743126047064 0.00959848019849519 7.29105581181927e-05 9.53752222257145e-05 0.0920172091668092 0.0225623123398375 0.000104725968383986 0.000555351136874134
"NSdAAlarcon" 9.34347859054467e-05 0.000319535447387306 0.00010209007127427 0.000141177048388397 5.72171238226566e-05 0.000152180141656412 0.0682837722876982 8.74268234239847e-05 0.00010808028214828 8.53036073054862e-05 8.97946170886851e-05 0.000117915709722301 0.000106378683989728 9.80275600045622e-05 5.7977945429778e-05 0.000122211846562537 8.1167946897014e-05 8.19422265914484e-05 9.6775509988269e-05 4.56779381382602e-05 0.000126933132123846 5.70148914131746e-05 4.93558777810766e-05 0.000129418366801886 8.08818087324629e-05 0.000138300067164089 0.000140948833559196 9.53251633405448e-05 0.000166730267939726 8.30630026350766e-05 9.85291022116078e-05 0.000476355590922334 5.4145508530469e-05 6.97424815155286e-05 9.81076402003015e-05 8.51839288008715e-05 0.000544423537160393 0.00012563774673387 0.000113116344808831 7.87179399418947e-05 0.0528000377423161 8.03930882205387e-05 0.000156999385227402 0.109400139779543 9.99372481835884e-05 0.000205736962042831 0.000114493332984243 0.000125953385324852 8.7525434726893e-05 0.000346494364023316 6.93744641231407e-05 0.00031117392227625 0.00145432582059673 0.0666270544898183 6.1727334447232e-05 0.0140351337214274 5.88411525505147e-05 0.000102578487997358 0.000271738441634557 7.94807358601087e-05 0.000749137432317698 0.00012688580481757 0.00518854713327599 9.14911928142601e-05 9.56793493156618e-05 0.000115970446518107 8.74685182942508e-05 7.72519420133076e-05 9.60604104228425e-05 9.49162491956459e-05 0.0267478772905241 6.28218808917107e-05 0.000119421058684406 0.000109377286660744 6.40380702599209e-05 0.000279494668312898 9.41529459109794e-05 0.000121855334545081 0.000171898971166723 0.000151147316164906 6.60464543000252e-05 0.119139551439721 0.000107289147638591 8.84439175597984e-05 0.00012388226912891 0.000140086651808891 0.000134489492474824 0.00845363297347513 0.000107121143788784 0.00369041046727256 5.25552305144039e-05 0.000130411406138765 0.00382925570622779 0.000534464028347341 0.368178903080732 9.95363514938512e-05 0.140509582562964 7.9481545633709e-05 0.000109295061718786 0.000150909637889731
"NSdAAnonymJungfrau" 8.89266371987803e-05 0.000304118134660428 9.7164312432758e-05 0.000134365376247925 0.276914609639026 0.000144837579652974 0.0423135298393788 8.32085537813953e-05 0.000102865500742605 8.11877810292066e-05 8.54621034218415e-05 0.00011222637732721 0.000101246003243496 9.32978138659084e-05 5.5180559026293e-05 0.000116315229230126 7.72516627071317e-05 7.79885840668813e-05 9.21061741947232e-05 4.34740165929208e-05 0.000120808716791035 5.42639715443675e-05 4.69744987857813e-05 0.00451313713921704 7.69793304649033e-05 0.00112876260335036 0.000134148172589533 9.0725805535398e-05 0.000158685674756463 7.90552836225871e-05 9.37751570893515e-05 0.00233821827790773 5.15330339377574e-05 6.63774662827425e-05 9.33740302605232e-05 8.10738769103365e-05 0.000518155565963754 0.000119575832640975 0.00110479397411342 7.49198664973896e-05 0.0379382557312589 7.65141903007307e-05 0.00014942429883317 0.175375119657249 9.51153612195345e-05 0.00359894768240896 0.000108969127346985 0.000119876241939228 8.33024071730678e-05 0.00662299017878072 6.60272054155657e-05 0.000296160046002401 0.0169955539933691 0.036793405910643 5.87490432224214e-05 0.00133351219802756 5.60021171398936e-05 0.002417593286636 0.000258627293657549 7.56458581633241e-05 0.000712992190330029 0.00012076367298691 0.00798760008510228 8.70768208160799e-05 9.10629023393871e-05 0.00011037497141303 0.000982278790082906 7.35246017181504e-05 9.1425577573246e-05 0.0032369435572552 0.0242625931833474 5.9790778734759e-05 0.000113659094486172 0.000104099925893874 6.09482880035371e-05 0.0890451640603582 8.96101465967396e-05 0.000115975918613355 0.00129798411021626 0.000143854587110285 6.28597692271459e-05 0.073203715967607 0.000102112537798058 8.41765739928831e-05 0.00163041054567125 0.000133327590373115 0.000128000489201737 6.22853770847599e-05 0.000101952639990673 0.00495500898296015 0.000782991134148112 0.000884396645733841 0.00018151414709516 0.00576999364579774 7.24202220752611e-05 9.47338074530547e-05 0.166080346717391 7.5646628866039e-05 0.000104021668235216 0.00211786966144405
"NSdAAnynomUrtheil" 8.99336236894158e-05 0.000307561904298043 9.82645806209384e-05 0.000135886901439396 5.50730997303815e-05 0.00014647768986788 0.0147658679418081 8.41507899009945e-05 0.000104030327985187 8.21071343442132e-05 8.6429858262438e-05 0.000113497205162618 0.000102392491637847 9.43542986395178e-05 5.58054120426169e-05 0.00144024264493232 7.81264442481375e-05 7.88717103499948e-05 9.31491650919375e-05 0.0022952606268997 0.000122176729229059 5.48784453172964e-05 4.75064281060807e-05 0.00078587398117193 0.000724614107919779 0.000133117725652444 0.000135667238212572 9.17531654289466e-05 0.000160482597880632 7.995048898657e-05 9.48370471969817e-05 0.000458505727189355 0.00101695700588136 6.71291107161189e-05 9.44313780925161e-05 8.19919403991163e-05 0.00797609882202089 0.000120929884158822 0.00010887768071149 7.57682432697447e-05 0.022621958598943 7.73806208596928e-05 0.000151116348089023 0.152670831133988 9.61924275161706e-05 0.000198027644030648 0.000110203070770365 0.00012123369522863 0.00133646743566198 0.00033351062393519 6.677488356873e-05 0.000903137410590399 0.00467032583677377 0.0257234469099957 0.482284744393831 0.000219322622982598 0.000660259983975571 9.87346955289154e-05 0.00507482962235699 7.65024559122385e-05 0.00520153495402346 0.000122131175358393 0.00105570212161801 8.8062860376007e-05 9.20940794460716e-05 0.000111624834318211 8.41909223927207e-05 7.43571788063185e-05 9.24608615378135e-05 9.13595740007409e-05 0.00969471333666264 6.04678369070578e-05 0.000114946146108619 0.000105278731506606 6.163845356675e-05 0.00328714007546256 0.00106076949262383 0.000117289205463747 0.00337564114932945 0.000145483566124888 6.35715800007245e-05 0.119827305079965 0.000775917037628971 8.5129771769263e-05 0.00011924018732065 0.000134837363896144 0.00012944993975425 6.2990683562821e-05 0.000103107130190563 9.18943871509693e-05 5.05858955868531e-05 0.000125524666331018 0.000183569575027012 0.00505873632385048 7.32402934011969e-05 9.58065531152848e-05 0.116533990518781 7.65032353422285e-05 0.000105199587674721 0.00103248162098443
"NSdABalzacBlutrache" 8.42288157267904e-05 0.000288052164462593 9.20313105827341e-05 0.000127267114472676 5.15796181494172e-05 0.00013718609171777 0.052141474294657 7.88128075469608e-05 0.00688305353247382 0.000834824613961469 8.09473065382138e-05 0.00234818439250751 0.00100655590784233 0.00102022436658571 5.2265477300548e-05 0.000981841932927444 0.0104370225781451 7.38685986908402e-05 0.00733997996914672 4.11773687598611e-05 0.000114426626996322 5.13973113544995e-05 4.44929272793887e-05 0.00011666699573807 7.29126619958252e-05 0.00112516723397804 0.000349405499767911 0.0066915939005517 0.00119127165043384 7.48789465814566e-05 0.000618198119349961 0.000807131198979259 0.000393833899162485 0.000574912728441178 0.0477584119701249 7.67909015076406e-05 0.00278669323023256 0.0001132588737206 0.0222126167211614 0.000288469948690008 0.102588580460663 7.24720942828278e-05 0.00125319564275641 0.117833213152388 0.000277971069960148 0.00426832981621643 0.000476111861523765 0.000113543412979276 0.000640488328970219 0.00149587340737249 6.25391164344951e-05 0.00346023239576356 0.0282128239970598 0.0301758472413217 0.00024712341087396 0.00200058191923014 0.000430753746490823 0.00548892506255898 0.00153849786622883 7.16496344452002e-05 0.0123993496652505 0.000114383962768856 0.00380060277185388 8.24767215496701e-05 0.0051818064902598 0.0828935421466053 0.000302437339834627 0.000484146347819062 8.65957419363423e-05 0.000463274425360081 0.0135485107780753 5.66321480587865e-05 0.000386852616349575 9.86005290595644e-05 5.77285083617632e-05 0.00118261623843493 8.48762166512125e-05 0.000109849136156962 0.000461238706315572 0.000136255028761303 0.000302108321296023 0.0962661475383107 0.124870187824948 0.00643716376643955 0.000111676360331525 0.000955723779548063 0.00171050471647817 5.89949616245901e-05 9.65666800987719e-05 8.60652010242111e-05 4.73770532417805e-05 0.000402055431470058 0.00177271492603747 0.00237260747489936 0.00593178319986292 8.97292044589991e-05 0.16341681732541 0.0011833155037546 0.000681329853377401 0.00100349211216165
"NSdABalzacCapitaen" 0.28097327694029 0.00194794535503355 0.000344413924154794 0.00187747548896869 5.18250548192688e-05 0.000982641556702655 0.024194629417256 0.000354888274129231 0.00105586153281545 0.000995784326447516 8.13324865388225e-05 0.00202516185801889 0.00354697784958948 8.87895673816433e-05 5.25141775654411e-05 0.0170921090987792 0.000349219226168648 7.42200953385424e-05 8.76555089670334e-05 4.13733073228879e-05 0.0139623544416821 5.16418805349387e-05 4.47046426098854e-05 0.000805578067241554 7.32596099103759e-05 0.000682505709530329 0.000516758425851669 0.00543675880253603 0.000542718528471223 7.523525087277e-05 8.9243844888756e-05 0.00535398202240707 4.90429046469756e-05 0.000951545893037563 0.00386537655796623 0.00142433869808305 0.00461264238972455 0.00011379780521708 0.000102456404289788 7.12996613634954e-05 0.107793613875498 0.000370336368139396 0.000422306191760036 0.155748629431024 0.00151724100753229 0.000186348572313198 0.000606869360117497 0.000785743013658386 7.92771490377748e-05 0.000469646880814888 6.28367028266369e-05 0.015308421336504 0.0313853907962539 0.0220903139605099 5.59102289288509e-05 0.00236994408342447 5.32960371445982e-05 9.29116217064328e-05 0.00476844748144499 7.19905723641931e-05 0.0082358750055721 0.0012822055413894 0.00421291741241013 8.286917912504e-05 8.66626490825577e-05 0.000105041539082677 7.92255963373815e-05 6.99718172158335e-05 0.0219147333198639 0.000846977487954669 0.0132323100060841 0.000486193639566277 0.000108166969945521 9.90697102277513e-05 5.80032039364137e-05 0.00130325029054113 0.0015319869809013 0.000110371842744016 0.000435801659663719 0.000557056728739675 0.000493834387090201 0.117375372723312 9.71783547721926e-05 0.000561785292088596 0.000559487714760223 0.000721923908530636 0.00275694654774604 5.92756834957218e-05 0.000356421137501737 0.000646679192011205 4.76024924092703e-05 0.000118121601028872 0.000861994304982472 0.00640074960853462 6.89208023350543e-05 9.01561722792541e-05 0.0918120301868245 0.00119912457431145 0.00111728810729043 0.000533605370156077
"NSdABarilli" 9.54768637149444e-05 0.000326519101709775 0.000104321315955777 0.00113251885917174 5.84676411513929e-05 0.000155506137294024 0.0210311039186935 0.000499801716573719 0.000607641595389533 0.000497632096190703 0.297275202829801 0.00106779152115229 0.000108703659081969 0.000100170015868988 5.92450910078953e-05 0.000124882865685711 8.29419249887348e-05 0.00248531302438961 9.88906014880222e-05 4.66762590842743e-05 0.000129707338003255 5.82609888215166e-05 0.00129459402259003 0.000132246889096088 0.00197112539956139 0.00014132270477674 0.000144029361678318 9.74085565742112e-05 0.000170374266018513 8.48783983983098e-05 0.000100682519606064 0.00115011172283561 5.5328893716003e-05 7.12667486554597e-05 0.000100251846269313 8.70456787802221e-05 0.00707898732107003 0.000128383641125924 0.00011558857584556 8.04383715435403e-05 0.0572294389001304 8.21501312736291e-05 0.00196727771853092 0.111154456470066 0.000102121441521009 0.000210233476705007 0.00135999353053584 0.000869898399363806 8.94383598359985e-05 0.00107738876736679 7.08906880044158e-05 0.00388601177840649 0.0188748263199562 0.0240405125473692 6.30764253526438e-05 0.00495745497466914 6.01271640797782e-05 0.000104820407342935 0.00121116712339919 0.00123129535648313 0.0141094748072101 0.000129658976328023 0.000804560779389167 9.34907921369316e-05 9.77704835133944e-05 0.000118505055797694 8.93801994578283e-05 7.89403332799781e-05 9.81598729580726e-05 0.000539220753148646 0.0106691513536647 6.41948938191411e-05 0.000122031083329541 0.000111767798158026 6.54376637943159e-05 0.00139117832496221 9.62107195729025e-05 0.0012520626780728 0.00017565593460484 0.000154450738731934 0.000804132217496148 0.25536657157205 0.000855432744431478 9.03769167065689e-05 0.00158970714873759 0.000143148336387002 0.000137428847507663 0.000604141811161875 0.000109462345821188 9.75584827814962e-05 5.37038591430937e-05 0.000133261631951353 0.000605348378753854 0.00205317449559209 7.7754606393466e-05 0.000598910931592558 0.136327536089132 8.12186663327111e-05 0.00113143299555829 0.00108497441678564
"NSdABernhard" 9.170701818974e-05 0.00100616611936114 0.000100202252647272 0.000138566445238398 0.000370889491620536 0.000149366072643703 0.0646034425469396 8.58101531278532e-05 0.000106081694359047 8.37261988776991e-05 0.000428348620687678 0.000115735248190137 0.00489880159538118 0.000589800265845651 5.69058348516263e-05 0.000369890476343207 7.96670138468675e-05 0.000465142613844003 9.49859666162964e-05 4.48332755634971e-05 0.000124585923152243 5.59605893377367e-05 0.000761882355479773 0.00012702520162456 0.000555297963999171 0.000135742664278101 0.000369156937137499 0.000429886538829773 0.000989738994745226 8.15270267891238e-05 9.67071319442274e-05 0.000800818135868624 0.000283958752861729 6.84528247050797e-05 9.62934634805755e-05 8.36087334316849e-05 0.00275766474870043 0.000473660331260537 0.000111024631676666 7.7262311677105e-05 0.113998067716302 0.00178600280168826 0.000154096200224589 0.146491954600438 9.80892389080826e-05 0.000201932536555038 0.000257725683140824 0.000325869879051765 0.00329353337884865 0.00512180893965926 6.80916125786666e-05 0.00304166397263096 0.029176815708967 0.02108315791607 6.05858913048195e-05 0.00279557901995424 5.77530798081569e-05 0.000100681637716488 0.0278364029883797 0.000536954545456866 0.0172700564759539 0.000348755537335478 0.000330926225155993 8.9799365432369e-05 9.39100758143054e-05 0.000113825956202981 0.000278177865308962 7.58234225374745e-05 0.00030752718180953 9.31610867102075e-05 0.0226289096543777 6.16601977284988e-05 0.000659161348689814 0.000626351697036426 6.28538976918667e-05 0.00156381338420061 9.24118981983183e-05 0.000119602022665855 0.0583496740033892 0.000148352345847858 6.48251433035837e-05 0.130205407160888 0.000105305189268705 8.68084394674627e-05 0.107295812805004 0.000344001811745989 0.000999771249398945 0.00428462033937347 0.0264028227291371 0.000555335419099374 0.000901189412454884 0.00012799987797928 0.00176583798291162 0.0112797184874219 0.000648344300745479 0.00165527261685035 0.168465654792792 7.80117970041209e-05 0.00189311821035785 0.000678297079868983
"NSdABeyleSanFrancisco" 0.00113675745305324 0.000285829512466366 0.278768826743727 0.00121977091551398 5.1181622385496e-05 0.00013612754407179 0.0219874931218063 7.82046765705824e-05 9.66795221195775e-05 7.63054261651162e-05 8.03227054601345e-05 0.00010547746767262 9.51574156489203e-05 8.76872031365261e-05 5.18621893486155e-05 0.000109320430037434 7.26060125071152e-05 7.32986179422316e-05 8.65672245905878e-05 4.08596382507213e-05 0.000113543694658739 5.100072229607e-05 4.41496134430909e-05 0.00011576677639254 7.23500573924623e-05 0.00285742612894244 0.00012608096130911 8.52698665709507e-05 0.000149142862202811 7.43011698429787e-05 8.81358405746986e-05 0.00229060441893807 4.84340139162984e-05 6.23857529822527e-05 0.00531954863326091 7.61983718495264e-05 0.000486995466306288 0.000112384951935512 0.000101184359835659 7.04144425287392e-05 0.152086747714 7.19128891634042e-05 0.000140438433682367 0.140061054948628 8.93954494223043e-05 0.000184034967130691 0.000102416097541344 0.000112667295648279 7.82928859409806e-05 0.00030994468986436 6.20565556030402e-05 0.00132601168086643 0.0250723923871767 0.0349389371085125 5.52160771368665e-05 0.00727297700802339 5.26343417733153e-05 9.17580802178839e-05 0.000243074334712641 7.10967755443629e-05 0.0105101603745133 0.000113501359634597 0.00317160891210642 8.18403192850432e-05 8.55866915286131e-05 0.000103737398964063 0.0223066055287551 6.91030841907804e-05 8.59275567170481e-05 8.49040863996654e-05 0.00971386902663086 5.61951662462445e-05 0.00010682402613256 9.78397131734828e-05 5.72830668751877e-05 0.00271002367482067 8.42212995367239e-05 0.000109001524398103 0.000153766349003839 0.000135203665331219 5.90795981699846e-05 0.118711567925275 0.00173620055843057 7.911448336463e-05 0.000110814649447716 0.000125309726094482 0.000120302978527868 5.85397480022003e-05 0.00339114004550287 8.54011095350217e-05 4.70114850740854e-05 0.000116655065788414 0.00796063420518076 0.00177762052959181 0.00259457679843008 8.90368409914904e-05 0.131246075942877 0.00116458331232965 0.00114542784654627 0.000134991058354208
"NSdABeyleVanina" 8.92940006124077e-05 0.000305374472239517 9.75657063752531e-05 0.000134920450912239 5.46814105704787e-05 0.00254912043870375 0.0358211500621335 8.35522953117514e-05 0.000103290446773262 8.1523174577453e-05 8.58151545552004e-05 0.000112689993925933 0.000101664258993846 9.3683234977798e-05 5.54085145542239e-05 0.000116795737219777 7.75707958197113e-05 7.83107614635452e-05 9.24866725429593e-05 4.3653611409983e-05 0.000121307787755533 5.44881405723603e-05 4.716855438904e-05 0.000123682883333826 7.72973385500974e-05 0.00073966308798649 0.00131735620569427 9.11006014646658e-05 0.000159341218618331 0.000667578447220858 9.41625501462236e-05 0.000455244757242636 0.00123439977695992 6.66516771757853e-05 9.37597662287459e-05 8.14087999110929e-05 0.00331968327018838 0.00012006981045741 0.000108103324310654 7.52293667638111e-05 0.11344086130776 7.6830276852806e-05 0.000150041583172569 0.1215907983895 9.55082907723287e-05 0.000196619238077331 0.000109419287972228 0.000711698388635224 8.36465364196744e-05 0.00128405692210381 6.62999693515225e-05 0.0030472046329111 0.012456698141409 0.0560587120765624 5.89917404585407e-05 0.00443078166582026 5.62334665934537e-05 9.80324777468346e-05 0.0002596957047484 7.59583575623459e-05 0.0172858736152442 0.000121262557871666 0.00558450323868031 8.74365424827309e-05 9.14390908438892e-05 0.000110830939698288 0.314746670152493 7.382833802848e-05 9.18032643196265e-05 9.07098093249805e-05 0.0083876513777215 0.00103525941803791 0.00102536680678491 0.0001045299714386 6.12000705047203e-05 0.000267108195750055 0.000725259188239225 0.000116455024882326 0.000164280858439243 0.000144448862502356 6.3119448217947e-05 0.127144599047444 0.000703455503983966 8.45243144961067e-05 0.000118392131027706 0.000133878377856743 0.000128529269982619 0.000973780860238329 0.000102373814916826 9.12408187940189e-05 5.02261201784895e-05 0.00012463191376501 0.00103739758740896 0.00647192666107443 7.27193961004494e-05 9.51251607751654e-05 0.14657328763119 0.000676880262157369 0.0013194356265243 0.000144221717506588
