"word" "word.freq" "doc.freq"
"1" "regiments-album" 3 2
"2" "edmond" 1 1
"3" "about" 1 1
"4" "französischen" 51 46
"5" "hertz" 1 1
"6" "stattliche" 10 8
"7" "schlanke" 8 8
"8" "hübsche" 47 46
"9" "frau" 1518 749
"10" "fünfundvierzig" 3 2
"11" "jahren" 263 233
"12" "eiligen" 2 2
"13" "schrittes" 12 12
"14" "straße" 148 118
"15" "dizier" 1 1
"16" "eilig" 42 42
"17" "führer" 40 32
"18" "kellner" 8 7
"19" "hotel" 17 14
"20" "l'europe" 1 1
"21" "folgen" 113 105
"22" "vermochte" 113 104
"23" "augustsonne" 1 1
"24" "senkrecht" 4 4
"25" "kopf" 557 434
"26" "fiel" 287 260
"27" "sonnenschirm" 9 7
"28" "schwang" 26 26
"29" "aufzuspannen" 1 1
"30" "lande" 96 90
"31" "gebräunte" 2 2
"32" "teint" 13 13
"33" "sommertoilette" 1 1
"34" "schwere" 42 39
"35" "seidenkleid" 2 2
"36" "bunt" 6 6
"37" "gesticktes" 4 4
"38" "crêpe-de-chine-tuch" 1 1
"39" "überladener" 1 1
"40" "überjähriger" 1 1
"41" "hut" 86 81
"42" "brillanten" 1 1
"43" "prallem" 1 1
"44" "sonnenschein" 25 24
"45" "spazieren" 47 45
"46" "führt" 62 57
"47" "wackern" 11 11
"48" "damen" 152 114
"49" "erkennen" 96 93
"50" "französisch" 36 28
"51" "patois" 2 2
"52" "vergessen" 232 197
"53" "madame" 198 93
"54" "humblot" 32 14
"55" "keuchende" 1 1
"56" "bitte" 208 183
"57" "augenblick" 455 379
"58" "drehte" 99 90
"59" "heldin" 9 8
"60" "sturmschritt" 1 1
"61" "erobern" 5 5
"62" "zaghafter" 1 1
"63" "furchtsamer" 2 2
"64" "confirmandin" 1 1
"65" "schilderhaus" 1 1
"66" "voltigeur" 2 2
"67" "stehen" 299 263
"68" "sapeur" 4 3
"69" "hause" 543 414
"70" "oberst" 216 95
"71" "wohnt" 27 26
"72" "schildwache" 5 5
"73" "ordonnanz" 3 3
"74" "aushängeschild" 2 2
"75" "merken" 26 26
"76" "heißt" 175 151
"77" "vautrin" 37 20
"78" "stattlicher" 4 4
"79" "mann" 1085 708
"80" "stattlich" 6 5
"81" "sonntag" 46 40
"82" "famöses" 1 1
"83" "diner" 28 25
"84" "ball" 37 30
"85" "morgens" 70 64
