"","Topic aus Model 1","Topic aus Model 2","Übereinstimmende Topic Wörter"
"1","1",86,15
"2","2",6,11
"3","3",60,2
"4","4",83,15
"5","5",35,0
"6","6",85,15
"7","7",84,5
"8","8",50,14
"9","9",45,5
"10","10",30,13
"11","11",63,18
"12","12",26,0
"13","13",90,14
"14","14",95,14
"15","15",44,16
"16","16",11,18
"17","17",49,0
"18","18",73,11
"19","19",31,2
"20","20",38,12
"21","21",13,6
"22","22",53,10
"23","23",92,14
"24","24",36,19
"25","25",66,10
"26","26",71,14
"27","27",41,17
"28","28",15,15
"29","29",54,12
"30","30",72,14
"31","31",93,15
"32","32",22,18
"33","33",47,0
"34","34",76,16
"35","35",56,13
"36","36",23,14
"37","37",21,1
"38","38",25,18
"39","39",70,16
"40","40",100,15
"41","41",40,16
"42","42",19,4
"43","43",62,16
"44","44",64,18
"45","45",37,17
"46","46",58,5
"47","47",57,0
"48","48",55,19
"49","49",5,1
"50","50",67,11
"51","51",68,10
"52","52",91,12
"53","53",61,17
"54","54",97,18
"55","55",33,16
"56","56",42,15
"57","57",98,13
"58","58",87,7
"59","59",75,12
"60","60",29,15
"61","61",89,0
"62","62",81,3
"63","63",39,12
"64","64",34,7
"65","65",74,6
"66","66",59,12
"67","67",77,16
"68","68",20,17
"69","69",99,16
"70","70",10,16
"71","71",48,19
"72","72",28,7
"73","73",88,18
"74","74",27,13
"75","75",96,17
"76","76",80,18
"77","77",79,6
"78","78",7,15
"79","79",14,9
"80","80",94,16
"81","81",52,1
"82","82",4,17
"83","83",18,14
"84","84",3,5
"85","85",8,17
"86","86",65,5
"87","87",2,12
"88","88",16,2
"89","89",51,12
"90","90",78,18
"91","91",12,1
"92","92",1,19
"93","93",69,1
"94","94",24,19
"95","95",46,17
"96","96",32,16
"97","97",82,17
"98","98",9,0
"99","99",17,10
"100","100",43,19
"101",NA,11.64,NA
