"word" "word.freq" "doc.freq"
"1" "regiments-album" 3 2
"2" "edmond" 1 1
"3" "abouten" 1 1
"4" "französische" 19 19
"5" "hertz" 1 1
"6" "stattlich" 32 25
"7" "schlank" 48 46
"8" "hübsch" 271 226
"9" "frau" 1703 830
"10" "fünfundvierzig" 3 2
"11" "jahr" 826 558
"12" "eilig" 61 58
"13" "schritt" 324 263
"14" "straße" 198 160
"15" "dizier" 1 1
"16" "führer" 47 35
"17" "kellner" 8 7
"18" "hotel" 21 17
"19" "l'europe" 1 1
"20" "folgen" 327 293
"21" "vermögen" 268 224
"22" "augustsonne" 1 1
"23" "senkrecht" 7 6
"24" "kopf" 709 528
"25" "fallen" 620 511
"26" "sonnenschirm" 10 10
"27" "schwingen" 52 51
"28" "aufspannen" 1 1
"29" "land" 252 205
"30" "gebräunt" 9 8
"31" "teint" 15 14
"32" "sommertoilette" 1 1
"33" "seidenkleid" 2 2
"34" "bunt" 34 34
"35" "gesticktes" 4 4
"36" "crêpe-de-chine-tuch" 1 1
"37" "überladen" 4 4
"38" "überjähriger" 1 1
"39" "hut" 107 98
"40" "brillant" 3 3
"41" "prall" 1 1
"42" "sonnenschein" 27 26
"43" "spazieren" 56 55
"44" "wackern" 11 11
"45" "dame" 453 275
"46" "erkennen" 275 244
"47" "französisch" 97 80
"48" "patois" 2 2
"49" "vergessen" 323 277
"50" "madame" 198 95
"51" "humblot" 32 16
"52" "rufen" 1130 757
"53" "keuchend" 2 2
"54" "bitte" 104 100
"55" "augenblick" 658 513
"56" "drehen" 135 122
"57" "heldin" 11 9
"58" "sturmschritt" 1 1
"59" "erobern" 12 12
"60" "zaghaft" 4 4
"61" "furchtsam" 10 9
"62" "confirmandin" 1 1
"63" "schilderhaus" 1 1
"64" "voltigeur" 2 2
"65" "stehen" 1487 944
"66" "sapeur" 4 3
"67" "haus" 1163 727
"68" "oberst" 336 114
"69" "wohnen" 142 128
"70" "schildwache" 5 5
"71" "ordonnanz" 3 3
"72" "aushängeschild" 2 2
"73" "merken" 115 104
"74" "vautrin" 37 18
"75" "mann" 1612 929
"76" "sonntag" 65 53
"77" "famöses" 1 1
"78" "diner" 28 27
"79" "ball" 84 63
"80" "uhr" 234 167
"81" "eis" 17 16
"82" "thee" 56 48
"83" "punsch" 3 3
"84" "gehören" 392 341
"85" "verheirathet" 52 47
