"Text" "Topic1" "Topic2" "Topic3" "Topic4" "Topic5" "Topic6" "Topic7" "Topic8" "Topic9" "Topic10" "Topic11" "Topic12" "Topic13" "Topic14" "Topic15" "Topic16" "Topic17" "Topic18" "Topic19" "Topic20" "Topic21" "Topic22" "Topic23" "Topic24" "Topic25" "Topic26" "Topic27" "Topic28" "Topic29" "Topic30" "Topic31" "Topic32" "Topic33" "Topic34" "Topic35" "Topic36" "Topic37" "Topic38" "Topic39" "Topic40" "Topic41" "Topic42" "Topic43" "Topic44" "Topic45" "Topic46" "Topic47" "Topic48" "Topic49" "Topic50" "Topic51" "Topic52" "Topic53" "Topic54" "Topic55" "Topic56" "Topic57" "Topic58" "Topic59" "Topic60" "Topic61" "Topic62" "Topic63" "Topic64" "Topic65" "Topic66" "Topic67" "Topic68" "Topic69" "Topic70" "Topic71" "Topic72" "Topic73" "Topic74" "Topic75" "Topic76" "Topic77" "Topic78" "Topic79" "Topic80" "Topic81" "Topic82" "Topic83" "Topic84" "Topic85" "Topic86" "Topic87" "Topic88" "Topic89" "Topic90" "Topic91" "Topic92" "Topic93" "Topic94" "Topic95" "Topic96" "Topic97" "Topic98" "Topic99" "Topic100"
"NSdAAboutlem" 3.13842743634641e-05 0.00190399844058832 0.00139765894557512 0.000150187239558639 0.0419428225185784 0.00129696796721348 0.0444967431580657 7.67394598027829e-05 7.9756902811085e-05 0.000704063128323736 0.00165757758014554 0.000162208324229122 0.00137660996143402 0.00015896893033013 6.46609210786772e-05 0.00176056755471082 4.26060755338087e-05 0.000119672292428793 0.0166945877430031 5.2486274480894e-05 0.000100618738687355 0.000114188155471963 0.00119611794100773 0.00141105118797827 5.99296817960299e-05 0.00152149155534451 0.000210231504628023 7.96054768940174e-05 0.00656640367481717 8.00369655051979e-05 0.00186183051124684 8.04118747927665e-05 0.00103376384954708 0.00043727605758929 0.000116556193426139 0.00719014301989724 0.000116855252035936 0.0103494771840292 8.02801494481221e-05 0.0010487661905458 0.000101328275333787 0.000104477701228539 4.4614788674601e-05 0.000102028050899474 6.31724669615925e-05 0.000981225098592645 0.000838858509893184 0.00473678825182435 0.000115232666344297 0.0756194162102665 0.000205153055256375 0.000111447728942559 6.74362362297781e-05 9.53123370811088e-05 7.18925423543876e-05 5.72925039204069e-05 0.0398212354846648 0.000128699119475321 0.0996041020070789 0.000594964694740592 0.000137011520871973 0.000127139412278664 0.000153064128559554 0.000122972634305094 0.0016439092043942 0.0208199761451184 7.12104799730739e-05 0.0676916652039463 0.00222950735781242 0.000129902970377988 0.200047612471674 0.00137548954226308 0.0070390360118695 6.87640807423343e-05 0.00110448294931969 9.13086934825625e-05 0.000985592026822302 0.00383841335387401 0.000437895897579613 8.60759368260091e-05 0.0232134972732964 0.00366346078535335 8.71266802496626e-05 4.19839898710579e-05 0.000100676655247354 0.000125940846682051 0.0013354214905947 0.190998102361929 0.0364659148242508 0.0338340572052429 6.49256610821806e-05 0.00964358036146508 0.000298687228690702 0.000511653550658903 5.11004518993946e-05 4.95550843082687e-05 6.17580892165697e-05 9.08694802779527e-05 0.0197747639992945 9.59133715903155e-05
"NSdAAlarconlem" 3.25751211028305e-05 0.000220199743686705 0.000110031996851736 0.000155885952947757 0.0150746826840079 0.000399457780394141 0.00429207887677128 7.96512663473136e-05 8.27832033893489e-05 0.00029210736838726 0.0003965348959082 0.000168363166357039 0.000161828266388162 0.000165000856706755 6.7114418844444e-05 0.000151289286430591 4.42227229521635e-05 0.000124213144881868 0.00802840986816462 5.44778167451251e-05 0.000104436621984491 0.00258491447048622 0.000136453940518695 9.44110641831035e-05 6.22036571421399e-05 0.000127102100542357 0.000218208541117668 8.26260317584404e-05 0.000550745824847809 8.30738927986836e-05 0.00506106505569212 8.34630276661553e-05 0.000122007225142153 9.08378310472084e-05 0.00012097880843667 0.000401155663713154 0.000121289214543823 0.0911293934873887 8.33263041273406e-05 7.85383316161511e-05 0.000105173081330874 0.000108442009225711 4.63076548216839e-05 0.000105899409221494 6.55694867374112e-05 0.000110881124016484 6.26703625725801e-05 6.1934352539975e-05 0.000119605061365937 0.0320563117865008 0.000212937394766467 0.000115676508078379 6.99950407157235e-05 9.89288739657902e-05 7.46204371801845e-05 5.94664140351865e-05 0.0359822954565676 0.000133582486381039 0.174530400373575 0.000114077635434037 0.00014221029402175 0.00776798301893623 0.00015887200279294 0.000127638715123072 0.00013460279453928 0.000111019852577189 7.39124945840401e-05 0.0396848263920867 0.000270320570463401 0.000134832016272665 0.00010220986074079 0.000129654421406009 0.000591594026535845 7.13732690380136e-05 0.000142037756919825 9.4773315880718e-05 0.000117915485237712 0.0226264322810528 7.81190586536073e-05 8.93420071999824e-05 0.00150029327348656 0.000101330458826429 9.04326200934691e-05 4.3577032834694e-05 0.000104496736133825 0.000130719553523811 0.000194172450596824 0.137085387640577 6.94543412983064e-05 0.0514702609853781 0.317172990999362 0.0279970301562712 0.000119824270282912 0.000133785591892191 0.00489623727643528 5.14354053214009e-05 6.41014417606281e-05 9.43174371446213e-05 0.0102590154995043 9.95527141635162e-05
"NSdAAnonymJungfraulem" 3.07029574993888e-05 0.000207544381813572 0.000103708216839696 0.000146926845582497 0.043252395340739 0.000376500066278366 0.0128599568056292 7.50735335016626e-05 0.00157250244491803 0.00118419471327374 0.000373745166369807 0.000158686966191309 0.00342885096084006 0.000922824005650734 6.32572061013179e-05 0.000142594359564412 4.16811461428317e-05 0.000531922304930075 0.0128739744817503 5.13468572198102e-05 9.84344204292439e-05 0.000111709260624826 0.00012861163349614 8.89850534073384e-05 5.86286766367761e-05 0.000119797264259316 0.00435414723519846 7.7877332624931e-05 0.0028713605526115 7.82994541096313e-05 0.000205345884804872 7.86662245434172e-05 0.00778077396568943 8.56171818110832e-05 0.000114025891171131 0.000378100368521848 0.000114318457559 0.0231242383241584 0.00790157073485933 7.4024561568677e-05 9.91285538429202e-05 0.000102209609287255 4.36462524083444e-05 9.98131380778008e-05 6.18010646284456e-05 0.0031903072474233 5.90685594832682e-05 5.83748495603223e-05 0.000112731096355343 0.108325887757366 0.000200699416002396 0.000109028325635282 6.59722723203049e-05 9.32432147603012e-05 7.03318371126466e-05 5.60487488902916e-05 0.0426333891232628 0.00220014501671015 0.148493012674856 0.000107521343706 0.00381769884962849 0.000124379360391821 0.000149741280598664 0.000867541525254141 0.000126866876933249 0.000451077023579168 6.96645815290737e-05 0.041453259637351 0.280783663811803 0.000127082924791239 9.63356360345274e-05 0.000122202897649109 0.00226496419082329 6.7271290840302e-05 0.000133874535730858 8.93264857059577e-05 0.000111138623870187 0.0331257937185493 7.36293851421953e-05 8.4207326238698e-05 0.00755033372823445 9.55067752755367e-05 8.52352592189409e-05 4.10725652515478e-05 0.00432053394367414 0.00158753194093941 0.000183012934300602 0.0915991639973873 6.54626480834372e-05 0.0599929642543653 6.35161989007632e-05 0.0215488544712127 0.000112937706855428 0.00137064052586679 4.99911192687362e-05 4.84792998485456e-05 6.04173914139369e-05 8.88968073199567e-05 0.0144766159280335 9.38312014946168e-05
"NSdAAnynomUrtheillem" 3.13146635949853e-05 0.000211679363385452 0.000105774433047225 0.000149854122117709 0.0239443152283352 0.00202315900090776 0.00800082933650391 7.65692505856554e-05 7.95800008622978e-05 0.000280804603789137 0.000381191426114416 0.000161848543850819 0.000155566504453137 0.00015861633497373 6.4517502232834e-05 0.000145435318418131 0.428161438124235 0.00011940685757613 0.00146122681933946 5.23698591749706e-05 0.000100395564888838 0.000113934884513344 0.000131174009455387 9.07579347197441e-05 5.97967569064435e-05 0.000122184028361266 0.000209765208150172 7.94289108100755e-05 0.00605816647568668 7.98594423733579e-05 0.000209437064927937 8.02335201067756e-05 0.000117286293408504 8.73229638030194e-05 0.00011629767012554 0.00259114041213618 0.000116596065419072 0.00855061275672479 8.01020869308257e-05 7.54993796065264e-05 0.000101103527772861 0.000795555032339516 4.4515832436544e-05 0.000101801751226356 6.30323495282253e-05 0.00113150919785147 6.02454036975346e-05 5.95378727416003e-05 0.000114977078645656 0.112033536930178 0.000204698022851713 0.000802509600432585 6.72866616953183e-05 9.51009329570915e-05 7.17330836693396e-05 5.71654283289885e-05 0.018756840724457 0.000128413662991431 0.110624349492423 0.000109663530215329 0.00209553182155065 0.000126857415247598 0.000152724630137759 0.000122699879247045 0.000129394491478229 0.000106724064811457 7.10525341121226e-05 0.024735620645242 0.00551878999385832 0.000129614843735614 9.82549656556775e-05 0.000124637590052699 0.00733300674550044 6.86115610297937e-05 0.00117350536260468 9.11061694971899e-05 0.000113352878756836 0.00415139614781503 7.50963299375755e-05 8.58850191695866e-05 0.00889186885999001 9.74095912048483e-05 8.69334320293295e-05 4.18908687822959e-05 0.000100453352989081 0.000125661508086585 0.000186659166996162 0.144371488548022 6.67668840309783e-05 0.0389137774131822 6.4781655039231e-05 0.0153282944789088 0.00011518780552125 0.000128608909564297 5.09871103677366e-05 4.94451704239844e-05 6.16211088932281e-05 9.06679304737367e-05 0.0143688676426986 9.57006343631784e-05
"NSdABalzacBlutrachelem" 2.93878969167195e-05 0.00102723455224788 0.115745254383457 0.00128783008879522 0.0242118835507078 0.00108135401115339 0.0449767796312244 7.18580046812972e-05 0.000622860119160622 0.000555952909614637 0.000732315337510629 0.000151890129950836 0.00380286953069495 0.00102560947468396 6.0547790947573e-05 0.000136486797399501 3.98958708209346e-05 0.000112059847328479 0.0056026904355255 4.9147582834759e-05 9.4218304562003e-05 0.000106924560474368 0.00170013310936057 8.5173670214529e-05 0.000381885569010361 0.00170045645306305 0.00307858689099506 0.000368399901214875 0.00528046209391306 7.49457535501282e-05 0.00514387545586102 7.52968145741489e-05 0.000554069910492574 8.19500503628758e-05 0.000418133433556672 0.009111436196295 0.00126972210012432 0.0172673367981673 7.51734683783791e-05 7.08539620239823e-05 0.000301943351797618 0.00466505868871765 0.000631200839666575 0.00182606274509473 5.9154018523474e-05 0.000100032261808638 5.65385512828188e-05 0.000286847948924922 0.000531308292702329 0.0848846618331283 0.00530361998540023 0.000104358454550705 6.31465662013004e-05 0.000340537109502961 6.73194033203841e-05 5.36480843818311e-05 0.0402633377274721 0.00012051247107425 0.17101371653806 0.000102916019254562 0.000567421966396783 0.000119051978032902 0.000339233062794824 0.000770243177078887 0.0991153585921523 0.000601453777316911 0.00549563599074432 0.101141598742679 0.000567157501325394 0.000121639744109814 9.22094147199226e-05 0.000425960204755079 0.00263318112698232 6.43899455193789e-05 0.0121727084945557 0.000601030434789158 0.00439778049602623 0.00553676200852119 0.000610490484993039 0.000384890893637106 0.0247558757083165 9.14160554956844e-05 0.000189007341546262 0.00051284277990489 9.42725370057841e-05 0.000117929654101072 0.0126068998417014 0.104031035062877 0.00491310006029272 0.0255598209472967 0.000287836063979022 0.0128512875502952 0.00206057857015155 0.00035166909905222 4.78499134765859e-05 4.64028478876068e-05 5.78296104173423e-05 0.000286925796729659 0.0159664292861556 0.000373929903471566
"NSdABalzacCapitaenlem" 3.03006525935935e-05 0.00277280826972309 0.000627833687857116 0.000145001643726225 0.03930965267485 0.000947456652372604 0.055048516838587 7.40898350803068e-05 7.70030932062289e-05 0.0011977628451749 0.00371552756464581 0.00138359689756752 0.00015052905142462 0.000447899783508416 0.000469041239113521 0.000669816110024498 4.11349925818022e-05 0.0011971284585122 0.00865837628164948 0.00035559743814862 9.71446212221614e-05 0.000110245519433997 0.000413130331747515 8.78190705039345e-05 5.78604573461189e-05 0.000118227544889013 0.000202972728067212 7.68568956534802e-05 0.00890424875670645 7.72734860246342e-05 0.000202655210564662 7.76354506170019e-05 0.000587926586759597 0.000321714419356981 0.00172715041900118 0.0168647846245743 0.000112820527716253 0.0109823532976457 0.00357020823879779 7.30546079650538e-05 0.000426181639066958 0.00161076904883871 4.30743498004668e-05 0.00101475470046586 6.09912771190863e-05 0.000364542049721526 0.00049491067892642 5.76099561993604e-05 0.000856767414505954 0.0920061731123593 0.000862157087967647 0.000630405505391131 6.51078289258388e-05 0.000889473611855229 0.000540810078636463 5.53143347335218e-05 0.0164520447780092 0.00358602819412968 0.0997423985801543 0.000106112477343485 0.000132280850185739 0.000853945828601674 0.000969694234552114 0.000479562764499958 0.000125204523494686 0.000537420048399359 0.00130495296235244 0.0957724764152104 0.00210184509149964 0.000799117444048312 9.50733374764693e-05 0.000411679058664768 0.00464701861737495 6.63898262346603e-05 0.000132120360013855 0.252770844121236 0.00710348834950668 0.00536841478593405 0.00151600890027513 0.0216906067765126 0.0210574766472842 9.42553373894373e-05 8.41184103638691e-05 4.05343860062871e-05 9.72005380658529e-05 0.00170999332556914 0.00951101402277925 0.122266170196609 0.000552586823931073 0.0340339173831958 0.00356930287191029 0.00976353065590055 0.000111457869171449 0.00012444437978164 4.93360790326804e-05 4.78440691819566e-05 5.96257343573924e-05 8.77319807166868e-05 0.0179179297647157 9.26017188729932e-05
"NSdABarillilem" 0.000473114850632014 0.000800451541174782 0.000114807781402554 0.000876363780774206 0.0150407369162674 0.00138543525848541 0.02524719828068 8.31084178864899e-05 0.000532854397270882 0.00173220951236066 0.00145001281693427 0.000175670733535868 0.000735504217995253 0.000701332596109142 7.00274260952925e-05 0.000157855785789982 4.61421482385613e-05 0.000129604442279976 0.00205690240681204 5.68423499992498e-05 0.000108969547134302 0.000123665151762082 0.000142376532488971 9.85088440530765e-05 6.49035196665301e-05 0.000132618789010391 0.000949787616655531 8.6212298819458e-05 0.00110993403764258 8.66795986402206e-05 0.000941035226192622 0.000626969114634002 0.000127302777686811 9.47805197428398e-05 0.000952789178558377 0.00562740429082582 0.000596643766462734 0.0172034609078951 8.69429655286997e-05 0.000914239457787607 0.0014654694016941 0.000113148782592895 4.83175736526583e-05 0.000110495824600398 6.84154383762565e-05 0.000115693763741353 6.5390481791825e-05 6.46225262756921e-05 0.000124796351359891 0.0604360468882287 0.000222179643833232 0.000120697284724991 7.30330773200621e-05 0.000103222743035096 0.000799967272387174 6.20474703603251e-05 0.0107349921561488 0.000139380446910448 0.146325422051239 0.000600434375091413 0.000148382732445017 0.00235190077928261 0.00252040353626046 0.00261514205958325 0.000140445040113755 0.000115838513620728 0.000576558323744583 0.0766181899723115 0.000282053455816078 0.000140684210895092 0.000106646136440893 0.000135281889782598 0.00623725356655858 0.00606872464963966 0.000148202706612091 9.88868187777239e-05 0.000123033441548723 0.00551014470391665 0.00116740323897821 9.32197717587744e-05 0.0374774187415973 0.000105728565319422 0.251591660098922 4.54684328468455e-05 0.000109032270454004 0.000136393252466584 0.00457419087428075 0.235306113195831 7.24689096025303e-05 0.033411130328589 7.03141380802214e-05 0.00994343884248484 0.000481880983033424 0.000840608354360913 5.53415116754491e-05 5.36678869733518e-05 6.68836749655575e-05 9.84111532642607e-05 0.0165224062217479 0.000103873660141937
"NSdABernhardlem" 3.34275075975055e-05 0.0270285504132589 0.000112911181484771 0.000387079564895953 0.0260867881699933 0.000657620024944505 0.0364121413624736 8.17354846531761e-05 0.000649638515403583 0.00140025311505412 0.00113835857361598 0.000172768690706447 0.000999551334083448 0.0014286989303589 6.8870588039959e-05 0.000155248042075285 4.53798898490473e-05 0.0859479221172268 0.00129789601214131 5.59033265722823e-05 0.00010716939359409 0.00035168271016976 0.00014002450271787 9.68814990835151e-05 0.000488398202301079 0.00013042795506812 0.000223918359137508 0.00058048997130229 0.00985595875690072 8.52476702670203e-05 0.00204792967898615 0.000340055693584876 0.000845542687577824 0.000321907305074681 0.000124144436037187 0.00186721789549403 0.00042927753238793 0.0135851475781539 8.55066863910047e-05 0.00115937572859857 0.000107925123720733 0.00108812125735035 4.75193777020217e-05 0.000108670457283894 6.72852300122039e-05 0.00078123450856984 6.43102450615697e-05 6.35549760058053e-05 0.00247081246236491 0.0789496647592202 0.00177218932965485 0.000118703391475862 7.18265865513312e-05 0.00055890260383303 0.00199312832110454 0.000308873400043329 0.0484869230441221 0.000759495168109623 0.165308583230219 0.000509167025686013 0.000145931481539219 0.0013654290931912 0.000163029173817268 0.0761056579989018 0.000138124918182309 0.000113924886227836 7.58465476293777e-05 0.111001879556046 0.00178435122535385 0.00013836013791365 0.000708941245734998 0.000133047061986914 0.0033470482989486 0.000462579934897168 0.000145754429694431 9.72532297468024e-05 0.000340555198712217 0.00550319230882844 8.01631839958541e-05 9.16798011287915e-05 0.0239883460032671 0.000103981952103468 9.27989518655725e-05 4.47173040910631e-05 0.000107231080738007 0.000134140065197794 0.0104469698889234 0.144037390450705 0.000438317571581071 0.0513804684550507 6.91525636044084e-05 0.0182566098431896 0.000355805738571218 0.000137286331961615 5.44272817755992e-05 5.27813049945194e-05 0.000682621605395636 9.67854221255718e-05 0.0268113231974714 0.000102157689561561
"NSdABeyleSanFranciscolem" 2.95380766815044e-05 0.000199670076244178 0.00122856830803728 0.000141352390285976 0.0407090659106278 0.000362215523652509 0.0764798347859013 0.000862176659243565 7.50651579141078e-05 0.00193916650143915 0.000359565145598522 0.000152666327854817 0.00123856223169118 0.00212449609700061 0.264855873478891 0.000137184280284642 4.00997490539621e-05 0.000112632502172114 0.00398306078830431 4.93987397123942e-05 0.000884651226048036 0.000107470972672127 0.000123732063675565 8.56089297295235e-05 5.64042843842223e-05 0.000115252114653664 0.00019786451751772 7.49226397122175e-05 0.000499398677752249 7.53287457619111e-05 0.000197554990971746 7.56816007986903e-05 0.000110632244791051 8.23688363455026e-05 0.000109699709454921 0.0040061714197808 0.000109981175772929 0.0179561546015131 7.55576242719131e-05 7.12160441212822e-05 9.53675822531787e-05 9.83317413892012e-05 4.19902985086578e-05 9.60261931256087e-05 5.9456310879171e-05 0.000100543452575092 5.68274779235033e-05 5.6160087594767e-05 0.000108454039601901 0.0757856636681903 0.00690767206395035 0.000104891753282566 6.34692615097111e-05 8.97055349692154e-05 6.76634229072488e-05 5.39222399880133e-05 0.00843170824636957 0.000121128321014478 0.149873935533001 0.000103441946768465 0.000128951740699706 0.000119660364475416 0.00125406042137127 0.000115738699571754 0.000122053503779624 0.00122946406397558 6.70214832311075e-05 0.117719287901462 0.000245118036974608 0.00012226135470722 9.26806287116155e-05 0.000117566477481307 0.00108234928991665 6.47189948181434e-05 0.000128795289580738 0.00230593816138125 0.000106921986073159 0.00327226788178345 7.08358608249866e-05 8.10124711807529e-05 0.019490116529715 9.18832152162594e-05 8.20014040284913e-05 3.95142579320074e-05 9.47542940867117e-05 0.000118532305177611 0.00618108784058366 0.105247474030091 6.29789725925066e-05 0.0462130714130993 6.1106372364479e-05 0.00950594352006965 0.000108652811228211 0.000121312490588058 4.80944389277012e-05 4.66399784587687e-05 5.81251347045919e-05 8.55240317291933e-05 0.0162014930082424 0.00528278501304201
"NSdABeyleVaninalem" 3.12724205586516e-05 0.00240521930554936 0.000105631744839675 0.0017444251249539 0.0239055864312263 0.00101775101445925 0.0338967040649121 7.64659597543577e-05 7.94726485716476e-05 0.000280425802367734 0.00352905041608954 0.000161630212464384 0.00137683380443478 0.000158402363791154 0.278851020836485 0.000145239128239638 4.24542271398839e-05 0.000119245779421553 0.00989060146420526 5.22992129789095e-05 0.000408593570671981 0.000113781187972694 0.000130997057580089 9.06355035551139e-05 5.97160919308491e-05 0.000122019203842752 0.0002094822378643 7.93217623377593e-05 0.00746343486667451 7.9751713120079e-05 0.00113415485122449 8.01252862279485e-05 0.000117128075864865 8.72051663653586e-05 0.000116140786220664 0.00230835076482237 0.00103128430412966 0.05382272944112 7.99940303534858e-05 7.5397532015981e-05 0.000100967140550172 0.000104105341865849 4.44557812109787e-05 0.000101664422110147 6.2947319784149e-05 0.000106446914849941 6.01641335037925e-05 5.94575569970665e-05 0.000114821976199927 0.0573661088408711 0.00118956522305724 0.000111050528345357 6.71958929445652e-05 9.49726431495357e-05 7.16363167585094e-05 5.70883129782644e-05 0.024006893383013 0.0001282404347843 0.1457469958531 0.000109515595670948 0.000136523210715899 0.00134648031992519 0.000152518606781308 0.00103737988399949 0.000129219940147403 0.000106580095564148 7.09566852529772e-05 0.100459281817644 0.000259510272839831 0.000129439995152722 9.81224211028175e-05 0.000124469455714319 0.00056793579183985 6.85190050086599e-05 0.000843260658912816 9.09832685687919e-05 0.000113199967333683 0.00289463208858364 7.49950260553077e-05 8.57691614988089e-05 0.0267445980407818 9.72781870501131e-05 8.68161600644978e-05 4.183435859541e-05 0.000100317842842938 0.000125491992497322 0.000186407366431564 0.115695926008428 6.66768164529105e-05 0.0775046972815644 0.000721456488793812 0.00294862557669049 0.00175693797702531 0.000128435417972312 5.09183294801731e-05 4.93784695915003e-05 6.15379828927203e-05 9.05456207235557e-05 0.00947250186582883 9.55715355669451e-05
