"","Topic aus Model 1","Topic aus Model 2","Übereinstimmende Topic Wörter"
"1","1",45,18
"2","2",22,14
"3","3",33,15
"4","4",97,14
"5","5",55,18
"6","6",79,13
"7","7",23,16
"8","8",48,0
"9","9",100,17
"10","10",83,18
"11","11",2,13
"12","12",52,18
"13","13",18,15
"14","14",16,15
"15","15",13,5
"16","16",73,17
"17","17",94,12
"18","18",76,17
"19","19",87,4
"20","20",43,1
"21","21",80,7
"22","22",98,15
"23","23",69,16
"24","24",78,12
"25","25",47,11
"26","26",64,0
"27","27",92,14
"28","28",86,14
"29","29",57,12
"30","30",3,18
"31","31",75,6
"32","32",72,18
"33","33",11,16
"34","34",24,17
"35","35",89,1
"36","36",26,15
"37","37",53,1
"38","38",29,14
"39","39",84,0
"40","40",49,9
"41","41",36,12
"42","42",15,10
"43","43",63,16
"44","44",6,14
"45","45",50,9
"46","46",61,11
"47","47",82,16
"48","48",1,18
"49","49",40,15
"50","50",85,17
"51","51",59,17
"52","52",25,18
"53","53",32,17
"54","54",35,16
"55","55",99,16
"56","56",95,13
"57","57",17,19
"58","58",70,13
"59","59",8,1
"60","60",96,11
"61","61",81,16
"62","62",58,14
"63","63",37,11
"64","64",51,14
"65","65",56,0
"66","66",74,2
"67","67",10,15
"68","68",7,13
"69","69",54,2
"70","70",20,7
"71","71",34,15
"72","72",21,15
"73","73",91,1
"74","74",41,10
"75","75",9,11
"76","76",60,18
"77","77",39,6
"78","78",46,9
"79","79",42,8
"80","80",68,15
"81","81",14,1
"82","82",19,14
"83","83",5,6
"84","84",71,13
"85","85",90,13
"86","86",62,6
"87","87",30,16
"88","88",93,4
"89","89",67,15
"90","90",44,17
"91","91",66,14
"92","92",27,14
"93","93",38,12
"94","94",12,13
"95","95",65,14
"96","96",88,18
"97","97",28,11
"98","98",77,1
"99","99",4,18
"100","100",31,1
"101",NA,11.78,NA
